id,source_neural_network,num_of_calls,parameters,running_time
#0,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[15213]]},5.408763885498047e-05
#1,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[8349]]},5.3517818450927734e-05
#2,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[22816]]},5.3892135620117186e-05
#3,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[5704]]},4.5928955078125e-05
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1426]]},4.5475959777832033e-05
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,{'nonzero_0': [[384]]},4.5161247253417966e-05
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,{'nonzero_0': [[96]]},4.555225372314453e-05
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[10539]]},5.295276641845703e-05
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[16368]]},5.355358123779297e-05
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[24576]]},5.336761474609375e-05
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[6144]]},4.998207092285156e-05
#11,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1536]]},4.541397094726562e-05
#12,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[9980]]},5.2597522735595706e-05
#13,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[10140]]},5.302906036376953e-05
#14,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[15808]]},5.316019058227539e-05
#15,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[3952]]},4.606008529663086e-05
#16,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[988]]},4.5192241668701175e-05
#17,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[260]]},4.5397281646728515e-05
#18,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[70]]},4.520416259765625e-05
#19,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[15345]]},5.307197570800781e-05
#20,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[11085]]},5.3234100341796875e-05
#21,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[23040]]},5.3822994232177734e-05
#22,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[5760]]},4.622936248779297e-05
#23,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1440]]},4.536151885986328e-05
#24,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[360]]},4.5006275177001956e-05
#25,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[90]]},4.506111145019531e-05
#26,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[10311]]},5.262613296508789e-05
#27,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[12544]]},5.289316177368164e-05
#28,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[18816]]},5.3243637084960936e-05
#29,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[4704]]},4.561185836791992e-05
#30,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1176]]},4.5397281646728515e-05
#31,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[308]]},4.5554637908935545e-05
#32,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[84]]},4.516839981079101e-05
#33,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[24480]]},5.855560302734375e-05
#34,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[48960]]},5.738735198974609e-05
#35,attention-rpn_r50_c4_voc-split1_base-training,16,{'nonzero_0': [[12000]]},5.330085754394531e-05
#36,attention-rpn_r50_c4_voc-split1_base-training,10,{'nonzero_0': [[2000]]},4.54401969909668e-05
#37,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[2003]]},4.546403884887695e-05
#38,attention-rpn_r50_c4_voc-split1_base-training,10,{'nonzero_0': [[256]]},4.5142173767089845e-05
#39,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[16380]]},5.4531097412109375e-05
#40,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[32760]]},6.013154983520508e-05
#41,attention-rpn_r50_c4_voc-split1_base-training,2,{'nonzero_0': [[11997]]},5.2595138549804686e-05
#42,attention-rpn_r50_c4_voc-split1_base-training,12,{'nonzero_0': [[2001]]},4.5409202575683596e-05
#43,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[18900]]},5.312204360961914e-05
#44,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[37800]]},5.3696632385253906e-05
#45,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[2002]]},4.541158676147461e-05
#46,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[26550]]},5.3369998931884764e-05
#47,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[53100]]},5.3882598876953125e-05
#48,attention-rpn_r50_c4_voc-split1_base-training,2,{'nonzero_0': [[11998]]},5.300998687744141e-05
#49,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[15750]]},5.327463150024414e-05
#50,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[31500]]},5.44595718383789e-05
#51,yolact_r50_8x8_coco,200,{'nonzero_0': [[19248]]},5.329132080078125e-05
#52,dh_faster_rcnn_r50_fpn_1x_coco,12,{'nonzero_0': [[217413]]},5.501985549926758e-05
#53,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[326400]]},5.524635314941406e-05
#54,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[81600]]},5.8965682983398436e-05
#55,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[20400]]},5.382776260375977e-05
#56,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[5100]]},4.689693450927734e-05
#57,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[1326]]},4.5378208160400394e-05
#58,dh_faster_rcnn_r50_fpn_1x_coco,10,{'nonzero_0': [[1000]]},4.548311233520508e-05
#59,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1015]]},4.54401969909668e-05
#60,dh_faster_rcnn_r50_fpn_1x_coco,4,{'nonzero_0': [[1001]]},6.861686706542969e-05
#61,dh_faster_rcnn_r50_fpn_1x_coco,42,{'nonzero_0': [[1024]]},4.503726959228516e-05
#62,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1007]]},4.500150680541992e-05
#63,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1006]]},4.514932632446289e-05
#64,dh_faster_rcnn_r50_fpn_1x_coco,6,{'nonzero_0': [[242991]]},5.491018295288086e-05
#65,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[204624]]},5.997419357299805e-05
#66,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[364800]]},5.518674850463867e-05
#67,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[91200]]},5.3589344024658206e-05
#68,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[22800]]},5.361080169677735e-05
#69,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[5700]]},4.618644714355469e-05
#70,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1482]]},4.54401969909668e-05
#71,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1017]]},4.538536071777344e-05
#72,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1003]]},4.5142173767089845e-05
#73,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1013]]},4.5545101165771485e-05
#74,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1002]]},4.565715789794922e-05
#75,faster_rcnn_r50_fpn_groie_1x_coco,8,{'nonzero_0': [[217413]]},5.4638385772705075e-05
#76,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[236616]]},0.00018259286880493165
#77,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[355200]]},5.566120147705078e-05
#78,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[88800]]},5.560159683227539e-05
#79,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[22200]]},5.3784847259521485e-05
#80,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[5550]]},4.569530487060547e-05
#81,faster_rcnn_r50_fpn_groie_1x_coco,4,{'nonzero_0': [[1482]]},4.544258117675781e-05
#82,faster_rcnn_r50_fpn_groie_1x_coco,10,{'nonzero_0': [[1000]]},4.562854766845703e-05
#83,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1004]]},4.552602767944336e-05
#84,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1018]]},4.575490951538086e-05
#85,faster_rcnn_r50_fpn_groie_1x_coco,8,{'nonzero_0': [[242991]]},5.499124526977539e-05
#86,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[364800]]},5.5251121520996096e-05
#87,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[91200]]},5.382061004638672e-05
#88,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[22800]]},5.365371704101562e-05
#89,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[5700]]},4.6205520629882815e-05
#90,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1008]]},4.562854766845703e-05
#91,faster_rcnn_r50_fpn_groie_1x_coco,4,{'nonzero_0': [[1007]]},4.542827606201172e-05
#92,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[255780]]},5.45644760131836e-05
#93,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[384000]]},5.595207214355469e-05
#94,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[96000]]},5.361795425415039e-05
#95,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[24000]]},5.44285774230957e-05
#96,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[6000]]},4.690885543823242e-05
#97,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[1560]]},4.5592784881591794e-05
#98,faster_rcnn_r50_fpn_groie_1x_coco,4,{'nonzero_0': [[1002]]},4.5557022094726565e-05
#99,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1001]]},4.533052444458008e-05
#100,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1003]]},4.534482955932617e-05
#101,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1016]]},4.549980163574219e-05
#102,ddod_r50_fpn_1x_coco,30,{'nonzero_0': [[18134]]},5.334854125976562e-05
#103,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 13600]]}",5.8090686798095704e-05
#104,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 3400]]}",5.0883293151855466e-05
#105,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 850]]}",4.971027374267578e-05
#106,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 221]]}",4.9617290496826175e-05
#107,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 63]]}",4.9488544464111326e-05
#108,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[27200]]},5.383014678955078e-05
#109,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[6800]]},4.662275314331055e-05
#110,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[1700]]},4.543304443359375e-05
#111,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[442]]},4.6017169952392576e-05
#112,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[126]]},4.5680999755859374e-05
#113,ddod_r50_fpn_1x_coco,6,{'nonzero_0': [[19742]]},5.3775310516357425e-05
#114,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 14800]]}",0.0007027983665466309
#115,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 3700]]}",5.4273605346679684e-05
#116,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 925]]}",5.000591278076172e-05
#117,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 247]]}",4.983663558959961e-05
#118,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 70]]}",4.9910545349121095e-05
#119,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[29600]]},5.41234016418457e-05
#120,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[7400]]},5.242347717285156e-05
#121,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[1850]]},4.570960998535156e-05
#122,ddod_r50_fpn_1x_coco,4,{'nonzero_0': [[494]]},4.495859146118164e-05
#123,ddod_r50_fpn_1x_coco,4,{'nonzero_0': [[140]]},4.505634307861328e-05
#124,ddod_r50_fpn_1x_coco,12,{'nonzero_0': [[20267]]},5.36346435546875e-05
#125,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 15200]]}",5.960941314697266e-05
#126,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 3800]]}",5.1462650299072264e-05
#127,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 950]]}",4.974365234375e-05
#128,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[30400]]},5.434036254882812e-05
#129,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[7600]]},4.6372413635253906e-05
#130,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[1900]]},4.524469375610352e-05
#131,ddod_r50_fpn_1x_coco,6,{'nonzero_0': [[21875]]},5.357980728149414e-05
#132,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 16400]]}",5.792379379272461e-05
#133,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 4100]]}",5.7086944580078124e-05
#134,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 1025]]}",5.0530433654785156e-05
#135,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 273]]}",5.281686782836914e-05
#136,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 77]]}",5.034685134887695e-05
#137,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[32800]]},5.717039108276367e-05
#138,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[8200]]},5.7895183563232425e-05
