id,source_neural_network,num_of_calls,parameters
#0,master_toy_dataset,5,"{'input': [[1, 1, 30, 30]], 'masked': [[1, 1, 30, 30]], 'value': [-1000000000.0]}"
#1,master_toy_dataset,5,"{'input': [[1, 1, 30, 30]], 'masked': [[1, 1, 30, 30]], 'value': [0]}"
#2,mask2former_r50_lsj_8x2_50e_coco,15,"{'input': [[16, 100, 1024]], 'masked': [[16, 100, 1024]], 'value': ['-inf']}"
#3,mask2former_r50_lsj_8x2_50e_coco,15,"{'input': [[16, 100, 4096]], 'masked': [[16, 100, 4096]], 'value': ['-inf']}"
#4,mask2former_r50_lsj_8x2_50e_coco,15,"{'input': [[16, 100, 16384]], 'masked': [[16, 100, 16384]], 'value': ['-inf']}"
#5,maskformer_r50_mstrain_16x1_75e_coco,12,"{'input': [[8, 1, 713]], 'masked': [[8, 1, 713]], 'value': ['-inf']}"
#6,maskformer_r50_mstrain_16x1_75e_coco,12,"{'input': [[8, 1, 399]], 'masked': [[8, 1, 399]], 'value': ['-inf']}"
#7,maskformer_r50_mstrain_16x1_75e_coco,12,"{'input': [[8, 1, 460]], 'masked': [[8, 1, 460]], 'value': ['-inf']}"
#8,maskformer_r50_mstrain_16x1_75e_coco,12,"{'input': [[8, 1, 768]], 'masked': [[8, 1, 768]], 'value': ['-inf']}"
#9,maskformer_r50_mstrain_16x1_75e_coco,12,"{'input': [[8, 1, 330]], 'masked': [[8, 1, 330]], 'value': ['-inf']}"
#10,detr_r50_8x2_150e_coco,24,"{'input': [[16, 1, 391]], 'masked': [[16, 1, 391]], 'value': ['-inf']}"
#11,detr_r50_8x2_150e_coco,12,"{'input': [[16, 1, 840]], 'masked': [[16, 1, 840]], 'value': ['-inf']}"
#12,detr_r50_8x2_150e_coco,12,"{'input': [[16, 1, 600]], 'masked': [[16, 1, 600]], 'value': ['-inf']}"
#13,detr_r50_8x2_150e_coco,12,"{'input': [[16, 1, 805]], 'masked': [[16, 1, 805]], 'value': ['-inf']}"
