id,source_neural_network,num_of_calls,parameters
#0,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 256, 9409]], 'dims': [[0, 2, 1]]}"
#1,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 256, 110]], 'dims': [[0, 2, 1]]}"
#2,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 9409, 256]], 'dims': [[0, 2, 1]]}"
#3,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 92, 124]], 'dims': [[0, 2, 3, 1]]}"
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 92, 124, 4]], 'dims': [[0, 3, 1, 2]]}"
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 46, 62]], 'dims': [[0, 2, 3, 1]]}"
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 46, 62, 4]], 'dims': [[0, 3, 1, 2]]}"
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 23, 31]], 'dims': [[0, 2, 3, 1]]}"
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 23, 31, 4]], 'dims': [[0, 3, 1, 2]]}"
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 12, 16]], 'dims': [[0, 2, 3, 1]]}"
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 12, 16, 4]], 'dims': [[0, 3, 1, 2]]}"
#11,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 6, 8]], 'dims': [[0, 2, 3, 1]]}"
#12,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 6, 8, 4]], 'dims': [[0, 3, 1, 2]]}"
#13,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2, 80, 92, 124]], 'dims': [[0, 2, 3, 1]]}"
#14,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2, 80, 46, 62]], 'dims': [[0, 2, 3, 1]]}"
#15,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2, 80, 23, 31]], 'dims': [[0, 2, 3, 1]]}"
#16,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2, 80, 12, 16]], 'dims': [[0, 2, 3, 1]]}"
#17,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2, 80, 6, 8]], 'dims': [[0, 2, 3, 1]]}"
#18,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 128, 96]], 'dims': [[0, 2, 3, 1]]}"
#19,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 128, 96, 4]], 'dims': [[0, 3, 1, 2]]}"
#20,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 64, 48]], 'dims': [[0, 2, 3, 1]]}"
#21,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[2, 64, 48, 4]], 'dims': [[0, 3, 1, 2]]}"
#22,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[2, 4, 32, 24]], 'dims': [[0, 2, 3, 1]]}"
