id,source_neural_network,num_of_calls,parameters
#0,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,5,"{'input_tensor': [[4, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#1,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}"
#2,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 97, 97, 97]], 'dim0': [[1]], 'dim1': [[2]]}"
#3,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}"
#4,pspnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#5,apcnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#6,fcn_r50-d8_480x480_80k_pascal_context,10,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}"
#7,fcn_hr48_512x512_80k_potsdam,5,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#8,apcnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}"
#9,deeplabv3_unet_s5-d16_ce-1.0-dice-3.0_64x64_40k_drive,10,"{'input_tensor': [[4, 1, 64, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#10,master_toy_dataset,60,"{'input_tensor': [[1, 30, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#11,master_toy_dataset,60,"{'input_tensor': [[30, 8, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#12,master_toy_dataset,15,"{'input_tensor': [[8, 30, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#13,master_toy_dataset,30,"{'input_tensor': [[8, 30, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#14,master_toy_dataset,30,"{'input_tensor': [[30, 1, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#15,master_toy_dataset,30,"{'input_tensor': [[1, 240, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#16,master_toy_dataset,30,"{'input_tensor': [[240, 8, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#17,master_toy_dataset,15,"{'input_tensor': [[8, 240, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#18,meta-baseline_conv4_1xb100_cub_5way-1shot,5,"{'input_tensor': [[10, 1600]], 'dim0': [[0]], 'dim1': [[1]]}"
#19,isanet_r50-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#20,mlp-mixer-base-p16_64xb64_in1k,65,"{'input_tensor': [[8, 768, 196]], 'dim0': [[1]], 'dim1': [[2]]}"
#21,mlp-mixer-base-p16_64xb64_in1k,65,"{'input_tensor': [[8, 196, 768]], 'dim0': [[1]], 'dim1': [[2]]}"
#22,gcnet_r50-d8_512x512_80k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#23,pspnet_r101-d8_512x512_160k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#24,nonlocal_r101-d8_512x1024_80k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#25,fcn_hr48_4x4_512x512_80k_vaihingen,5,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#26,pspnet_unet_s5-d16_128x128_40k_chase_db1,10,"{'input_tensor': [[4, 1, 128, 128]], 'dim0': [[0]], 'dim1': [[1]]}"
#27,deeplabv3plus_r101-d8_480x480_80k_pascal_context_59,10,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}"
#28,fcn_hr18s_480x480_80k_pascal_context,5,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}"
#29,ann_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}"
#30,fcn_hr48_512x512_40k_voc12aug,5,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#31,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#32,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[2, 64, 3072]], 'dim0': [[1]], 'dim1': [[2]]}"
#33,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,5,"{'input_tensor': [[1, 64, 3072]], 'dim0': [[1]], 'dim1': [[2]]}"
#34,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,35,"{'input_tensor': [[2, 3072, 64]], 'dim0': [[1]], 'dim1': [[2]]}"
#35,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,15,"{'input_tensor': [[2, 64, 48]], 'dim0': [[1]], 'dim1': [[2]]}"
#36,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[2, 3072, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#37,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,15,"{'input_tensor': [[2, 48, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#38,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[3072, 2, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#39,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[48, 2, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#40,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,15,"{'input_tensor': [[2, 48, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#41,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,25,"{'input_tensor': [[2, 128, 768]], 'dim0': [[1]], 'dim1': [[2]]}"
#42,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,5,"{'input_tensor': [[1, 128, 768]], 'dim0': [[1]], 'dim1': [[2]]}"
#43,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,45,"{'input_tensor': [[2, 768, 128]], 'dim0': [[1]], 'dim1': [[2]]}"
#44,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[2, 128, 48]], 'dim0': [[1]], 'dim1': [[2]]}"
#45,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[2, 768, 128]], 'dim0': [[0]], 'dim1': [[1]]}"
#46,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[2, 48, 128]], 'dim0': [[0]], 'dim1': [[1]]}"
#47,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[768, 4, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#48,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,40,"{'input_tensor': [[48, 4, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#49,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[4, 48, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#50,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[4, 768, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#51,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[768, 2, 128]], 'dim0': [[0]], 'dim1': [[1]]}"
#52,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,35,"{'input_tensor': [[2, 320, 192]], 'dim0': [[1]], 'dim1': [[2]]}"
#53,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,5,"{'input_tensor': [[1, 320, 192]], 'dim0': [[1]], 'dim1': [[2]]}"
#54,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,65,"{'input_tensor': [[2, 192, 320]], 'dim0': [[1]], 'dim1': [[2]]}"
#55,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[2, 320, 48]], 'dim0': [[1]], 'dim1': [[2]]}"
#56,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[2, 192, 320]], 'dim0': [[0]], 'dim1': [[1]]}"
#57,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[2, 48, 320]], 'dim0': [[0]], 'dim1': [[1]]}"
#58,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[192, 10, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#59,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,60,"{'input_tensor': [[48, 10, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#60,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[10, 48, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#61,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[10, 192, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#62,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[192, 2, 320]], 'dim0': [[0]], 'dim1': [[1]]}"
#63,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[2, 512, 48]], 'dim0': [[1]], 'dim1': [[2]]}"
#64,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,5,"{'input_tensor': [[1, 512, 48]], 'dim0': [[1]], 'dim1': [[2]]}"
#65,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,30,"{'input_tensor': [[2, 48, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#66,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,45,"{'input_tensor': [[48, 16, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#67,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,15,"{'input_tensor': [[16, 48, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#68,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,15,"{'input_tensor': [[16, 48, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#69,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,15,"{'input_tensor': [[48, 2, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#70,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,20,"{'input_tensor': [[2, 48, 512]], 'dim0': [[1]], 'dim1': [[2]]}"
#71,lraspp_m-v3s-d8_scratch_512x1024_320k_cityscapes,5,"{'input_tensor': [[4, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#72,fcn_unet_s5-d16_256x256_40k_hrf,10,"{'input_tensor': [[4, 1, 256, 256]], 'dim0': [[0]], 'dim1': [[1]]}"
#73,ann_r50-d8_512x512_80k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#74,fastfcn_r50-d32_jpu_enc_512x1024_80k_cityscapes,5,"{'input_tensor': [[2, 512, 8192]], 'dim0': [[1]], 'dim1': [[2]]}"
#75,fastfcn_r50-d32_jpu_enc_512x1024_80k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#76,encnet_r101-d8_512x512_20k_voc12aug,5,"{'input_tensor': [[4, 512, 4096]], 'dim0': [[1]], 'dim1': [[2]]}"
#77,encnet_r101-d8_512x512_20k_voc12aug,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#78,deeplabv3plus_r18-d8_512x512_80k_potsdam,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#79,pspnet_unet_s5-d16_ce-1.0-dice-3.0_64x64_40k_drive,10,"{'input_tensor': [[4, 1, 64, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#80,fcn_unet_s5-d16_64x64_40k_drive,10,"{'input_tensor': [[4, 1, 64, 64]], 'dim0': [[0]], 'dim1': [[1]]}"
#81,pspnet_r50-d8_480x480_80k_pascal_context,10,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}"
#82,deeplabv3plus_r101-d8_769x769_80k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}"
#83,pspnet_r101-d8_512x1024_40k_dark,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#84,ann_r101-d8_512x512_20k_voc12aug,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#85,deeplabv3plus_r50-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}"
#86,nonlocal_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}"
#87,fastfcn_r50-d32_jpu_enc_512x512_80k_ade20k,5,"{'input_tensor': [[4, 512, 4096]], 'dim0': [[1]], 'dim1': [[2]]}"
#88,fastfcn_r50-d32_jpu_enc_512x512_80k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#89,fcn_r101-d8_512x512_20k_voc12aug,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#90,fastfcn_r50-d32_jpu_psp_512x512_80k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#91,deeplabv3_r101-d8_512x512_4x4_20k_coco-stuff10k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#92,deeplabv3plus_r101-d8_512x512_80k_potsdam,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#93,fastfcn_r50-d32_jpu_aspp_512x512_160k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}"
#94,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--resnest50_coco_256x192.py,15,"{'input_tensor': [[2, 1, 2, 64]], 'dim0': [[1]], 'dim1': [[2]]}"
#95,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--resnest50_coco_256x192.py,20,"{'input_tensor': [[2, 1, 2, 128]], 'dim0': [[1]], 'dim1': [[2]]}"
#96,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--resnest50_coco_256x192.py,30,"{'input_tensor': [[2, 1, 2, 256]], 'dim0': [[1]], 'dim1': [[2]]}"
#97,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--resnest50_coco_256x192.py,15,"{'input_tensor': [[2, 1, 2, 512]], 'dim0': [[1]], 'dim1': [[2]]}"
#98,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--shufflenetv1_coco_384x288.py,20,"{'input_tensor': [[2, 3, 20, 48, 36]], 'dim0': [[1]], 'dim1': [[2]]}"
#99,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--shufflenetv1_coco_384x288.py,40,"{'input_tensor': [[2, 3, 40, 24, 18]], 'dim0': [[1]], 'dim1': [[2]]}"
#100,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--shufflenetv1_coco_384x288.py,20,"{'input_tensor': [[2, 3, 80, 12, 9]], 'dim0': [[1]], 'dim1': [[2]]}"
#101,fcn_hr48_480x480_40k_pascal_context,5,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}"
#102,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input_tensor': [[256, 128, 2304]], 'dim0': [[1]], 'dim1': [[2]]}"
#103,simmim_swin-base_8xb256-coslr-100e_in1k-192,10,"{'input_tensor': [[16384, 4, 36, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#104,simmim_swin-base_8xb256-coslr-100e_in1k-192,10,"{'input_tensor': [[16384, 4, 36, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#105,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input_tensor': [[256, 512, 576]], 'dim0': [[1]], 'dim1': [[2]]}"
#106,simmim_swin-base_8xb256-coslr-100e_in1k-192,10,"{'input_tensor': [[4096, 8, 36, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#107,simmim_swin-base_8xb256-coslr-100e_in1k-192,10,"{'input_tensor': [[4096, 8, 36, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#108,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input_tensor': [[256, 1024, 144]], 'dim0': [[1]], 'dim1': [[2]]}"
#109,simmim_swin-base_8xb256-coslr-100e_in1k-192,90,"{'input_tensor': [[1024, 16, 36, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#110,simmim_swin-base_8xb256-coslr-100e_in1k-192,90,"{'input_tensor': [[1024, 16, 36, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#111,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input_tensor': [[256, 2048, 36]], 'dim0': [[1]], 'dim1': [[2]]}"
#112,simmim_swin-base_8xb256-coslr-100e_in1k-192,10,"{'input_tensor': [[256, 32, 36, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#113,simmim_swin-base_8xb256-coslr-100e_in1k-192,10,"{'input_tensor': [[256, 32, 36, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#114,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input_tensor': [[2, 192, 16384]], 'dim0': [[1]], 'dim1': [[2]]}"
#115,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,10,"{'input_tensor': [[722, 6, 49, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#116,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,10,"{'input_tensor': [[722, 6, 49, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#117,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input_tensor': [[2, 768, 4096]], 'dim0': [[1]], 'dim1': [[2]]}"
#118,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,10,"{'input_tensor': [[200, 12, 49, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#119,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,10,"{'input_tensor': [[200, 12, 49, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#120,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input_tensor': [[2, 1536, 1024]], 'dim0': [[1]], 'dim1': [[2]]}"
#121,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,90,"{'input_tensor': [[50, 24, 49, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#122,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,90,"{'input_tensor': [[50, 24, 49, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
#123,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input_tensor': [[2, 3072, 256]], 'dim0': [[1]], 'dim1': [[2]]}"
#124,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,10,"{'input_tensor': [[18, 48, 49, 32]], 'dim0': [[-2]], 'dim1': [[-1]]}"
#125,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,10,"{'input_tensor': [[18, 48, 49, 32]], 'dim0': [[1]], 'dim1': [[2]]}"
