id,source_neural_network,num_of_calls,parameters
#0,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 1, 1]], 'dims': [[2, 256, -1]]}"
#1,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 3, 3]], 'dims': [[2, 256, -1]]}"
#2,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 6, 6]], 'dims': [[2, 256, -1]]}"
#3,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 8, 8]], 'dims': [[2, 256, -1]]}"
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,10,"{'input_tensor': [[1, 1]], 'dims': [[-1]]}"
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[92]], 'dims': [[-1, 1]]}"
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[92, 124]], 'dims': [[-1]]}"
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[11408, 1, 4]], 'dims': [[-1, 4]]}"
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[46]], 'dims': [[-1, 1]]}"
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[46, 62]], 'dims': [[-1]]}"
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2852, 1, 4]], 'dims': [[-1, 4]]}"
#11,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[23]], 'dims': [[-1, 1]]}"
#12,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[23, 31]], 'dims': [[-1]]}"
#13,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[713, 1, 4]], 'dims': [[-1, 4]]}"
#14,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[12]], 'dims': [[-1, 1]]}"
#15,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[12, 16]], 'dims': [[-1]]}"
#16,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[192, 1, 4]], 'dims': [[-1, 4]]}"
#17,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,8,"{'input_tensor': [[6]], 'dims': [[-1, 1]]}"
#18,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[6, 8]], 'dims': [[-1]]}"
#19,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[48, 1, 4]], 'dims': [[-1, 4]]}"
#20,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[11408, 1]], 'dims': [[-1]]}"
#21,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2852, 1]], 'dims': [[-1]]}"
#22,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[713, 1]], 'dims': [[-1]]}"
#23,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[192, 1]], 'dims': [[-1]]}"
#24,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[48, 1]], 'dims': [[-1]]}"
#25,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[15213]], 'dims': [[1, -1]]}"
#26,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[1, 15213]], 'dims': [[-1]]}"
#27,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,6,"{'input_tensor': [[45, 1]], 'dims': [[-1]]}"
#28,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,8,"{'input_tensor': [[45]], 'dims': [[-1, 1]]}"
#29,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[45]], 'dims': [[-1]]}"
#30,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[8349]], 'dims': [[1, -1]]}"
#31,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[3, 8349]], 'dims': [[-1]]}"
#32,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[45, 3]], 'dims': [[-1]]}"
#33,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[135]], 'dims': [[-1, 3]]}"
#34,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[135]], 'dims': [[-1]]}"
#35,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[25047]], 'dims': [[3, -1]]}"
#36,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[22816]], 'dims': [[-1, 1]]}"
#37,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[5704]], 'dims': [[-1, 1]]}"
#38,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[1426]], 'dims': [[-1, 1]]}"
#39,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[384]], 'dims': [[-1, 1]]}"
#40,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[96]], 'dims': [[-1, 1]]}"
#41,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[128]], 'dims': [[-1, 1]]}"
#42,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[128, 96]], 'dims': [[-1]]}"
#43,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[12288, 1, 4]], 'dims': [[-1, 4]]}"
#44,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[64]], 'dims': [[-1, 1]]}"
#45,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[64, 48]], 'dims': [[-1]]}"
#46,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[3072, 1, 4]], 'dims': [[-1, 4]]}"
#47,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[32]], 'dims': [[-1, 1]]}"
#48,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[32, 24]], 'dims': [[-1]]}"
#49,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[768, 1, 4]], 'dims': [[-1, 4]]}"
#50,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[16]], 'dims': [[-1, 1]]}"
#51,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[16, 12]], 'dims': [[-1]]}"
#52,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[8]], 'dims': [[-1, 1]]}"
#53,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[8, 6]], 'dims': [[-1]]}"
#54,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[12288, 1]], 'dims': [[-1]]}"
#55,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[3072, 1]], 'dims': [[-1]]}"
#56,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[768, 1]], 'dims': [[-1]]}"
#57,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[10539]], 'dims': [[1, -1]]}"
#58,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[8, 10539]], 'dims': [[-1]]}"
#59,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[45, 8]], 'dims': [[-1]]}"
#60,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[360]], 'dims': [[-1, 8]]}"
#61,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[360]], 'dims': [[-1]]}"
#62,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[84312]], 'dims': [[8, -1]]}"
#63,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[16368]], 'dims': [[1, -1]]}"
#64,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[6, 16368]], 'dims': [[-1]]}"
#65,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[45, 6]], 'dims': [[-1]]}"
#66,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[270]], 'dims': [[-1, 6]]}"
#67,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[270]], 'dims': [[-1]]}"
#68,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[98208]], 'dims': [[6, -1]]}"
#69,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[24576]], 'dims': [[-1, 1]]}"
#70,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[6144]], 'dims': [[-1, 1]]}"
#71,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_tensor': [[1536]], 'dims': [[-1, 1]]}"
#72,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[76]], 'dims': [[-1, 1]]}"
#73,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[76, 104]], 'dims': [[-1]]}"
#74,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[7904, 1, 4]], 'dims': [[-1, 4]]}"
#75,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[38]], 'dims': [[-1, 1]]}"
#76,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[38, 52]], 'dims': [[-1]]}"
#77,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[1976, 1, 4]], 'dims': [[-1, 4]]}"
#78,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[19]], 'dims': [[-1, 1]]}"
#79,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[19, 26]], 'dims': [[-1]]}"
#80,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[494, 1, 4]], 'dims': [[-1, 4]]}"
#81,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,8,"{'input_tensor': [[10]], 'dims': [[-1, 1]]}"
#82,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[10, 13]], 'dims': [[-1]]}"
#83,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[130, 1, 4]], 'dims': [[-1, 4]]}"
#84,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,8,"{'input_tensor': [[5]], 'dims': [[-1, 1]]}"
#85,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[5, 7]], 'dims': [[-1]]}"
#86,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[35, 1, 4]], 'dims': [[-1, 4]]}"
#87,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[7904, 1]], 'dims': [[-1]]}"
#88,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[1976, 1]], 'dims': [[-1]]}"
#89,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[494, 1]], 'dims': [[-1]]}"
#90,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[130, 1]], 'dims': [[-1]]}"
#91,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[35, 1]], 'dims': [[-1]]}"
#92,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[9980]], 'dims': [[1, -1]]}"
#93,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[9, 9980]], 'dims': [[-1]]}"
#94,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[45, 9]], 'dims': [[-1]]}"
