item_0,time_cost
"[182400, 4]",0.0004162788391113281
"[182400, 4]",0.0002944469451904297
"[45600, 4]",6.29425048828125e-05
"[45600, 4]",5.602836608886719e-05
"[11400, 4]",3.147125244140625e-05
"[11400, 4]",3.075599670410156e-05
"[2850, 4]",1.2874603271484375e-05
"[2850, 4]",9.5367431640625e-06
"[741, 4]",5.7220458984375e-06
"[741, 4]",5.245208740234375e-06
"[14, 4]",3.337860107421875e-06
"[14, 4]",3.337860107421875e-06
"[33, 4]",3.814697265625e-06
"[33, 4]",3.0994415283203125e-06
"[32, 4]",3.0994415283203125e-06
"[32, 4]",3.0994415283203125e-06
"[163200, 4]",0.000209808349609375
"[163200, 4]",0.0001785755157470703
"[40800, 4]",7.772445678710938e-05
"[40800, 4]",4.649162292480469e-05
"[10200, 4]",2.1696090698242188e-05
"[10200, 4]",1.71661376953125e-05
"[2550, 4]",1.1444091796875e-05
"[2550, 4]",8.58306884765625e-06
"[663, 4]",5.4836273193359375e-06
"[663, 4]",4.5299530029296875e-06
"[4, 4]",3.337860107421875e-06
"[4, 4]",3.337860107421875e-06
"[2, 4]",3.337860107421875e-06
"[2, 4]",3.0994415283203125e-06
[24],3.5762786865234375e-06
[24],3.814697265625e-06
[6],3.0994415283203125e-06
[6],3.337860107421875e-06
"[4, 640, 640]",0.0007646083831787109
"[4, 640, 640]",0.0007996559143066406
"[5, 4]",5.4836273193359375e-06
"[5, 4]",3.5762786865234375e-06
"[6, 4]",3.337860107421875e-06
"[6, 4]",3.814697265625e-06
"[18, 4]",3.337860107421875e-06
"[18, 4]",3.337860107421875e-06
"[122400, 4]",0.00016069412231445312
"[122400, 4]",0.00012922286987304688
"[30600, 4]",5.91278076171875e-05
"[30600, 4]",3.933906555175781e-05
"[7650, 4]",2.2172927856445312e-05
"[7650, 4]",2.1219253540039062e-05
"[1989, 4]",1.0728836059570312e-05
"[1989, 4]",7.3909759521484375e-06
"[567, 4]",5.7220458984375e-06
"[567, 4]",4.76837158203125e-06
"[136800, 4]",0.0001621246337890625
"[136800, 4]",0.00014519691467285156
"[34200, 4]",5.125999450683594e-05
"[34200, 4]",3.8623809814453125e-05
"[8550, 4]",1.621246337890625e-05
"[8550, 4]",1.3828277587890625e-05
"[2223, 4]",9.5367431640625e-06
"[2223, 4]",7.3909759521484375e-06
"[630, 4]",4.76837158203125e-06
"[630, 4]",4.291534423828125e-06
"[145152, 4]",0.00016450881958007812
"[145152, 4]",0.0001494884490966797
"[36288, 4]",5.030632019042969e-05
"[36288, 4]",4.124641418457031e-05
"[9072, 4]",1.7642974853515625e-05
"[9072, 4]",1.430511474609375e-05
"[2268, 4]",8.821487426757812e-06
"[2268, 4]",7.62939453125e-06
"[594, 4]",5.0067901611328125e-06
"[594, 4]",4.0531158447265625e-06
"[100, 4]",3.5762786865234375e-06
"[100, 4]",4.0531158447265625e-06
[81],3.0994415283203125e-06
[81],3.337860107421875e-06
"[16, 2, 128, 128]",0.00014495849609375
"[16, 2, 128, 128]",0.00013256072998046875
[289],5.0067901611328125e-06
[289],3.5762786865234375e-06
[441],3.5762786865234375e-06
[441],4.0531158447265625e-06
[36],3.5762786865234375e-06
[36],2.86102294921875e-06
[169],3.5762786865234375e-06
[169],3.5762786865234375e-06
[25],3.5762786865234375e-06
[25],3.0994415283203125e-06
[49],2.86102294921875e-06
[49],3.337860107421875e-06
[9],3.0994415283203125e-06
[9],3.337860107421875e-06
[1],3.0994415283203125e-06
[1],3.337860107421875e-06
[625],4.0531158447265625e-06
[625],3.337860107421875e-06
[121],3.337860107421875e-06
[121],3.0994415283203125e-06
[841],3.814697265625e-06
[841],4.0531158447265625e-06
[225],3.0994415283203125e-06
[225],3.337860107421875e-06
[729],3.337860107421875e-06
[729],3.5762786865234375e-06
[361],3.5762786865234375e-06
[361],3.337860107421875e-06
[529],3.337860107421875e-06
[529],3.5762786865234375e-06
[961],3.337860107421875e-06
[961],3.814697265625e-06
"[10, 4]",3.337860107421875e-06
"[10, 4]",3.337860107421875e-06
"[8, 4]",3.0994415283203125e-06
"[8, 4]",3.337860107421875e-06
"[23, 4]",3.0994415283203125e-06
"[23, 4]",3.0994415283203125e-06
"[177600, 4]",0.0001971721649169922
"[177600, 4]",0.0001900196075439453
"[44400, 4]",4.482269287109375e-05
"[44400, 4]",4.291534423828125e-05
"[11100, 4]",2.0503997802734375e-05
"[11100, 4]",1.7404556274414062e-05
"[2775, 4]",1.1920928955078125e-05
"[2775, 4]",8.821487426757812e-06
"[15, 4]",3.814697265625e-06
"[15, 4]",3.814697265625e-06
"[13, 4]",3.0994415283203125e-06
"[13, 4]",3.0994415283203125e-06
"[7, 4]",3.0994415283203125e-06
"[7, 4]",3.0994415283203125e-06
"[1, 4]",3.337860107421875e-06
"[1, 4]",3.0994415283203125e-06
"[8732, 4]",1.4781951904296875e-05
"[8732, 4]",1.4543533325195312e-05
"[192000, 4]",0.00022220611572265625
"[192000, 4]",0.0002052783966064453
"[48000, 4]",5.030632019042969e-05
"[48000, 4]",4.7206878662109375e-05
"[12000, 4]",2.1696090698242188e-05
"[12000, 4]",1.8358230590820312e-05
"[3000, 4]",1.1682510375976562e-05
"[3000, 4]",8.821487426757812e-06
"[780, 4]",5.4836273193359375e-06
"[780, 4]",5.245208740234375e-06
