item_0,item_1,time_cost
"[512, 512, 3, 3]",[1e-06],0.00010633468627929688
"[128, 256, 1, 1]","[128, 256, 1, 1]",8.296966552734375e-05
[256],[1e-06],8.082389831542969e-05
"[96, 96]","[96, 96]",7.867813110351562e-05
[3],[3],5.078315734863281e-05
"[28, 672, 1, 1]","[28, 672, 1, 1]",5.245208740234375e-05
"[576, 1, 3, 3]","[576, 1, 3, 3]",5.054473876953125e-05
[240],[240],4.7206878662109375e-05
"[512, 512, 2, 2]",[1e-06],5.340576171875e-05
"[1296, 256, 1, 1]","[1296, 256, 1, 1]",4.76837158203125e-05
"[64, 192, 1, 1]","[64, 192, 1, 1]",4.76837158203125e-05
"[512, 1, 3, 3]","[512, 1, 3, 3]",7.152557373046875e-05
[992],[992],6.747245788574219e-05
[320],[320],6.699562072753906e-05
"[48, 3, 3, 3]","[48, 3, 3, 3]",4.696846008300781e-05
"[32, 1, 512, 6, 40]","[32, 31, 512, 1, 1]",0.0879976749420166
"[4096, 4096]","[4096, 4096]",0.0002598762512207031
"[256, 16, 1, 1]","[256, 16, 1, 1]",0.0002143383026123047
"[512, 32, 1, 1]","[512, 32, 1, 1]",0.00015354156494140625
[486],[486],0.00012612342834472656
[60],[60],8.726119995117188e-05
"[101, 2048]","[101, 2048]",7.987022399902344e-05
"[560, 1, 3, 3]","[560, 1, 3, 3]",7.104873657226562e-05
[3072],[3072],5.888938903808594e-05
"[128, 64, 5, 1, 1]","[128, 64, 5, 1, 1]",8.487701416015625e-05
"[96, 96, 3, 3]","[96, 96, 3, 3]",7.510185241699219e-05
"[576, 256, 1, 1]","[576, 256, 1, 1]",7.367134094238281e-05
"[384, 96]","[384, 96]",5.125999450683594e-05
"[256, 128, 5, 1, 1]","[256, 128, 5, 1, 1]",6.437301635742188e-05
"[2048, 1, 3, 3]","[2048, 1, 3, 3]",5.030632019042969e-05
[1024],[1e-06],6.508827209472656e-05
"[1000, 768]","[1000, 768]",5.221366882324219e-05
"[255, 96, 1, 1]","[255, 96, 1, 1]",4.9591064453125e-05
"[256, 512]",[1e-06],5.4836273193359375e-05
"[256, 1024, 1, 1]","[256, 1024, 1, 1]",7.557868957519531e-05
"[1600, 256, 1, 1]","[1600, 256, 1, 1]",6.985664367675781e-05
"[320, 960, 1, 1]","[320, 960, 1, 1]",6.341934204101562e-05
"[150, 512, 1, 1]","[150, 512, 1, 1]",4.887580871582031e-05
[768],[768],4.696846008300781e-05
"[192, 384]","[192, 384]",4.696846008300781e-05
"[128, 480, 1, 1]","[128, 480, 1, 1]",4.7206878662109375e-05
"[32, 8, 1, 1]","[32, 8, 1, 1]",4.696846008300781e-05
"[486, 1024, 3, 3]","[486, 1024, 3, 3]",4.863739013671875e-05
[20],[20],4.7206878662109375e-05
