item_0,item_1,item_2,time_cost
"[512, 512, 3, 3]","[512, 512, 3, 3]","[512, 512, 3, 3]",0.010919332504272461
"[3072, 768]","[3072, 768]","[3072, 768]",0.011176586151123047
[512],[512],[512],0.00010061264038085938
"[768, 256]","[768, 256]","[768, 256]",0.008759737014770508
"[1024, 256, 1, 1]","[1024, 256, 1, 1]","[1024, 256, 1, 1]",0.0011293888092041016
"[384, 1536]","[384, 1536]","[384, 1536]",0.0017764568328857422
"[256, 512, 1, 1]","[256, 512, 1, 1]","[256, 512, 1, 1]",0.0008122920989990234
"[256, 768, 1, 1]","[256, 768, 1, 1]","[256, 768, 1, 1]",0.0013117790222167969
"[512, 2816, 3, 3]","[512, 2816, 3, 3]","[512, 2816, 3, 3]",0.057428598403930664
"[768, 3, 16, 16]","[768, 3, 16, 16]","[768, 3, 16, 16]",0.0019507408142089844
"[169, 24]","[169, 24]","[169, 24]",0.00010514259338378906
"[34, 2048]","[34, 2048]","[34, 2048]",0.0005452632904052734
"[768, 768, 3, 3]","[768, 768, 3, 3]","[768, 768, 3, 3]",0.019124507904052734
"[32, 128, 1, 1]","[32, 128, 1, 1]","[32, 128, 1, 1]",0.0001418590545654297
"[192, 384]","[192, 384]","[192, 384]",0.0009069442749023438
"[81, 256]","[81, 256]","[81, 256]",0.0001773834228515625
"[512, 256, 3, 3]","[512, 256, 3, 3]","[512, 256, 3, 3]",0.0026879310607910156
[3],[3],[3],0.00010418891906738281
"[256, 1024, 1, 1]","[256, 1024, 1, 1]","[256, 1024, 1, 1]",0.0009949207305908203
"[128, 128, 3, 3]","[128, 128, 3, 3]","[128, 128, 3, 3]",0.000701904296875
"[93, 512]","[93, 512]","[93, 512]",0.0009100437164306641
"[256, 192, 1, 1]","[256, 192, 1, 1]","[256, 192, 1, 1]",0.0017902851104736328
"[768, 768]","[768, 768]","[768, 768]",0.002215862274169922
"[96, 3, 4, 4]","[96, 3, 4, 4]","[96, 3, 4, 4]",0.00010704994201660156
"[96, 96]","[96, 96]","[96, 96]",0.00012493133544921875
[192],[192],[192],8.130073547363281e-05
"[512, 1024, 1, 1]","[512, 1024, 1, 1]","[512, 1024, 1, 1]",0.0017254352569580078
[12],[12],[12],9.441375732421875e-05
"[512, 256, 1, 1]","[512, 256, 1, 1]","[512, 256, 1, 1]",0.0008902549743652344
"[64, 256, 1, 1]","[64, 256, 1, 1]","[64, 256, 1, 1]",0.00019693374633789062
"[256, 256]","[256, 256]","[256, 256]",0.0008065700531005859
"[256, 2048, 1, 1]","[256, 2048, 1, 1]","[256, 2048, 1, 1]",0.0017819404602050781
"[768, 192]","[768, 192]","[768, 192]",0.0009951591491699219
"[64, 64, 3, 3]","[64, 64, 3, 3]","[64, 64, 3, 3]",0.0005064010620117188
"[64, 3, 7, 7]","[64, 3, 7, 7]","[64, 3, 7, 7]",0.0001544952392578125
"[2048, 1024, 1, 1]","[2048, 1024, 1, 1]","[2048, 1024, 1, 1]",0.005413055419921875
[384],[384],[384],0.00010466575622558594
"[288, 96]","[288, 96]","[288, 96]",0.0002982616424560547
"[81, 1024]","[81, 1024]","[81, 1024]",0.0007560253143310547
"[256, 128, 3, 3]","[256, 128, 3, 3]","[256, 128, 3, 3]",0.0013077259063720703
"[1, 1, 768]","[1, 1, 768]","[1, 1, 768]",9.489059448242188e-05
[1024],[1024],[1024],0.00010514259338378906
"[256, 64, 3, 3]","[256, 64, 3, 3]","[256, 64, 3, 3]",0.0009629726409912109
"[512, 768, 1, 1]","[512, 768, 1, 1]","[512, 768, 1, 1]",0.0015382766723632812
"[192, 192]","[192, 192]","[192, 192]",0.0005638599395751953
"[32, 32, 3, 3]","[32, 32, 3, 3]","[32, 32, 3, 3]",0.00014543533325195312
"[3, 256, 1, 1]","[3, 256, 1, 1]","[3, 256, 1, 1]",9.441375732421875e-05
"[192, 768]","[192, 768]","[192, 768]",0.002076864242553711
"[169, 12]","[169, 12]","[169, 12]",0.00010514259338378906
"[512, 2048, 1, 1]","[512, 2048, 1, 1]","[512, 2048, 1, 1]",0.002555370330810547
[768],[768],[768],0.00010323524475097656
[92],[92],[92],8.7738037109375e-05
"[32, 64, 1, 1]","[32, 64, 1, 1]","[32, 64, 1, 1]",0.00010538101196289062
"[64, 32, 3, 3]","[64, 32, 3, 3]","[64, 32, 3, 3]",0.0002162456512451172
"[1024, 12544]","[1024, 12544]","[1024, 12544]",0.1203455924987793
[256],[256],[256],0.00015664100646972656
[1152],[1152],[1152],9.179115295410156e-05
"[768, 768, 1, 1]","[768, 768, 1, 1]","[768, 768, 1, 1]",0.002419710159301758
[1536],[1536],[1536],9.179115295410156e-05
"[96, 384]","[96, 384]","[96, 384]",0.00037741661071777344
"[17, 32, 1, 1]","[17, 32, 1, 1]","[17, 32, 1, 1]",8.702278137207031e-05
"[256, 64, 1, 1]","[256, 64, 1, 1]","[256, 64, 1, 1]",0.00015997886657714844
"[169, 6]","[169, 6]","[169, 6]",8.678436279296875e-05
[150],[150],[150],7.987022399902344e-05
"[256, 384, 1, 1]","[256, 384, 1, 1]","[256, 384, 1, 1]",0.0016374588012695312
[2048],[2048],[2048],9.202957153320312e-05
"[512, 512]","[512, 512]","[512, 512]",0.001361846923828125
"[384, 96]","[384, 96]","[384, 96]",0.0004172325134277344
"[1024, 1024]","[1024, 1024]","[1024, 1024]",0.0023436546325683594
[64],[64],[64],8.034706115722656e-05
"[1536, 384]","[1536, 384]","[1536, 384]",0.0017037391662597656
"[256, 128, 1, 1]","[256, 128, 1, 1]","[256, 128, 1, 1]",0.00021982192993164062
[3072],[3072],[3072],9.226799011230469e-05
"[32, 256, 1, 1]","[32, 256, 1, 1]","[32, 256, 1, 1]",0.00011944770812988281
"[256, 768, 3, 3]","[256, 768, 3, 3]","[256, 768, 3, 3]",0.0037834644317626953
