item_0,item_1,item_2,time_cost
[4],[4],[4],0.0006604194641113281
"[32, 32, 3, 3]","[32, 32, 3, 3]","[32, 32, 3, 3]",0.00014543533325195312
"[128, 256, 1, 1]","[128, 256, 1, 1]","[128, 256, 1, 1]",0.000232696533203125
"[64, 256, 1, 1]","[64, 256, 1, 1]","[64, 256, 1, 1]",0.00017333030700683594
[768],[768],[768],8.559226989746094e-05
"[150, 256, 1, 1]","[150, 256, 1, 1]","[150, 256, 1, 1]",0.0008325576782226562
"[64, 1, 3, 3]","[64, 1, 3, 3]","[64, 1, 3, 3]",9.894371032714844e-05
"[64, 3, 3, 3]","[64, 3, 3, 3]","[64, 3, 3, 3]",0.000102996826171875
"[1024, 12544]","[1024, 12544]","[1024, 12544]",0.05224943161010742
"[64, 64, 1, 1]","[64, 64, 1, 1]","[64, 64, 1, 1]",0.00016832351684570312
"[150, 512, 1, 1]","[150, 512, 1, 1]","[150, 512, 1, 1]",0.0009765625
[17],[17],[17],9.036064147949219e-05
[80],[80],[80],9.822845458984375e-05
"[38, 512]","[38, 512]","[38, 512]",0.00021386146545410156
"[3072, 768]","[3072, 768]","[3072, 768]",0.005106449127197266
"[384, 96]","[384, 96]","[384, 96]",0.0005154609680175781
"[512, 512]","[512, 512]","[512, 512]",0.0017452239990234375
[576],[576],[576],0.00010395050048828125
"[384, 1536]","[384, 1536]","[384, 1536]",0.0016415119171142578
"[1024, 512]","[1024, 512]","[1024, 512]",0.00150299072265625
"[92, 1536]","[92, 1536]","[92, 1536]",0.0009081363677978516
[1],[1],[1],8.940696716308594e-05
"[512, 256, 1, 1]","[512, 256, 1, 1]","[512, 256, 1, 1]",0.000896453857421875
"[32, 256, 1, 1]","[32, 256, 1, 1]","[32, 256, 1, 1]",0.00014138221740722656
"[384, 384]","[384, 384]","[384, 384]",0.0009734630584716797
[32],[32],[32],8.845329284667969e-05
[1536],[1536],[1536],9.822845458984375e-05
"[768, 192]","[768, 192]","[768, 192]",0.0009434223175048828
"[64, 128, 1, 1]","[64, 128, 1, 1]","[64, 128, 1, 1]",0.0001823902130126953
[256],[256],[256],9.083747863769531e-05
"[320, 1024]","[320, 1024]","[320, 1024]",0.0011823177337646484
"[32, 64, 1, 1]","[32, 64, 1, 1]","[32, 64, 1, 1]",9.799003601074219e-05
"[256, 768, 3, 3]","[256, 768, 3, 3]","[256, 768, 3, 3]",0.003829479217529297
"[512, 2048, 3, 3]","[512, 2048, 3, 3]","[512, 2048, 3, 3]",0.047893524169921875
"[17, 32, 1, 1]","[17, 32, 1, 1]","[17, 32, 1, 1]",0.00015664100646972656
"[256, 512, 1, 1]","[256, 512, 1, 1]","[256, 512, 1, 1]",0.0011782646179199219
[192],[192],[192],9.1552734375e-05
[92],[92],[92],8.678436279296875e-05
"[512, 768, 1, 1]","[512, 768, 1, 1]","[512, 768, 1, 1]",0.0013356208801269531
[64],[64],[64],8.893013000488281e-05
"[96, 96]","[96, 96]","[96, 96]",0.00018644332885742188
[2304],[2304],[2304],0.00010848045349121094
[1024],[1024],[1024],0.00010728836059570312
"[768, 768, 1, 1]","[768, 768, 1, 1]","[768, 768, 1, 1]",0.0017154216766357422
"[256, 512]","[256, 512]","[256, 512]",0.0009500980377197266
"[169, 12]","[169, 12]","[169, 12]",0.00010514259338378906
"[128, 512, 1, 1]","[128, 512, 1, 1]","[128, 512, 1, 1]",0.0007631778717041016
"[768, 3, 16, 16]","[768, 3, 16, 16]","[768, 3, 16, 16]",0.0019059181213378906
"[256, 256, 3, 3]","[256, 256, 3, 3]","[256, 256, 3, 3]",0.00180816650390625
[3],[3],[3],9.608268737792969e-05
"[512, 512, 2, 2]","[512, 512, 2, 2]","[512, 512, 2, 2]",0.0032956600189208984
"[512, 256, 3, 3]","[512, 256, 3, 3]","[512, 256, 3, 3]",0.0034673213958740234
"[768, 1536]","[768, 1536]","[768, 1536]",0.003361940383911133
[81],[81],[81],0.00010848045349121094
"[256, 32, 3, 3]","[256, 32, 3, 3]","[256, 32, 3, 3]",0.0006301403045654297
[288],[288],[288],9.512901306152344e-05
"[34, 2048]","[34, 2048]","[34, 2048]",0.0006914138793945312
"[1, 1, 768]","[1, 1, 768]","[1, 1, 768]",9.72747802734375e-05
"[512, 512, 3, 3]","[512, 512, 3, 3]","[512, 512, 3, 3]",0.005923032760620117
"[1024, 256]","[1024, 256]","[1024, 256]",0.0011513233184814453
"[12, 256, 1, 1]","[12, 256, 1, 1]","[12, 256, 1, 1]",0.00011849403381347656
"[2048, 512]","[2048, 512]","[2048, 512]",0.0033037662506103516
[96],[96],[96],9.465217590332031e-05
"[3, 256, 1, 1]","[3, 256, 1, 1]","[3, 256, 1, 1]",9.965896606445312e-05
[38],[38],[38],8.940696716308594e-05
"[169, 3]","[169, 3]","[169, 3]",9.322166442871094e-05
"[288, 96]","[288, 96]","[288, 96]",0.00027441978454589844
"[384, 768]","[384, 768]","[384, 768]",0.0011649131774902344
"[1024, 256, 1, 1]","[1024, 256, 1, 1]","[1024, 256, 1, 1]",0.0011780261993408203
"[256, 128, 3, 3]","[256, 128, 3, 3]","[256, 128, 3, 3]",0.0012018680572509766
"[256, 256, 2, 2]","[256, 256, 2, 2]","[256, 256, 2, 2]",0.001129150390625
"[512, 2816, 3, 3]","[512, 2816, 3, 3]","[512, 2816, 3, 3]",0.06033635139465332
"[93, 512]","[93, 512]","[93, 512]",0.0014538764953613281
"[1024, 1024]","[1024, 1024]","[1024, 1024]",0.00262451171875
"[1152, 384]","[1152, 384]","[1152, 384]",0.0014162063598632812
"[2048, 256]","[2048, 256]","[2048, 256]",0.0017685890197753906
"[1, 512]","[1, 512]","[1, 512]",9.751319885253906e-05
"[2048, 512, 1, 1]","[2048, 512, 1, 1]","[2048, 512, 1, 1]",0.0025107860565185547
"[256, 384, 1, 1]","[256, 384, 1, 1]","[256, 384, 1, 1]",0.0007719993591308594
[34],[34],[34],0.00011157989501953125
"[512, 128, 1, 1]","[512, 128, 1, 1]","[512, 128, 1, 1]",0.0008013248443603516
"[64, 32, 3, 3]","[64, 32, 3, 3]","[64, 32, 3, 3]",0.00021123886108398438
"[128, 32, 3, 3]","[128, 32, 3, 3]","[128, 32, 3, 3]",0.0005462169647216797
"[96, 3, 4, 4]","[96, 3, 4, 4]","[96, 3, 4, 4]",0.00012254714965820312
"[256, 128, 1, 1]","[256, 128, 1, 1]","[256, 128, 1, 1]",0.00029969215393066406
[12],[12],[12],9.179115295410156e-05
[512],[512],[512],9.751319885253906e-05
"[256, 192, 1, 1]","[256, 192, 1, 1]","[256, 192, 1, 1]",0.0006210803985595703
"[81, 1024]","[81, 1024]","[81, 1024]",0.0007703304290771484
"[256, 1024, 1, 1]","[256, 1024, 1, 1]","[256, 1024, 1, 1]",0.0012402534484863281
"[256, 64, 1, 1]","[256, 64, 1, 1]","[256, 64, 1, 1]",0.0001971721649169922
"[1024, 512, 1, 1]","[1024, 512, 1, 1]","[1024, 512, 1, 1]",0.0017611980438232422
"[169, 6]","[169, 6]","[169, 6]",0.00011134147644042969
[1152],[1152],[1152],9.775161743164062e-05
"[32, 256, 3, 3]","[32, 256, 3, 3]","[32, 256, 3, 3]",0.0006945133209228516
"[64, 64, 3, 3]","[64, 64, 3, 3]","[64, 64, 3, 3]",0.0005178451538085938
"[64, 256, 3, 3]","[64, 256, 3, 3]","[64, 256, 3, 3]",0.0008654594421386719
[128],[128],[128],0.00010943412780761719
"[512, 2048, 1, 1]","[512, 2048, 1, 1]","[512, 2048, 1, 1]",0.0031630992889404297
"[2048, 1024, 1, 1]","[2048, 1024, 1, 1]","[2048, 1024, 1, 1]",0.0053327083587646484
[3072],[3072],[3072],0.00012683868408203125
"[192, 768]","[192, 768]","[192, 768]",0.0008087158203125
"[256, 2048, 1, 1]","[256, 2048, 1, 1]","[256, 2048, 1, 1]",0.0016660690307617188
"[2304, 768]","[2304, 768]","[2304, 768]",0.0038764476776123047
[2048],[2048],[2048],0.00012063980102539062
"[256, 96, 1, 1]","[256, 96, 1, 1]","[256, 96, 1, 1]",0.0002570152282714844
"[256, 768, 1, 1]","[256, 768, 1, 1]","[256, 768, 1, 1]",0.0008821487426757812
"[64, 3, 7, 7]","[64, 3, 7, 7]","[64, 3, 7, 7]",0.00014448165893554688
"[4, 256]","[4, 256]","[4, 256]",9.369850158691406e-05
"[100, 256]","[100, 256]","[100, 256]",0.00023245811462402344
"[192, 192]","[192, 192]","[192, 192]",0.0005090236663818359
"[80, 256, 1, 1]","[80, 256, 1, 1]","[80, 256, 1, 1]",0.0002040863037109375
"[81, 256]","[81, 256]","[81, 256]",0.00020956993103027344
"[1, 1025, 768]","[1, 1025, 768]","[1, 1025, 768]",0.0019941329956054688
"[128, 64, 3, 3]","[128, 64, 3, 3]","[128, 64, 3, 3]",0.000640869140625
[320],[320],[320],0.00010824203491210938
"[768, 768, 3, 3]","[768, 768, 3, 3]","[768, 768, 3, 3]",0.010759592056274414
[150],[150],[150],0.00014781951904296875
"[96, 384]","[96, 384]","[96, 384]",0.0005252361297607422
"[512, 1024, 1, 1]","[512, 1024, 1, 1]","[512, 1024, 1, 1]",0.0015876293182373047
"[32, 128, 1, 1]","[32, 128, 1, 1]","[32, 128, 1, 1]",0.00011181831359863281
"[169, 24]","[169, 24]","[169, 24]",0.00010824203491210938
"[768, 768]","[768, 768]","[768, 768]",0.0017611980438232422
"[256, 256]","[256, 256]","[256, 256]",0.0006878376007080078
"[256, 64, 3, 3]","[256, 64, 3, 3]","[256, 64, 3, 3]",0.000797271728515625
"[576, 192]","[576, 192]","[576, 192]",0.0006968975067138672
"[768, 256]","[768, 256]","[768, 256]",0.0009160041809082031
"[768, 3072]","[768, 3072]","[768, 3072]",0.0051727294921875
[384],[384],[384],0.00012993812561035156
"[256, 2048]","[256, 2048]","[256, 2048]",0.0015881061553955078
"[192, 384]","[192, 384]","[192, 384]",0.0006322860717773438
"[1536, 384]","[1536, 384]","[1536, 384]",0.0014309883117675781
"[128, 128, 3, 3]","[128, 128, 3, 3]","[128, 128, 3, 3]",0.0009489059448242188
