item_0,time_cost
[163206],8.96453857421875e-05
[497],5.269050598144531e-05
[217413],6.079673767089844e-05
[18134],4.982948303222656e-05
[182403],5.9604644775390625e-05
[760],4.9114227294921875e-05
[20267],5.984306335449219e-05
[67],7.700920104980469e-05
[162],7.295608520507812e-05
"[100, 4]",6.914138793945312e-05
[346],0.0001964569091796875
[435],9.250640869140625e-05
[329],5.1975250244140625e-05
[1562],5.173683166503906e-05
[193374],5.936622619628906e-05
[194],4.863739013671875e-05
[27],4.792213439941406e-05
[236616],6.222724914550781e-05
[8],7.486343383789062e-05
[498],6.842613220214844e-05
[8732],4.9114227294921875e-05
[362],4.9114227294921875e-05
[9],4.744529724121094e-05
[85],4.792213439941406e-05
[366],4.744529724121094e-05
[255780],5.793571472167969e-05
[71],4.744529724121094e-05
[7],4.673004150390625e-05
[153],4.673004150390625e-05
[226],4.9591064453125e-05
[468],4.9114227294921875e-05
[262],6.961822509765625e-05
[106],6.270408630371094e-05
[692],7.486343383789062e-05
[242991],0.0001819133758544922
[424],9.632110595703125e-05
[21486],5.2928924560546875e-05
[3],5.1021575927734375e-05
[512],4.744529724121094e-05
