item_0,item_1,item_2,time_cost
"[8, 1, 399]","[8, 399, 32]","[8, 32, 399]",0.0012156963348388672
"[16, 1, 391]","[16, 100, 32]","[16, 32, 391]",0.0007970333099365234
"[16, 1, 840]","[16, 840, 32]","[16, 32, 840]",0.0014142990112304688
"[16, 1, 805]","[16, 100, 32]","[16, 32, 805]",0.0009398460388183594
"[8, 1, 768]","[8, 100, 32]","[8, 32, 768]",0.0009272098541259766
"[8, 1, 460]","[8, 460, 32]","[8, 32, 460]",0.0009312629699707031
"[16, 1, 600]","[16, 100, 32]","[16, 32, 600]",0.0009334087371826172
"[8, 1, 460]","[8, 100, 32]","[8, 32, 460]",0.0008652210235595703
"[8, 1, 768]","[8, 768, 32]","[8, 32, 768]",0.0007281303405761719
"[16, 1, 805]","[16, 805, 32]","[16, 32, 805]",0.0006995201110839844
"[8, 1, 713]","[8, 100, 32]","[8, 32, 713]",0.0007901191711425781
"[16, 1, 840]","[16, 100, 32]","[16, 32, 840]",0.0009262561798095703
"[16, 100, 1024]","[16, 100, 32]","[16, 32, 1024]",0.0009059906005859375
"[8, 1, 399]","[8, 100, 32]","[8, 32, 399]",0.0009217262268066406
"[16, 1, 600]","[16, 600, 32]","[16, 32, 600]",0.0009200572967529297
"[8, 1, 713]","[8, 713, 32]","[8, 32, 713]",0.0009202957153320312
"[8, 1, 330]","[8, 100, 32]","[8, 32, 330]",0.0006525516510009766
"[16, 100, 4096]","[16, 100, 32]","[16, 32, 4096]",0.0006883144378662109
"[16, 100, 16384]","[16, 100, 32]","[16, 32, 16384]",0.0013527870178222656
"[16, 1, 391]","[16, 391, 32]","[16, 32, 391]",0.0006103515625
"[8, 1, 330]","[8, 330, 32]","[8, 32, 330]",0.0006940364837646484
