item_0,item_1,time_cost
"[8, 418, 32]","[8, 32, 418]",8.749961853027344e-05
"[8, 100, 506]","[8, 506, 32]",4.982948303222656e-05
"[8, 100, 32]","[8, 32, 525]",4.124641418457031e-05
"[8, 100, 100]","[8, 100, 32]",3.814697265625e-05
"[8, 100, 32]","[8, 32, 506]",3.719329833984375e-05
"[8, 100, 32]","[8, 32, 720]",3.7670135498046875e-05
"[8, 660, 32]","[8, 32, 660]",0.00028514862060546875
"[8, 506, 32]","[8, 32, 506]",4.792213439941406e-05
"[8, 100, 32]","[8, 32, 624]",4.100799560546875e-05
"[24, 1025, 1025]","[24, 1025, 64]",3.790855407714844e-05
"[8, 700, 32]","[8, 32, 700]",0.0003349781036376953
"[8, 100, 32]","[8, 32, 418]",4.935264587402344e-05
"[8, 720, 720]","[8, 720, 32]",4.029273986816406e-05
"[8, 100, 720]","[8, 720, 32]",3.719329833984375e-05
"[8, 420, 420]","[8, 420, 32]",3.719329833984375e-05
"[8, 624, 624]","[8, 624, 32]",3.6716461181640625e-05
"[8, 100, 32]","[8, 32, 100]",3.647804260253906e-05
"[8, 100, 32]","[8, 32, 420]",3.743171691894531e-05
"[8, 418, 418]","[8, 418, 32]",3.695487976074219e-05
"[8, 660, 660]","[8, 660, 32]",3.647804260253906e-05
"[8, 100, 525]","[8, 525, 32]",3.695487976074219e-05
"[8, 720, 32]","[8, 32, 720]",3.743171691894531e-05
"[8, 100, 700]","[8, 700, 32]",3.6716461181640625e-05
"[8, 525, 32]","[8, 32, 525]",3.7670135498046875e-05
"[8, 100, 32]","[8, 32, 270]",5.602836608886719e-05
"[8, 624, 32]","[8, 32, 624]",3.981590270996094e-05
"[8, 700, 700]","[8, 700, 32]",3.719329833984375e-05
"[8, 100, 420]","[8, 420, 32]",3.62396240234375e-05
"[8, 100, 418]","[8, 418, 32]",3.600120544433594e-05
"[8, 100, 660]","[8, 660, 32]",3.647804260253906e-05
"[8, 270, 270]","[8, 270, 32]",3.600120544433594e-05
"[8, 420, 32]","[8, 32, 420]",3.6716461181640625e-05
"[8, 100, 624]","[8, 624, 32]",3.600120544433594e-05
"[8, 100, 270]","[8, 270, 32]",3.5762786865234375e-05
"[8, 100, 32]","[8, 32, 660]",3.6716461181640625e-05
"[8, 506, 506]","[8, 506, 32]",3.6716461181640625e-05
"[24, 1025, 64]","[24, 64, 1025]",0.0004677772521972656
"[8, 270, 32]","[8, 32, 270]",4.935264587402344e-05
"[8, 525, 525]","[8, 525, 32]",4.76837158203125e-05
"[8, 100, 32]","[8, 32, 700]",2.8848648071289062e-05
