item_0,item_1,item_2,time_cost
[2],[1e-06],[None],0.0001842975616455078
[2],[1e-06],[None],7.2479248046875e-05
[5],[1e-06],[None],6.604194641113281e-05
[5],[1e-06],[None],6.461143493652344e-05
[1],[1e-06],[None],6.556510925292969e-05
[1],[1e-06],[None],6.175041198730469e-05
[16],[1e-06],[None],6.461143493652344e-05
[16],[1e-06],[None],6.127357482910156e-05
[6],[1e-06],[None],7.176399230957031e-05
[6],[1e-06],[None],6.341934204101562e-05
[468],[1e-06],[None],6.651878356933594e-05
[362],[1e-06],[None],6.4849853515625e-05
[692],[1e-06],[None],6.318092346191406e-05
[497],[1e-06],[None],6.270408630371094e-05
[153],[1e-06],[None],6.365776062011719e-05
[1562],[1e-06],[None],6.413459777832031e-05
[498],[1e-06],[None],6.413459777832031e-05
[366],[1e-06],[None],6.461143493652344e-05
[760],[1e-06],[None],6.318092346191406e-05
[262],[1e-06],[None],6.4849853515625e-05
[498],[1e-06],[None],6.318092346191406e-05
[194],[1e-06],[None],6.413459777832031e-05
[71],[1e-06],[None],7.43865966796875e-05
[106],[1e-06],[None],7.367134094238281e-05
[226],[1e-06],[None],6.461143493652344e-05
[329],[1e-06],[None],6.437301635742188e-05
[346],[1e-06],[None],6.29425048828125e-05
[162],[1e-06],[None],6.270408630371094e-05
[424],[1e-06],[None],6.222724914550781e-05
[435],[1e-06],[None],6.127357482910156e-05
[32],[1],[26],7.700920104980469e-05
[32],[1],[26],7.581710815429688e-05
[32],[1],[26],7.271766662597656e-05
[32],[1],[26],7.367134094238281e-05
[32],[1],[26],7.605552673339844e-05
[32],[1],[26],7.43865966796875e-05
[32],[1],[26],8.153915405273438e-05
[32],[1],[26],7.486343383789062e-05
[32],[1],[26],7.557868957519531e-05
[32],[1],[26],7.319450378417969e-05
[32],[1],[26],7.104873657226562e-05
[32],[1],[26],7.2479248046875e-05
[32],[1],[26],7.843971252441406e-05
[32],[1],[26],7.867813110351562e-05
[32],[1],[26],7.510185241699219e-05
[32],[1],[26],7.414817810058594e-05
[32],[1],[26],7.390975952148438e-05
[32],[1],[26],7.224082946777344e-05
[32],[1],[26],7.677078247070312e-05
[32],[1],[26],8.106231689453125e-05
[32],[1],[26],7.224082946777344e-05
[32],[1],[26],6.985664367675781e-05
[32],[1],[26],7.295608520507812e-05
[32],[1],[26],7.176399230957031e-05
