item_0,item_1,item_2,time_cost
[2],[1e-06],[None],5.1975250244140625e-05
[2],[1e-06],[None],0.0002028942108154297
[5],[1e-06],[None],4.458427429199219e-05
[5],[1e-06],[None],3.981590270996094e-05
[1],[1e-06],[None],3.8623809814453125e-05
[1],[1e-06],[None],3.8623809814453125e-05
[16],[1e-06],[None],3.9577484130859375e-05
[16],[1e-06],[None],4.792213439941406e-05
[6],[1e-06],[None],3.9577484130859375e-05
[6],[1e-06],[None],3.7670135498046875e-05
[468],[1e-06],[None],4.363059997558594e-05
[362],[1e-06],[None],4.100799560546875e-05
[692],[1e-06],[None],4.1484832763671875e-05
[497],[1e-06],[None],4.076957702636719e-05
[153],[1e-06],[None],3.910064697265625e-05
[1562],[1e-06],[None],4.2438507080078125e-05
[498],[1e-06],[None],4.029273986816406e-05
[366],[1e-06],[None],4.076957702636719e-05
[760],[1e-06],[None],4.100799560546875e-05
[262],[1e-06],[None],3.9577484130859375e-05
[498],[1e-06],[None],3.981590270996094e-05
[194],[1e-06],[None],4.00543212890625e-05
[71],[1e-06],[None],3.910064697265625e-05
[106],[1e-06],[None],3.838539123535156e-05
[226],[1e-06],[None],4.029273986816406e-05
[329],[1e-06],[None],4.100799560546875e-05
[346],[1e-06],[None],4.00543212890625e-05
[162],[1e-06],[None],3.933906555175781e-05
[424],[1e-06],[None],4.0531158447265625e-05
[435],[1e-06],[None],4.792213439941406e-05
[32],[1],[26],4.100799560546875e-05
[32],[1],[26],3.814697265625e-05
[32],[1],[26],3.838539123535156e-05
[32],[1],[26],3.814697265625e-05
[32],[1],[26],3.838539123535156e-05
[32],[1],[26],3.790855407714844e-05
[32],[1],[26],3.7670135498046875e-05
[32],[1],[26],3.7670135498046875e-05
[32],[1],[26],3.790855407714844e-05
[32],[1],[26],3.790855407714844e-05
[32],[1],[26],3.814697265625e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.7670135498046875e-05
[32],[1],[26],3.7670135498046875e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.790855407714844e-05
[32],[1],[26],3.7670135498046875e-05
[32],[1],[26],3.7670135498046875e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.719329833984375e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.814697265625e-05
[32],[1],[26],4.9114227294921875e-05
[32],[1],[26],3.814697265625e-05
[32],[1],[26],3.838539123535156e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.743171691894531e-05
[32],[1],[26],3.7670135498046875e-05
