item_0,time_cost
"[48, 3, 3, 3]",2.6702880859375e-05
"[48, 3, 3, 3]",7.152557373046875e-06
[48],3.814697265625e-06
[48],3.5762786865234375e-06
"[48, 3, 1, 1]",3.5762786865234375e-06
"[48, 3, 1, 1]",3.5762786865234375e-06
"[48, 48, 3, 3]",3.814697265625e-05
"[48, 48, 3, 3]",1.4543533325195312e-05
"[48, 48, 1, 1]",5.4836273193359375e-06
"[48, 48, 1, 1]",4.291534423828125e-06
"[96, 48, 3, 3]",4.100799560546875e-05
"[96, 48, 3, 3]",1.7642974853515625e-05
[96],4.0531158447265625e-06
[96],3.814697265625e-06
"[96, 48, 1, 1]",5.7220458984375e-06
"[96, 48, 1, 1]",5.4836273193359375e-06
"[96, 96, 3, 3]",5.817413330078125e-05
"[96, 96, 3, 3]",2.8371810913085938e-05
"[96, 96, 1, 1]",8.821487426757812e-06
"[96, 96, 1, 1]",7.62939453125e-06
"[192, 96, 3, 3]",7.295608520507812e-05
"[192, 96, 3, 3]",4.76837158203125e-05
[192],5.0067901611328125e-06
[192],3.5762786865234375e-06
"[192, 96, 1, 1]",1.2159347534179688e-05
"[192, 96, 1, 1]",1.3113021850585938e-05
"[192, 192, 3, 3]",0.0001220703125
"[192, 192, 3, 3]",9.202957153320312e-05
"[192, 192, 1, 1]",1.7404556274414062e-05
"[192, 192, 1, 1]",1.5974044799804688e-05
"[1280, 192, 3, 3]",0.0010025501251220703
"[1280, 192, 3, 3]",0.001295328140258789
[1280],7.152557373046875e-06
[1280],4.0531158447265625e-06
"[1280, 192, 1, 1]",9.703636169433594e-05
"[1280, 192, 1, 1]",6.914138793945312e-05
"[1000, 1280]",0.0005998611450195312
"[1000, 1280]",0.0005059242248535156
[1000],6.4373016357421875e-06
[1000],3.814697265625e-06
"[32, 3, 3, 3]",4.291534423828125e-06
"[32, 3, 3, 3]",3.5762786865234375e-06
[32],3.5762786865234375e-06
[32],3.0994415283203125e-06
"[32, 32, 3, 3]",7.867813110351562e-06
"[32, 32, 3, 3]",7.3909759521484375e-06
"[64, 32, 3, 3]",1.2874603271484375e-05
"[64, 32, 3, 3]",1.239776611328125e-05
[64],3.814697265625e-06
[64],2.86102294921875e-06
"[64, 64, 1, 1]",5.4836273193359375e-06
"[64, 64, 1, 1]",6.4373016357421875e-06
"[64, 64, 3, 3]",1.7404556274414062e-05
"[64, 64, 3, 3]",1.52587890625e-05
"[256, 64, 1, 1]",1.1444091796875e-05
"[256, 64, 1, 1]",1.1205673217773438e-05
[256],4.76837158203125e-06
[256],3.337860107421875e-06
"[64, 256, 1, 1]",1.0967254638671875e-05
"[64, 256, 1, 1]",1.0251998901367188e-05
"[128, 256, 1, 1]",2.002716064453125e-05
"[128, 256, 1, 1]",1.9550323486328125e-05
[128],4.0531158447265625e-06
[128],3.337860107421875e-06
"[128, 128, 3, 3]",4.315376281738281e-05
"[128, 128, 3, 3]",4.2438507080078125e-05
"[512, 128, 1, 1]",2.5272369384765625e-05
"[512, 128, 1, 1]",2.4557113647460938e-05
[512],4.5299530029296875e-06
[512],3.337860107421875e-06
"[512, 256, 1, 1]",3.695487976074219e-05
"[512, 256, 1, 1]",3.4809112548828125e-05
"[128, 512, 1, 1]",2.47955322265625e-05
"[128, 512, 1, 1]",2.4318695068359375e-05
"[256, 512, 1, 1]",3.457069396972656e-05
"[256, 512, 1, 1]",3.528594970703125e-05
"[256, 256, 3, 3]",0.00017142295837402344
"[256, 256, 3, 3]",0.00015401840209960938
"[1024, 256, 1, 1]",6.747245788574219e-05
"[1024, 256, 1, 1]",6.985664367675781e-05
[1024],4.76837158203125e-06
[1024],3.814697265625e-06
"[1024, 512, 1, 1]",0.00013208389282226562
"[1024, 512, 1, 1]",0.00012540817260742188
"[256, 1024, 1, 1]",6.198883056640625e-05
"[256, 1024, 1, 1]",6.198883056640625e-05
"[512, 1024, 1, 1]",0.00012373924255371094
"[512, 1024, 1, 1]",0.00012564659118652344
"[512, 512, 3, 3]",0.00113677978515625
"[512, 512, 3, 3]",0.0011708736419677734
"[2048, 512, 1, 1]",0.0003955364227294922
"[2048, 512, 1, 1]",0.00032067298889160156
[2048],6.198883056640625e-06
[2048],4.291534423828125e-06
"[2048, 1024, 1, 1]",0.0009112358093261719
"[2048, 1024, 1, 1]",0.0009510517120361328
"[512, 2048, 1, 1]",0.0003540515899658203
"[512, 2048, 1, 1]",0.00028824806213378906
"[150, 512, 1, 1]",2.6702880859375e-05
"[150, 512, 1, 1]",2.4080276489257812e-05
[150],4.5299530029296875e-06
[150],3.814697265625e-06
"[512, 4096, 3, 3]",0.01203608512878418
"[512, 4096, 3, 3]",0.011771917343139648
"[512, 512, 1, 1]",0.0001723766326904297
"[512, 512, 1, 1]",7.963180541992188e-05
"[512, 2048, 3, 3]",0.0058307647705078125
"[512, 2048, 3, 3]",0.005723237991333008
"[150, 256, 1, 1]",3.5762786865234375e-05
"[150, 256, 1, 1]",1.6450881958007812e-05
"[256, 1024, 3, 3]",0.0014989376068115234
"[256, 1024, 3, 3]",0.0014927387237548828
"[64, 3, 7, 7]",1.3589859008789062e-05
"[64, 3, 7, 7]",8.106231689453125e-06
"[101, 2048]",0.00011301040649414062
"[101, 2048]",6.008148193359375e-05
[101],4.76837158203125e-06
[101],3.5762786865234375e-06
"[128, 64, 3, 3]",2.6226043701171875e-05
"[128, 64, 3, 3]",2.4080276489257812e-05
"[128, 64, 1, 1]",7.867813110351562e-06
"[128, 64, 1, 1]",6.67572021484375e-06
"[256, 128, 3, 3]",8.702278137207031e-05
"[256, 128, 3, 3]",7.224082946777344e-05
"[256, 128, 1, 1]",2.0503997802734375e-05
"[256, 128, 1, 1]",1.9550323486328125e-05
"[512, 256, 3, 3]",0.000579833984375
"[512, 256, 3, 3]",0.0005249977111816406
"[256, 256, 1, 1]",3.0517578125e-05
"[256, 256, 1, 1]",2.6226043701171875e-05
"[64, 256, 3, 3]",4.601478576660156e-05
"[64, 256, 3, 3]",4.363059997558594e-05
"[64, 64, 2, 2]",1.2636184692382812e-05
"[64, 64, 2, 2]",1.0728836059570312e-05
"[64, 1, 2, 2]",4.0531158447265625e-06
"[64, 1, 2, 2]",3.337860107421875e-06
[1],3.5762786865234375e-06
[1],3.337860107421875e-06
[51],3.337860107421875e-06
[51],3.0994415283203125e-06
"[192, 3, 1, 1]",3.814697265625e-06
"[192, 3, 1, 1]",4.0531158447265625e-06
"[64, 64, 9, 1]",1.5497207641601562e-05
"[64, 64, 9, 1]",1.5974044799804688e-05
"[192, 64, 1, 1]",9.298324584960938e-06
"[192, 64, 1, 1]",9.059906005859375e-06
"[384, 64, 1, 1]",1.4781951904296875e-05
"[384, 64, 1, 1]",1.52587890625e-05
[384],4.0531158447265625e-06
[384],3.5762786865234375e-06
"[128, 128, 9, 1]",3.9577484130859375e-05
"[128, 128, 9, 1]",4.601478576660156e-05
"[384, 128, 1, 1]",2.0265579223632812e-05
"[384, 128, 1, 1]",1.9073486328125e-05
"[768, 128, 1, 1]",3.1948089599609375e-05
"[768, 128, 1, 1]",3.218650817871094e-05
[768],5.0067901611328125e-06
[768],3.814697265625e-06
"[256, 256, 9, 1]",0.0001728534698486328
"[256, 256, 9, 1]",0.00015735626220703125
"[768, 256, 1, 1]",4.9591064453125e-05
"[768, 256, 1, 1]",4.9114227294921875e-05
"[3, 17, 17]",4.76837158203125e-06
"[3, 17, 17]",3.814697265625e-06
"[60, 256, 1, 1]",1.049041748046875e-05
"[60, 256, 1, 1]",9.298324584960938e-06
[60],4.0531158447265625e-06
[60],2.86102294921875e-06
"[32, 128, 3, 3]",1.6689300537109375e-05
"[32, 128, 3, 3]",1.5020370483398438e-05
"[128, 96, 1, 1]",9.059906005859375e-06
"[128, 96, 1, 1]",9.059906005859375e-06
"[128, 128, 1, 1]",1.0251998901367188e-05
"[128, 128, 1, 1]",1.0728836059570312e-05
[160],3.814697265625e-06
[160],3.337860107421875e-06
"[128, 160, 1, 1]",1.2636184692382812e-05
"[128, 160, 1, 1]",1.2636184692382812e-05
"[128, 192, 1, 1]",1.52587890625e-05
"[128, 192, 1, 1]",1.5497207641601562e-05
[224],4.291534423828125e-06
[224],3.337860107421875e-06
