item_0,time_cost
"[256, 512, 1, 1]",1.1682510375976562e-05
"[64, 3, 3, 3]",4.76837158203125e-06
"[512, 1024, 1, 1]",3.5762786865234375e-06
"[2048, 512, 1, 1]",3.0994415283203125e-06
"[256, 1024, 1, 1]",3.0994415283203125e-06
"[2048, 1024, 1, 1]",3.0994415283203125e-06
"[128, 32, 3, 3]",3.0994415283203125e-06
[256],2.6226043701171875e-06
"[2048, 512]",2.86102294921875e-06
"[93, 512]",2.86102294921875e-06
"[512, 512]",2.384185791015625e-06
"[32, 32, 3, 3]",2.86102294921875e-06
"[1024, 256, 1, 1]",2.86102294921875e-06
[92],2.86102294921875e-06
"[256, 32, 3, 3]",2.6226043701171875e-06
"[64, 128, 1, 1]",2.86102294921875e-06
[128],2.6226043701171875e-06
"[512, 128, 1, 1]",2.6226043701171875e-06
"[128, 64, 3, 3]",2.86102294921875e-06
[1024],2.86102294921875e-06
"[512, 256, 1, 1]",2.86102294921875e-06
"[256, 128, 3, 3]",2.6226043701171875e-06
[1],2.86102294921875e-06
"[64, 3, 7, 7]",2.86102294921875e-06
"[92, 1536]",2.86102294921875e-06
"[128, 512, 1, 1]",2.86102294921875e-06
"[256, 64, 3, 3]",2.86102294921875e-06
"[256, 64, 1, 1]",5.7220458984375e-06
"[64, 32, 3, 3]",2.86102294921875e-06
[32],2.86102294921875e-06
"[256, 128, 1, 1]",2.6226043701171875e-06
"[1024, 512, 1, 1]",2.86102294921875e-06
"[32, 256, 3, 3]",2.86102294921875e-06
[512],2.86102294921875e-06
"[64, 64, 1, 1]",2.6226043701171875e-06
[34],2.86102294921875e-06
"[256, 256, 3, 3]",2.86102294921875e-06
"[32, 64, 1, 1]",2.86102294921875e-06
[2048],2.86102294921875e-06
"[512, 256, 3, 3]",2.86102294921875e-06
"[32, 256, 1, 1]",2.86102294921875e-06
"[34, 2048]",2.6226043701171875e-06
"[64, 256, 3, 3]",2.86102294921875e-06
"[64, 256, 1, 1]",2.86102294921875e-06
"[128, 256, 1, 1]",2.86102294921875e-06
"[512, 2048, 1, 1]",2.86102294921875e-06
"[512, 512, 3, 3]",2.6226043701171875e-06
"[17, 32, 1, 1]",2.86102294921875e-06
"[32, 128, 1, 1]",2.86102294921875e-06
"[64, 64, 3, 3]",2.384185791015625e-06
"[1, 512]",2.86102294921875e-06
"[128, 128, 3, 3]",2.86102294921875e-06
[17],2.6226043701171875e-06
[64],2.6226043701171875e-06
