item_0,time_cost
"[660, 1, 256]",3.218650817871094e-05
"[1, 3, 800, 1184]",4.76837158203125e-06
"[8, 2304, 8, 8]",3.337860107421875e-06
[19],3.5762786865234375e-06
"[1, 15, 7, 20, 7, 192]",6.198883056640625e-06
[7],3.0994415283203125e-06
"[2, 3, 800, 1216]",3.0994415283203125e-06
"[1008, 80]",3.337860107421875e-06
[46],3.0994415283203125e-06
"[26, 32, 38]",2.86102294921875e-06
"[4, 768, 7, 7]",2.86102294921875e-06
"[54400, 3]",2.86102294921875e-06
"[22, 256, 14, 14]",2.86102294921875e-06
"[1, 8, 8, 7, 7, 1]",2.86102294921875e-06
"[392, 256, 7, 7]",3.0994415283203125e-06
"[1, 4, 4, 7, 7, 1]",2.6226043701171875e-06
[21],2.6226043701171875e-06
"[1, 3, 832, 800]",2.6226043701171875e-06
"[9, 256, 7, 7]",2.86102294921875e-06
"[364, 3]",2.6226043701171875e-06
"[4032, 9]",2.6226043701171875e-06
"[10, 4]",2.86102294921875e-06
"[1, 15, 22, 7, 7, 1]",3.0994415283203125e-06
"[32, 40, 512]",2.6226043701171875e-06
[14],2.86102294921875e-06
"[1, 96, 200, 304]",2.86102294921875e-06
[36268],2.86102294921875e-06
"[362, 256, 7, 7]",2.86102294921875e-06
"[6, 4]",2.86102294921875e-06
"[1, 25, 34, 768]",2.6226043701171875e-06
"[3800, 3]",2.6226043701171875e-06
"[1, 3, 806, 768]",2.86102294921875e-06
"[496, 256, 7, 7]",2.86102294921875e-06
"[2268, 80]",2.6226043701171875e-06
"[1008, 9]",2.86102294921875e-06
"[1, 2304, 16, 16]",2.6226043701171875e-06
"[1, 768, 25, 34]",2.86102294921875e-06
"[418, 1, 256]",2.86102294921875e-06
"[10, 256, 7, 7]",2.86102294921875e-06
"[3800, 80]",2.384185791015625e-06
"[37344, 80]",2.86102294921875e-06
"[720, 1, 256]",2.6226043701171875e-06
"[3, 4608, 8, 8]",2.6226043701171875e-06
"[66, 80]",2.86102294921875e-06
"[13, 4]",2.384185791015625e-06
"[1, 3, 1088, 800]",2.6226043701171875e-06
"[2, 768, 32, 32]",2.6226043701171875e-06
"[12, 49, 49]",2.6226043701171875e-06
"[567, 80]",2.6226043701171875e-06
"[3800, 1]",2.384185791015625e-06
"[1, 192, 100, 136]",2.86102294921875e-06
"[4, 81]",2.6226043701171875e-06
"[950, 3]",2.86102294921875e-06
"[14, 4]",2.86102294921875e-06
"[3400, 80]",4.76837158203125e-06
"[221, 3]",2.384185791015625e-06
"[1, 4, 6, 7, 7, 1]",2.86102294921875e-06
"[4, 2304, 8, 8]",2.86102294921875e-06
[3872],2.86102294921875e-06
"[270, 8, 32]",2.384185791015625e-06
"[2, 81]",2.86102294921875e-06
"[9072, 80]",2.6226043701171875e-06
[4],2.86102294921875e-06
"[9, 4608, 8, 8]",2.86102294921875e-06
"[17, 4]",2.6226043701171875e-06
"[5, 81]",2.86102294921875e-06
[9072],2.86102294921875e-06
"[96, 3]",2.6226043701171875e-06
[567],2.6226043701171875e-06
"[1, 1, 1, 7, 7, 1]",2.86102294921875e-06
"[3, 49, 49]",2.86102294921875e-06
"[5, 256, 14, 14]",2.6226043701171875e-06
"[6, 256, 7, 7]",2.86102294921875e-06
"[2, 256, 7, 7]",2.86102294921875e-06
[2268],2.6226043701171875e-06
"[4, 2, 7, 2, 7, 384]",2.86102294921875e-06
[16],2.6226043701171875e-06
"[9, 4]",2.6226043701171875e-06
"[489, 256, 7, 7]",2.6226043701171875e-06
"[525, 1, 256]",2.86102294921875e-06
"[123, 256, 7, 7]",2.86102294921875e-06
"[32, 92, 29]",2.384185791015625e-06
"[3, 256, 7, 7]",2.6226043701171875e-06
"[1, 4, 6, 7, 7, 768]",2.6226043701171875e-06
"[31, 4]",2.6226043701171875e-06
"[7, 256, 7, 7]",2.6226043701171875e-06
"[2, 3, 512, 512]",2.6226043701171875e-06
[30600],2.6226043701171875e-06
[2223],2.6226043701171875e-06
[34200],2.6226043701171875e-06
[3],2.384185791015625e-06
"[18, 4]",2.86102294921875e-06
"[46, 4]",2.86102294921875e-06
"[10, 4608, 8, 8]",2.86102294921875e-06
"[13, 21486]",2.86102294921875e-06
"[10, 2304, 8, 8]",2.6226043701171875e-06
"[16, 2, 17, 3, 300]",2.86102294921875e-06
"[221, 1]",2.6226043701171875e-06
"[66, 9]",2.6226043701171875e-06
"[64000, 3]",2.6226043701171875e-06
