item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[2, 256, 200, 336]","[128, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0004324913024902344
"[1, 256, 25, 40]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.00028896331787109375
"[2, 256, 50, 70]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.001371145248413086
"[4, 112, 14, 14]","[672, 112, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0006322860717773438
"[32, 3, 48, 160]","[64, 3, 3, 3]",[64],"[1, 1]","[1, 1]","[1, 1]",[1],0.000278472900390625
"[2, 2048, 64, 64]","[2048, 1, 3, 3]",[False],"[1, 1]","[12, 12]","[12, 12]",[2048],0.0006628036499023438
"[2, 256, 100, 152]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.00030541419982910156
"[2, 256, 19, 13]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0003485679626464844
"[1, 256, 25, 34]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.0002484321594238281
"[4, 832, 7, 7]","[128, 832, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0008413791656494141
"[2, 256, 25, 34]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.0038390159606933594
"[1, 256, 192, 240]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0003085136413574219
"[1, 64, 175, 152]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0002884864807128906
"[1, 256, 12, 12]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0013277530670166016
"[2, 256, 25, 39]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.0034461021423339844
"[1, 256, 202, 192]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00035381317138671875
"[1, 256, 38, 25]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.003419160842895508
"[2, 2816, 16, 16]","[512, 2816, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.09597539901733398
"[1, 512, 100, 160]","[1024, 512, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.003950595855712891
"[2, 256, 34, 25]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.0003902912139892578
"[1, 1024, 76, 50]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0017879009246826172
"[1, 256, 272, 200]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00032138824462890625
"[1, 192, 48, 52]","[96, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0003218650817871094
"[2, 256, 25, 42]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0003561973571777344
"[2, 256, 7, 11]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.00030422210693359375
"[1, 512, 76, 50]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.013108253479003906
"[1, 256, 38, 38]","[512, 256, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.0070323944091796875
"[2, 256, 68, 50]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0014209747314453125
"[1, 96, 64, 96]","[24, 96, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0002338886260986328
"[1, 144, 64, 96]","[144, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[144],0.00021529197692871094
"[1, 1024, 50, 68]","[256, 1024, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.0017638206481933594
"[8, 128, 32, 24]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0011553764343261719
"[2, 768, 3, 3]","[512, 768, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0023508071899414062
"[2, 256, 100, 152]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0013568401336669922
"[1, 256, 200, 320]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0003123283386230469
