item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,time_cost
"[18, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.0053632259368896484
"[4, 64, 320, 320]","[64, 1, 2, 2]",[1],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.1256697177886963
"[4, 64, 160, 160]","[64, 64, 2, 2]",[64],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.0316162109375
"[6, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.00824427604675293
"[5, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.002909421920776367
"[16, 64, 64, 64]","[64, 64, 4, 4]",[False],"[2, 2]","[1, 1]","[0, 0]",[1],"[1, 1]",0.02196478843688965
"[4, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.01143026351928711
"[14, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.0052683353424072266
"[16, 128, 32, 32]","[128, 128, 4, 4]",[False],"[2, 2]","[1, 1]","[0, 0]",[1],"[1, 1]",0.013585567474365234
"[32, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.011004447937011719
"[2, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.007704257965087891
"[33, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.009330987930297852
"[16, 256, 16, 16]","[256, 256, 4, 4]",[False],"[2, 2]","[1, 1]","[0, 0]",[1],"[1, 1]",0.011586666107177734
