item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,time_cost
"[18, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.005054473876953125
"[4, 64, 320, 320]","[64, 1, 2, 2]",[1],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.12475872039794922
"[4, 64, 160, 160]","[64, 64, 2, 2]",[64],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.03129982948303223
"[6, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.005187511444091797
"[5, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.0024657249450683594
"[16, 64, 64, 64]","[64, 64, 4, 4]",[False],"[2, 2]","[1, 1]","[0, 0]",[1],"[1, 1]",0.021349430084228516
"[4, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.007712841033935547
"[14, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.004862070083618164
"[16, 128, 32, 32]","[128, 128, 4, 4]",[False],"[2, 2]","[1, 1]","[0, 0]",[1],"[1, 1]",0.0106201171875
"[32, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.00839090347290039
"[2, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.006196022033691406
"[33, 256, 14, 14]","[256, 256, 2, 2]",[256],"[2, 2]","[0, 0]","[0, 0]",[1],"[1, 1]",0.008706092834472656
"[16, 256, 16, 16]","[256, 256, 4, 4]",[False],"[2, 2]","[1, 1]","[0, 0]",[1],"[1, 1]",0.010005474090576172
