item_0,item_1,item_2,item_3,time_cost
"[1, 30, 22]",[2],[],[],7.033348083496094e-05
"[1, 15, 18]",[2],[],[],6.103515625e-05
"[1, 21, 20]",[2],[],[],5.9604644775390625e-05
"[1, 22, 19]",[1],[],[],5.888938903808594e-05
"[1, 15, 18]",[1],[],[],6.0558319091796875e-05
"[1, 24, 30]",[1],[],[],5.793571472167969e-05
"[1, 21, 25]",[1],[],[],5.793571472167969e-05
"[1, 24, 30]",[2],[],[],5.7220458984375e-05
"[1, 22, 19]",[2],[],[],5.7697296142578125e-05
"[1, 22, 23]",[2],[],[],6.985664367675781e-05
"[1, 26, 24]",[1],[],[],6.341934204101562e-05
"[1, 25, 28]",[1],[],[],5.817413330078125e-05
"[1, 18, 15]",[1],[],[],5.7220458984375e-05
"[1, 25, 28]",[2],[],[],5.7697296142578125e-05
"[1, 21, 20]",[1],[],[],5.793571472167969e-05
"[1, 22, 23]",[1],[],[],5.650520324707031e-05
"[1, 21, 25]",[2],[],[],5.888938903808594e-05
"[1, 26, 24]",[2],[],[],5.626678466796875e-05
"[1, 18, 15]",[2],[],[],5.745887756347656e-05
"[1, 30, 22]",[1],[],[],5.6743621826171875e-05
