item_0,item_1,item_2,time_cost
"[8, 4608, 1, 8, 8]",[0.5],['False'],0.0004100799560546875
"[8, 100, 720]",[0.5],['False'],7.009506225585938e-05
"[32, 256, 75, 17]",[0.0],['True'],2.9325485229492188e-05
"[5, 4608, 1, 8, 8]",[0.5],['False'],4.673004150390625e-05
"[420, 1, 256]",[0.1],['False'],4.76837158203125e-05
"[8, 506, 506]",[0.5],['False'],4.673004150390625e-05
"[660, 1, 2048]",[0.1],['False'],4.673004150390625e-05
"[8, 420, 420]",[0.5],['False'],4.482269287109375e-05
"[624, 1, 256]",[0.0],['False'],2.5510787963867188e-05
"[418, 1, 256]",[0.0],['False'],2.384185791015625e-05
"[64, 6, 49, 49]",[0.0],['False'],2.288818359375e-05
"[720, 1, 256]",[0.0],['False'],2.288818359375e-05
"[8, 700, 700]",[0.5],['False'],4.2438507080078125e-05
"[1131, 49, 96]",[0.0],['False'],2.7179718017578125e-05
"[330, 49, 192]",[0.0],['False'],2.3365020751953125e-05
"[1, 850, 768]",[0.0],['False'],2.288818359375e-05
"[4, 784, 192]",[0.0],['False'],2.2649765014648438e-05
"[270, 1, 2048]",[0.1],['False'],4.744529724121094e-05
"[1131, 3, 49, 49]",[0.0],['False'],2.5987625122070312e-05
"[1, 950, 768]",[0.0],['False'],2.3126602172851562e-05
"[7, 4608, 1, 8, 8]",[0.5],['False'],4.982948303222656e-05
"[2, 1025, 3072]",[0.0],['False'],2.5510787963867188e-05
"[1, 3400, 384]",[0.0],['False'],2.3603439331054688e-05
"[8, 270, 270]",[0.5],['False'],4.291534423828125e-05
"[20, 24, 49, 49]",[0.0],['False'],2.574920654296875e-05
"[1, 850, 3072]",[0.0],['False'],2.3365020751953125e-05
"[1, 54400, 384]",[0.0],['False'],2.3603439331054688e-05
"[88, 12, 49, 49]",[0.0],['False'],2.288818359375e-05
"[1, 15200, 192]",[0.0],['False'],2.288818359375e-05
"[8, 624, 624]",[0.5],['False'],4.267692565917969e-05
"[8, 720, 720]",[0.5],['False'],4.7206878662109375e-05
"[64, 49, 192]",[0.0],['False'],2.5510787963867188e-05
"[270, 1, 256]",[0.1],['False'],4.3392181396484375e-05
"[2, 4608, 1, 8, 8]",[0.5],['False'],4.553794860839844e-05
"[8, 660, 660]",[0.5],['False'],4.4345855712890625e-05
"[8, 100, 418]",[0.5],['False'],4.410743713378906e-05
"[4, 49, 768]",[0.0],['False'],2.5272369384765625e-05
"[4, 196, 1536]",[0.0],['False'],2.384185791015625e-05
"[4, 12, 197, 197]",[0.0],['False'],2.3126602172851562e-05
"[80, 12, 49, 49]",[0.0],['False'],2.3365020751953125e-05
"[100, 1, 2048]",[0.1],['False'],0.00035834312438964844
"[4, 3136, 96]",[0.0],['False'],3.790855407714844e-05
"[300, 6, 49, 49]",[0.0],['False'],2.4318695068359375e-05
"[88, 49, 384]",[0.0],['False'],2.288818359375e-05
