item_0,item_1,item_2,time_cost
nkctv/kvw->nctw,"[32, 3, 64, 300, 17]","[3, 17, 17]",0.037192344665527344
nkctv/kvw->nctw,"[32, 3, 128, 150, 17]","[3, 17, 17]",0.0010890960693359375
nkctv/kvw->nctw,"[32, 3, 256, 75, 17]","[3, 17, 17]",0.0009906291961669922
nc/mc->nm,"[100, 12544]","[2, 12544]",0.00150299072265625
nc/mc->nm,"[100, 12544]","[5, 12544]",0.0014355182647705078
bchw/bciw->bwhi,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.0006744861602783203
bchw/bchj->bhwj,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.0011470317840576172
bciw/bhwi->bchw,"[4, 512, 64, 64]","[4, 64, 64, 64]",0.0006074905395507812
bchj/bhwj->bchw,"[4, 512, 64, 64]","[4, 64, 64, 64]",0.0011446475982666016
nkctv/kvw->nctw,"[32, 3, 128, 300, 17]","[3, 17, 17]",0.002760171890258789
