item_0,item_1,time_cost
18,18,1.9782719612121582
58,58,0.005631923675537109
45,45,0.0023877620697021484
4,4,0.002244234085083008
2,2,0.0022535324096679688
51,51,0.002240896224975586
29,29,0.0022249221801757812
7,7,0.0022857189178466797
14,14,0.0022373199462890625
26,26,0.002244234085083008
3,3,0.0022423267364501953
52,52,0.0022296905517578125
2,3,0.0022644996643066406
38,38,0.002249479293823242
24,24,0.0022590160369873047
64,64,0.0022530555725097656
3,3,0.002283334732055664
27,27,0.002215147018432617
30,30,0.0022385120391845703
46,46,0.0022537708282470703
5,5,0.0022437572479248047
36,36,0.002223491668701172
43,43,0.0022504329681396484
44,44,0.0022253990173339844
34,34,0.0022232532501220703
1,1,0.002245187759399414
22,22,0.002249002456665039
25,25,0.0022699832916259766
12,12,0.002354145050048828
