item_0,item_1,item_2,time_cost
[192],1.0,float,1.6689300537109375e-05
[51],1,int,0.0001766681671142578
[2048],0,int,2.5272369384765625e-05
[448],1.0,float,1.3589859008789062e-05
[800],1.0,float,9.059906005859375e-06
[928],1,int,8.821487426757812e-06
[384],0.0,float,8.58306884765625e-06
[224],1.0,float,8.821487426757812e-06
[324],0,int,8.344650268554688e-06
[224],1,int,2.384185791015625e-05
[17],0,int,1.9073486328125e-05
[1024],0,int,8.344650268554688e-06
[36],0,int,8.344650268554688e-06
[8],0,int,8.344650268554688e-06
[256],1,int,8.106231689453125e-06
[96],0,int,1.0013580322265625e-05
[24],0,int,3.0040740966796875e-05
[96],0.0,float,1.0728836059570312e-05
[28],0,int,8.106231689453125e-06
[2],0,int,8.58306884765625e-06
[480],1.0,float,9.059906005859375e-06
[416],1.0,float,8.344650268554688e-06
[160],1.0,float,8.106231689453125e-06
[896],1.0,float,8.344650268554688e-06
[40],1,int,8.106231689453125e-06
[51],1.0,float,8.58306884765625e-06
[16],1,int,8.106231689453125e-06
[48],1.0,float,8.344650268554688e-06
[384],0,int,1.1682510375976562e-05
[1024],1,int,2.7418136596679688e-05
[416],1,int,9.298324584960938e-06
[3],-6.580639137284949,float,8.58306884765625e-06
[576],0.0,float,8.344650268554688e-06
[992],1.0,float,8.106231689453125e-06
[1600],0,int,1.6689300537109375e-05
[128],0,int,3.409385681152344e-05
[736],1,int,3.2901763916015625e-05
[2048],1.0,float,2.7179718017578125e-05
[576],0,int,9.775161743164062e-06
[16],0,int,8.821487426757812e-06
[576],1,int,8.821487426757812e-06
[384],1,int,8.344650268554688e-06
[288],0.0,float,8.58306884765625e-06
[240],1.0,float,9.298324584960938e-06
[96],1.0,float,8.344650268554688e-06
[160],1,int,8.58306884765625e-06
[58],0,int,8.344650268554688e-06
[3072],0,int,8.344650268554688e-06
[80],0,int,8.106231689453125e-06
[864],1.0,float,8.106231689453125e-06
[144],1,int,1.2874603271484375e-05
[96],1,int,3.337860107421875e-05
[720],0,int,3.552436828613281e-05
[32],1,int,3.3855438232421875e-05
[128],1.0,float,1.33514404296875e-05
[1296],-4.59511985013459,float,8.58306884765625e-06
[720],-4.59511985013459,float,8.344650268554688e-06
[58],1.0,float,8.58306884765625e-06
[1152],1,int,8.344650268554688e-06
[232],1.0,float,8.344650268554688e-06
[768],0,int,3.075599670410156e-05
[116],1.0,float,2.47955322265625e-05
[48],0,int,1.2159347534179688e-05
"[3072, 768]",0,int,1.0013580322265625e-05
[288],1.0,float,9.059906005859375e-06
[64],0,int,8.106231689453125e-06
[192],0.0,float,8.344650268554688e-06
[3],-5.190175207928333,float,1.0013580322265625e-05
[116],1,int,2.9087066650390625e-05
[320],1.0,float,1.9550323486328125e-05
[8],1.0,float,1.0251998901367188e-05
[240],1,int,9.298324584960938e-06
[992],1,int,8.344650268554688e-06
[1280],1,int,8.344650268554688e-06
[80],1,int,8.58306884765625e-06
[768],1,int,8.106231689453125e-06
[512],1.0,float,3.147125244140625e-05
[9],0,int,1.0728836059570312e-05
[560],1,int,8.821487426757812e-06
[24],1.0,float,8.344650268554688e-06
"[1000, 3072]",0,int,1.0251998901367188e-05
[16],1.0,float,3.170967102050781e-05
[960],1.0,float,1.0251998901367188e-05
[960],1,int,9.5367431640625e-06
[1280],0,int,8.344650268554688e-06
[1000],0,int,8.344650268554688e-06
[512],20,int,1.33514404296875e-05
[1600],-4.59511985013459,float,2.9087066650390625e-05
[480],0,int,9.775161743164062e-06
[640],1,int,8.344650268554688e-06
[384],1.0,float,8.106231689453125e-06
[544],1,int,8.106231689453125e-06
[544],1.0,float,1.0013580322265625e-05
[256],0.0,float,2.8371810913085938e-05
[192],0,int,9.775161743164062e-06
[512],1,int,8.58306884765625e-06
