item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,time_cost
"[1, 128, 64, 64]",,,,,True,0.1,1e-05,0.001695871353149414
"[2, 64, 184, 248]",,,,,True,0.1,1e-05,0.0012066364288330078
"[1, 256, 32, 32]",,,,,True,0.1,1e-05,0.00047588348388671875
"[2, 128, 46, 62]",,,,,True,0.1,1e-05,0.0013477802276611328
"[1, 64, 256, 256]",,,,,True,0.1,1e-05,0.0007717609405517578
"[1, 256, 64, 64]",,,,,True,0.1,1e-05,0.00074005126953125
"[32, 512, 8, 8]",,,,,True,0.1,1e-05,0.0007266998291015625
"[1, 128, 128, 128]",,,,,True,0.1,1e-05,0.0007126331329345703
"[32, 512, 4, 4]",,,,,True,0.1,1e-05,0.0007243156433105469
"[2, 96, 92, 124]",,,,,True,0.1,1e-05,0.0007231235504150391
"[1, 512, 31, 31]",,,,,True,0.1,1e-05,0.0007178783416748047
