item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[2.0, 256.0, 25.0, 35.0]","[50.0, 70.0]",[False],['nearest'],['False'],['None'],[True],0.005070924758911133
"[1.0, 256.0, 13.0, 13.0]","[26.0, 25.0]",[False],['bilinear'],['False'],['None'],[True],0.0005979537963867188
"[1.0, 96.0, 24.0, 26.0]",[False],[2.0],['None'],['False'],['None'],[True],0.00039196014404296875
"[4.0, 64.0, 160.0, 160.0]","[160.0, 160.0]",[False],['nearest'],['False'],['None'],[True],0.00558161735534668
"[2.0, 256.0, 50.0, 68.0]","[100.0, 136.0]",[False],['nearest'],['False'],['None'],[True],0.007645845413208008
"[1.0, 256.0, 42.0, 24.0]","[84.0, 48.0]",[False],['nearest'],['False'],['None'],[True],0.0005447864532470703
"[2.0, 256.0, 50.0, 78.0]","[100.0, 156.0]",[False],['nearest'],['False'],['None'],[True],0.007448434829711914
"[32.0, 64.0, 16.0, 12.0]",[False],[2.0],['nearest'],['None'],['None'],[True],0.0007796287536621094
"[32.0, 32.0, 8.0, 6.0]",[False],[8.0],['nearest'],['None'],['None'],[True],0.00043773651123046875
"[2.0, 256.0, 32.0, 32.0]","[64.0, 64.0]",[False],['bilinear'],['False'],['None'],[True],0.0004143714904785156
"[1.0, 256.0, 25.0, 40.0]","[50.0, 80.0]",[False],['nearest'],['False'],['None'],[True],0.0008528232574462891
"[1.0, 256.0, 76.0, 50.0]",[False],[2.0],['bilinear'],['False'],['None'],[True],0.00039577484130859375
"[1.0, 1.0, 800.0, 895.0]","[25.0, 28.0]",[False],['None'],['False'],['None'],[True],0.00035572052001953125
"[2.0, 150.0, 128.0, 128.0]","[512.0, 512.0]",[False],['bilinear'],['False'],['None'],[True],0.056211233139038086
"[1.0, 256.0, 13.0, 19.0]","[25.0, 38.0]",[False],['bilinear'],['False'],['None'],[True],0.0004992485046386719
"[2.0, 256.0, 25.0, 42.0]","[50.0, 84.0]",[False],['nearest'],['False'],['None'],[True],0.0003216266632080078
"[1.0, 96.0, 20.0, 26.0]",[False],[2.0],['None'],['False'],['None'],[True],0.0003094673156738281
"[2.0, 512.0, 16.0, 16.0]","[32.0, 32.0]",[False],['bilinear'],['False'],['None'],[True],0.00032806396484375
"[1.0, 256.0, 25.0, 34.0]",[False],[2.0],['bilinear'],['False'],['None'],[True],0.0006661415100097656
"[1.0, 256.0, 76.0, 50.0]","[152.0, 100.0]",[False],['nearest'],['False'],['None'],[True],0.0004658699035644531
"[1.0, 256.0, 208.0, 200.0]",[False],[0.5],['bilinear'],['False'],['None'],[True],0.00034236907958984375
"[1.0, 256.0, 104.0, 100.0]","[208.0, 200.0]",[False],['nearest'],['False'],['None'],[True],0.00048041343688964844
"[4.0, 64.0, 20.0, 20.0]","[160.0, 160.0]",[False],['nearest'],['False'],['None'],[True],0.0004284381866455078
"[2.0, 256.0, 50.0, 76.0]","[100.0, 152.0]",[False],['nearest'],['False'],['None'],[True],0.0003235340118408203
"[4.0, 256.0, 20.0, 20.0]","[40.0, 40.0]",[False],['nearest'],['False'],['None'],[True],0.000553131103515625
"[1.0, 256.0, 50.0, 68.0]",[False],[2.0],['bilinear'],['False'],['None'],[True],0.00035953521728515625
"[4.0, 64.0, 40.0, 40.0]","[160.0, 160.0]",[False],['nearest'],['False'],['None'],[True],0.0003113746643066406
"[1.0, 256.0, 100.0, 152.0]","[200.0, 304.0]",[False],['nearest'],['False'],['None'],[True],0.0004954338073730469
"[1.0, 96.0, 16.0, 24.0]",[False],[2.0],['None'],['False'],['None'],[True],0.0003974437713623047
"[4.0, 64.0, 80.0, 80.0]","[160.0, 160.0]",[False],['nearest'],['False'],['None'],[True],0.0002753734588623047
"[1.0, 256.0, 34.0, 25.0]","[68.0, 50.0]",[False],['nearest'],['False'],['None'],[True],0.0003325939178466797
"[1.0, 96.0, 14.0, 26.0]",[False],[2.0],['None'],['False'],['None'],[True],0.0003540515899658203
"[1.0, 256.0, 26.0, 25.0]",[False],[2.0],['bilinear'],['False'],['None'],[True],0.00038623809814453125
"[1.0, 1.0, 699.0, 608.0]","[22.0, 19.0]",[False],['None'],['False'],['None'],[True],0.0004076957702636719
"[2.0, 768.0, 32.0, 32.0]",[False],[1.0],['bilinear'],['None'],['None'],[True],0.0004343986511230469
"[1.0, 256.0, 50.0, 76.0]",[False],[2.0],['bilinear'],['False'],['None'],[True],0.00047779083251953125
"[1.0, 2048.0, 4.0, 16.0, 16.0]","[32.0, 16.0, 16.0]",[False],['None'],['False'],['None'],[True],0.0003223419189453125
"[1.0, 256.0, 200.0, 272.0]",[False],[0.5],['bilinear'],['False'],['None'],[True],0.0005691051483154297
"[2.0, 256.0, 50.0, 84.0]","[100.0, 168.0]",[False],['nearest'],['False'],['None'],[True],0.00034236907958984375
"[1.0, 256.0, 38.0, 25.0]",[False],[2.0],['bilinear'],['False'],['None'],[True],0.00028324127197265625
"[2.0, 512.0, 32.0, 32.0]","[64.0, 64.0]",[False],['bilinear'],['False'],['None'],[True],0.0003097057342529297
"[2.0, 256.0, 25.0, 38.0]","[50.0, 76.0]",[False],['nearest'],['False'],['None'],[True],0.00042319297790527344
"[2.0, 512.0, 3.0, 3.0]","[16.0, 16.0]",[False],['bilinear'],['False'],['None'],[True],0.0003147125244140625
"[1.0, 256.0, 50.0, 80.0]","[100.0, 160.0]",[False],['nearest'],['False'],['None'],[True],0.0004951953887939453
"[1.0, 96.0, 12.0, 13.0]",[False],[2.0],['None'],['False'],['None'],[True],0.0003821849822998047
"[1.0, 256.0, 136.0, 100.0]","[272.0, 200.0]",[False],['nearest'],['False'],['None'],[True],0.0003647804260253906
"[32.0, 64.0, 8.0, 6.0]",[False],[4.0],['nearest'],['None'],['None'],[True],0.0004017353057861328
"[2.0, 16.0, 2.0, 2.0]","[128.0, 128.0]",[False],['bilinear'],['False'],['None'],[True],0.00035691261291503906
