item_0,item_1,item_2,time_cost
"[256, 17]","[256, 17]",none,2.6566905975341797
"[312, 17]","[312, 17]",none,0.00935816764831543
"[180, 17]","[180, 17]",none,0.0035521984100341797
"[248, 17]","[248, 17]",none,0.0033915042877197266
"[12, 17]","[12, 17]",none,0.003317117691040039
"[36, 17]","[36, 17]",none,0.0033919811248779297
"[108, 17]","[108, 17]",none,0.0034236907958984375
"[844, 17]","[844, 17]",none,0.0023458003997802734
"[72, 17]","[72, 17]",none,0.0021173954010009766
"[96, 17]","[96, 17]",none,0.002061128616333008
"[320, 17]","[320, 17]",none,0.0022153854370117188
