item_0,item_1,item_2,time_cost
"[1, 3, 256, 255]","[1, 3, 256, 255]",none,2.3468456268310547
"[256, 3, 192, 192]","[256, 3, 192, 192]",none,0.0067255496978759766
"[2, 3, 256, 256]","[2, 3, 256, 256]",none,0.003314495086669922
"[1, 64, 64]","[1, 64, 64]",mean,0.0033898353576660156
"[2, 15, 3]","[2, 15, 3]",mean,0.003247976303100586
"[16, 3, 196, 196]","[16, 3, 196, 196]",none,0.0031995773315429688
"[12, 512, 16, 16]","[12, 512, 16, 16]",mean,0.002569437026977539
"[1, 3, 256, 256]","[1, 3, 256, 256]",none,0.0020689964294433594
"[12, 128, 128, 128]","[12, 128, 128, 128]",mean,0.0022640228271484375
"[1, 64, 128, 128]","[1, 64, 128, 128]",mean,0.002274751663208008
"[9, 3, 160, 160]","[9, 3, 160, 160]",none,0.002082347869873047
"[12, 512, 32, 32]","[12, 512, 32, 32]",mean,0.003360748291015625
"[16, 3, 128, 128]","[16, 3, 128, 128]",none,0.0032138824462890625
"[1, 128, 64, 64]","[1, 128, 64, 64]",mean,0.0033261775970458984
"[16, 512, 8, 8]","[16, 512, 8, 8]",mean,0.003365039825439453
"[4, 3, 256, 256]","[4, 3, 256, 256]",none,0.0032110214233398438
"[1, 256, 32, 32]","[1, 256, 32, 32]",mean,0.003350973129272461
"[12, 64, 256, 256]","[12, 64, 256, 256]",mean,0.0050542354583740234
"[10, 1, 512, 512]","[10, 1, 512, 512]",none,0.002223968505859375
"[16, 2304, 3]","[16, 2304, 3]",none,0.0020360946655273438
"[12, 3, 256, 256]","[12, 3, 256, 256]",none,0.0020461082458496094
"[4, 17, 3]","[4, 17, 3]",mean,0.002082347869873047
"[1, 3, 255, 256]","[1, 3, 255, 256]",none,0.00196075439453125
"[12, 256, 64, 64]","[12, 256, 64, 64]",mean,0.0023174285888671875
"[2, 1]","[2, 1]",mean,0.0021300315856933594
"[1, 256, 256]","[1, 256, 256]",mean,0.002087831497192383
"[1, 128, 128]","[1, 128, 128]",mean,0.002132892608642578
"[2, 17, 3]","[2, 17, 3]",mean,0.0021419525146484375
