item_0,item_1,item_2,time_cost
"[88, 49, 384]","[1152, 384]",[1152],0.00975346565246582
"[80, 49, 384]","[1152, 384]",[1152],0.00876164436340332
"[700, 1, 256]","[2048, 256]",[2048],0.004070281982421875
"[720, 1, 256]","[256, 256]",[256],0.0012581348419189453
"[1, 13600, 192]","[768, 192]",[768],0.013425827026367188
"[4, 49, 1536]","[768, 1536]",[False],0.006964206695556641
"[2, 1025, 768]","[3072, 768]",[3072],0.020712852478027344
"[32, 31, 1536]","[92, 1536]",[92],0.0077288150787353516
"[418, 1, 256]","[2048, 256]",[2048],0.0031366348266601562
"[4, 49, 768]","[768, 768]",[768],0.003572702407836914
"[2, 1025, 3072]","[768, 3072]",[768],0.04257035255432129
"[4, 196, 768]","[384, 768]",[False],0.010329961776733398
"[720, 1, 2048]","[256, 2048]",[256],0.009148120880126953
"[2, 4608]","[81, 4608]",[81],0.0020308494567871094
"[1, 850, 768]","[3072, 768]",[3072],0.01383352279663086
"[1, 850, 3072]","[768, 3072]",[768],0.022660493850708008
"[330, 49, 192]","[192, 192]",[192],0.014972448348999023
"[100, 1, 2048]","[256, 2048]",[256],0.003415822982788086
"[418, 1, 256]","[256, 256]",[256],0.0008852481842041016
"[1, 15200, 192]","[768, 192]",[768],0.01389002799987793
"[4, 768]","[1000, 768]",[1000],0.005908489227294922
"[4, 49, 768]","[3072, 768]",[3072],0.012006521224975586
"[4, 4096]","[1000, 4096]",[1000],0.01904916763305664
"[832, 512]","[256, 512]",[256],0.0034525394439697266
"[4, 197, 768]","[768, 768]",[768],0.005556821823120117
"[4, 197, 768]","[3072, 768]",[3072],0.013646841049194336
"[1, 13600, 384]","[192, 384]",[False],0.02677750587463379
"[1, 950, 1536]","[768, 1536]",[False],0.012012004852294922
"[20, 49, 768]","[2304, 768]",[2304],0.011612653732299805
"[100, 1, 256]","[2048, 256]",[2048],0.004076480865478516
"[624, 1, 256]","[2048, 256]",[2048],0.0030891895294189453
"[660, 1, 256]","[256, 256]",[256],0.0011456012725830078
"[16, 49, 384]","[384, 384]",[384],0.0020782947540283203
"[6, 1, 100, 256]","[4, 256]",[4],0.0007636547088623047
"[506, 1, 256]","[256, 256]",[256],0.0009603500366210938
"[5, 4608]","[81, 4608]",[81],0.0018520355224609375
"[24, 49, 768]","[768, 768]",[768],0.00690007209777832
"[420, 1, 256]","[256, 256]",[256],0.0011096000671386719
"[300, 49, 192]","[576, 192]",[576],0.013506174087524414
"[1, 13600, 768]","[192, 768]",[192],0.051698923110961914
"[4, 49, 768]","[2304, 768]",[2304],0.009285211563110352
"[80, 49, 384]","[384, 384]",[384],0.0074923038482666016
"[300, 49, 192]","[192, 192]",[192],0.013225555419921875
"[32, 31, 512]","[512, 512]",[512],0.003663301467895508
"[7, 4608]","[81, 4608]",[81],0.0020627975463867188
"[660, 1, 256]","[2048, 256]",[2048],0.0032286643981933594
"[1, 60800, 96]","[384, 96]",[384],0.029386043548583984
"[512, 1024]","[320, 1024]",[320],0.004491090774536133
"[1, 3400, 1536]","[384, 1536]",[384],0.02921152114868164
"[4, 4608]","[81, 4608]",[81],0.0033795833587646484
"[624, 1, 2048]","[256, 2048]",[256],0.008218526840209961
"[100, 1, 256]","[256, 256]",[256],0.000652313232421875
"[4, 3072]","[1000, 3072]",[1000],0.014027118682861328
"[32, 512]","[512, 512]",[512],0.0014715194702148438
"[700, 1, 2048]","[256, 2048]",[256],0.008973360061645508
"[4, 3136, 384]","[96, 384]",[96],0.02140951156616211
"[4, 2048]","[1000, 2048]",[1000],0.009737014770507812
"[4, 197, 3072]","[768, 3072]",[768],0.02162337303161621
"[8, 4608]","[81, 4608]",[81],0.0033371448516845703
"[4, 25088]","[4096, 25088]",[4096],0.4882686138153076
"[64, 49, 192]","[576, 192]",[576],0.0032825469970703125
"[270, 1, 2048]","[256, 2048]",[256],0.00479435920715332
"[270, 1, 256]","[256, 256]",[256],0.0007164478302001953
"[420, 1, 2048]","[256, 2048]",[256],0.006402015686035156
"[24, 49, 768]","[2304, 768]",[2304],0.012288570404052734
"[4, 196, 1536]","[384, 1536]",[384],0.00830221176147461
"[4, 197, 768]","[2304, 768]",[2304],0.01076507568359375
"[4, 196, 384]","[1536, 384]",[1536],0.004191160202026367
"[8, 2048]","[34, 2048]",[34],0.0008270740509033203
"[16, 49, 384]","[1152, 384]",[1152],0.003409147262573242
"[4, 768]","[3072, 768]",[3072],0.011223793029785156
"[4, 3136, 96]","[384, 96]",[384],0.005733489990234375
"[4, 49, 3072]","[768, 3072]",[768],0.013318061828613281
"[1, 3400, 384]","[1536, 384]",[1536],0.008722066879272461
"[506, 1, 2048]","[256, 2048]",[256],0.007153749465942383
"[6, 4608]","[81, 4608]",[81],0.001987457275390625
"[4, 1280]","[1000, 1280]",[1000],0.0059854984283447266
"[1, 54400, 96]","[384, 96]",[384],0.023167133331298828
"[10, 4608]","[81, 4608]",[81],0.004608631134033203
"[832, 512]","[38, 512]",[38],0.0020160675048828125
"[256, 49, 96]","[96, 96]",[96],0.005616426467895508
"[1025, 2, 768]","[768, 768]",[768],0.010038137435913086
"[256, 49, 96]","[288, 96]",[288],0.005568504333496094
"[20, 49, 768]","[768, 768]",[768],0.006174564361572266
"[506, 1, 256]","[2048, 256]",[2048],0.0032346248626708984
"[88, 49, 384]","[384, 384]",[384],0.008249759674072266
"[270, 1, 256]","[2048, 256]",[2048],0.0028603076934814453
"[512, 1024]","[81, 1024]",[81],0.0027246475219726562
"[64, 49, 192]","[192, 192]",[192],0.0030765533447265625
"[1, 950, 768]","[3072, 768]",[3072],0.013968229293823242
"[1, 60800, 384]","[96, 384]",[96],0.11230111122131348
"[9, 4608]","[81, 4608]",[81],0.004122018814086914
"[512, 1024]","[1024, 1024]",[1024],0.007214069366455078
"[420, 1, 256]","[2048, 256]",[2048],0.002967357635498047
"[32, 31, 6, 40, 512]","[1, 512]",[1],0.5787558555603027
"[1, 3800, 768]","[384, 768]",[False],0.013787984848022461
"[512, 12544]","[1024, 12544]",[1024],0.09382796287536621
"[1, 3800, 1536]","[384, 1536]",[384],0.03146004676818848
"[4, 784, 192]","[768, 192]",[768],0.0035936832427978516
"[525, 1, 256]","[2048, 256]",[2048],0.003032684326171875
"[1, 3800, 384]","[1536, 384]",[1536],0.009415864944458008
"[1, 850, 1536]","[768, 1536]",[False],0.011143922805786133
"[4, 4096]","[4096, 4096]",[4096],0.08262014389038086
"[1276, 49, 96]","[96, 96]",[96],0.02998638153076172
"[660, 1, 2048]","[256, 2048]",[256],0.008677482604980469
"[1131, 49, 96]","[96, 96]",[96],0.026821613311767578
"[6, 1, 100, 256]","[256, 256]",[256],0.0011532306671142578
"[4, 1024]","[1000, 1024]",[1000],0.004774808883666992
"[1276, 49, 96]","[288, 96]",[288],0.030265092849731445
"[700, 1, 256]","[256, 256]",[256],0.002919912338256836
"[1, 15200, 768]","[192, 768]",[192],0.057703256607055664
"[1, 15200, 384]","[192, 384]",[False],0.029605388641357422
"[4, 512]","[10, 512]",[10],0.0012619495391845703
"[1, 3400, 768]","[384, 768]",[False],0.013173103332519531
"[1, 54400, 384]","[96, 384]",[96],0.10093188285827637
"[4, 784, 768]","[192, 768]",[192],0.011770009994506836
"[1, 950, 3072]","[768, 3072]",[768],0.023773193359375
"[525, 1, 256]","[256, 256]",[256],0.002423524856567383
"[330, 49, 192]","[576, 192]",[576],0.014588356018066406
"[418, 1, 2048]","[256, 2048]",[256],0.006396293640136719
"[16, 2048]","[101, 2048]",[101],0.0017747879028320312
"[1131, 49, 96]","[288, 96]",[288],0.026708126068115234
"[6, 1, 100, 256]","[81, 256]",[81],0.001798868179321289
"[624, 1, 256]","[256, 256]",[256],0.002208232879638672
"[512, 1024]","[4, 1024]",[4],0.0026428699493408203
"[720, 1, 256]","[2048, 256]",[2048],0.003160715103149414
"[3, 4608]","[81, 4608]",[81],0.0021893978118896484
"[525, 1, 2048]","[256, 2048]",[256],0.007417440414428711
"[4, 784, 384]","[192, 384]",[False],0.005901813507080078
