item_0,time_cost
[46],3.1948089599609375e-05
[14],7.867813110351562e-06
[117],1.239776611328125e-05
[33],5.9604644775390625e-06
[128],5.7220458984375e-06
[32],5.0067901611328125e-06
[12],5.0067901611328125e-06
[4],4.291534423828125e-06
[19],4.5299530029296875e-06
[2],4.76837158203125e-06
[10],4.76837158203125e-06
[5],4.5299530029296875e-06
[85],5.245208740234375e-06
[6],5.0067901611328125e-06
[67],4.76837158203125e-06
[18],4.5299530029296875e-06
[28],4.76837158203125e-06
[1],4.76837158203125e-06
[16],4.76837158203125e-06
[269],6.67572021484375e-06
[70],4.76837158203125e-06
[142],5.4836273193359375e-06
"[16, 80, 128, 128]",0.0158841609954834
[29],4.315376281738281e-05
[8],8.106231689453125e-06
[69],5.9604644775390625e-06
[23],5.245208740234375e-06
[42],5.0067901611328125e-06
[15],4.76837158203125e-06
[13],4.76837158203125e-06
[7],4.76837158203125e-06
[54],5.245208740234375e-06
[25],5.0067901611328125e-06
[27],5.0067901611328125e-06
[47],5.0067901611328125e-06
[468],9.5367431640625e-06
[362],6.4373016357421875e-06
[692],6.198883056640625e-06
[497],5.7220458984375e-06
[153],5.4836273193359375e-06
[1562],6.67572021484375e-06
[498],5.7220458984375e-06
[366],5.4836273193359375e-06
[760],5.4836273193359375e-06
[262],5.245208740234375e-06
[194],5.4836273193359375e-06
[71],5.0067901611328125e-06
[106],5.245208740234375e-06
[226],5.4836273193359375e-06
[329],5.4836273193359375e-06
[346],5.4836273193359375e-06
[162],4.76837158203125e-06
[424],5.245208740234375e-06
[435],5.4836273193359375e-06
[68],5.0067901611328125e-06
