item_0,item_1,item_2,time_cost
"[1131, 49, 49]","[1131, 49, 49]",-100.0,0.0009982585906982422
"[32, 31, 6, 40, 1]","[32, 31, 6, 40, 1]",-inf,0.004391193389892578
"[1131, 49, 49]","[1131, 49, 49]",0.0,0.0006153583526611328
"[80, 49, 49]","[80, 49, 49]",-100.0,0.00013184547424316406
"[300, 49, 49]","[300, 49, 49]",0.0,0.00010752677917480469
"[64, 49, 49]","[64, 49, 49]",-100.0,9.965896606445312e-05
"[20, 49, 49]","[20, 49, 49]",-100.0,9.131431579589844e-05
"[1, 49, 49]","[1, 49, 49]",0.0,9.1552734375e-05
"[1276, 49, 49]","[1276, 49, 49]",0.0,0.0014696121215820312
"[24, 49, 49]","[24, 49, 49]",-100.0,0.0005490779876708984
"[300, 49, 49]","[300, 49, 49]",-100.0,0.00010228157043457031
"[88, 49, 49]","[88, 49, 49]",0.0,9.632110595703125e-05
"[1276, 49, 49]","[1276, 49, 49]",-100.0,0.0005269050598144531
"[1, 49, 49]","[1, 49, 49]",-100.0,0.00010776519775390625
"[16, 49, 49]","[16, 49, 49]",-100.0,9.703636169433594e-05
"[20, 49, 49]","[20, 49, 49]",0.0,0.00010895729064941406
"[330, 49, 49]","[330, 49, 49]",-100.0,0.00014901161193847656
"[24, 49, 49]","[24, 49, 49]",0.0,9.989738464355469e-05
"[4, 49, 49]","[4, 49, 49]",0.0,9.1552734375e-05
"[88, 49, 49]","[88, 49, 49]",-100.0,9.632110595703125e-05
"[80, 49, 49]","[80, 49, 49]",0.0,0.00010585784912109375
"[4, 49, 49]","[4, 49, 49]",-100.0,0.0001010894775390625
"[16, 49, 49]","[16, 49, 49]",0.0,9.34600830078125e-05
"[64, 49, 49]","[64, 49, 49]",0.0,9.655952453613281e-05
"[330, 49, 49]","[330, 49, 49]",0.0,9.655952453613281e-05
