item_0,item_1,time_cost
"[1, 217413]",[],0.0003943443298339844
"[1, 1, 2]","[1, 192300, 2]",0.007576465606689453
[100],[1],0.0001087188720703125
"[5, 3]",[],0.0008740425109863281
"[13, 242991]",[],0.0037488937377929688
"[424, 2]",[],0.0006113052368164062
"[15, 15]",[],0.0010101795196533203
"[20267, 15]",[],0.00039315223693847656
"[18134, 2, 4]",[-1.0],0.0006563663482666016
"[8692, 4]",[],9.34600830078125e-05
[3],[1],5.555152893066406e-05
"[3, 217413]",[1],0.0016214847564697266
"[226, 2]",[],0.00015926361083984375
"[23, 23]","[23, 23]",7.367134094238281e-05
"[262, 2]","[262, 2]",5.435943603515625e-05
"[13, 13]","[13, 13]",4.8160552978515625e-05
"[2, 1]",[],8.273124694824219e-05
"[424, 2]","[424, 2]",4.744529724121094e-05
"[20267, 3, 4]",[-1.0],0.0007607936859130859
"[1, 1, 2]","[1, 9828, 2]",0.0001609325408935547
"[41, 41]","[41, 41]",5.507469177246094e-05
"[35, 35]",[],0.00010251998901367188
"[100, 16]",[1],4.5299530029296875e-05
"[100, 1, 2]","[1, 2, 2]",5.1021575927734375e-05
"[22400, 9, 4]",[-1.0],0.0010781288146972656
"[4, 1, 2]","[1, 8190, 2]",0.0003604888916015625
"[1, 9828]",[],0.00011730194091796875
"[14, 2000]",[1],0.00016021728515625
"[1562, 2]",[],0.00010061264038085938
"[6, 4]",[1],5.173683166503906e-05
"[14, 498]",[1],8.940696716308594e-05
"[1, 1]",[],7.843971252441406e-05
"[1, 511]",[],4.649162292480469e-05
"[7, 193374]",[],0.0016493797302246094
"[8780, 4]",[],0.0001628398895263672
"[2, 1, 2]","[1, 1000, 2]",9.417533874511719e-05
"[468, 2]",[],9.34600830078125e-05
"[7, 1, 2]","[1, 193374, 2]",0.0035593509674072266
"[18134, 6, 4]",[-1.0],0.0003952980041503906
"[4, 242991]",[],0.0012714862823486328
"[5, 1, 2]","[1, 182403, 2]",0.0015113353729248047
"[12, 2000]",[1],0.00019693374633789062
"[346, 2]",[],0.00016117095947265625
"[3, 8732]",[],8.177757263183594e-05
[106],[1],4.315376281738281e-05
"[28, 8732]",[],0.00037479400634765625
"[100, 1, 2]","[1, 3, 2]",6.866455078125e-05
"[18672, 1, 4]",[-1.0],0.0001621246337890625
"[22400, 3, 4]",[-1.0],0.0006127357482910156
"[4, 5]",[],0.00010538101196289062
"[435, 2]",[],5.412101745605469e-05
"[1, 6240]",[],5.054473876953125e-05
"[498, 2]","[498, 2]",5.125999450683594e-05
"[25, 25]",[],6.771087646484375e-05
"[19, 19]","[19, 19]",3.9577484130859375e-05
"[2, 182403]",[],0.00046372413635253906
"[692, 2]","[692, 2]",6.771087646484375e-05
[468],[1],6.008148193359375e-05
"[14, 1, 2]","[1, 216575, 2]",0.005322694778442383
[346],[1],0.0001385211944580078
"[20267, 2, 4]",[-1.0],0.00027561187744140625
"[8739, 4]",[],0.0001068115234375
"[1, 1, 2]","[1, 2, 2]",4.601478576660156e-05
"[2, 1, 2]","[1, 217413, 2]",0.0008428096771240234
"[20267, 1, 2]","[1, 15, 2]",0.0008330345153808594
"[18134, 25, 4]",[-1.0],0.0012409687042236328
"[13, 242991]",[1],0.0025670528411865234
"[153, 2]","[153, 2]",0.00016188621520996094
"[71, 2]",[],0.00010180473327636719
"[2, 1, 2]","[1, 182403, 2]",0.0013442039489746094
"[22400, 8, 4]",[-1.0],0.0006060600280761719
"[43, 43]","[43, 43]",0.00012612342834472656
"[20267, 1]",[],0.00013303756713867188
"[5, 182403]",[],0.0011448860168457031
"[49, 49]",[],0.0001697540283203125
"[12, 1, 2]","[1, 2000, 2]",0.0004162788391113281
"[8, 192300]",[],0.0019075870513916016
"[67, 2]",[],0.00017786026000976562
"[14, 2000]",[],8.130073547363281e-05
"[13, 217413]",[],0.0033881664276123047
"[14, 1000]",[1],0.0001857280731201172
"[1, 217413]",[1],0.0002110004425048828
"[4, 3]",[],0.00021195411682128906
"[346, 2]","[346, 2]",5.602836608886719e-05
"[18672, 5, 4]",[-1.0],0.0002372264862060547
[8],[1],5.340576171875e-05
"[21486, 13]",[1],0.0003998279571533203
"[3, 8732]",[1],0.00013875961303710938
"[329, 2]","[329, 2]",4.935264587402344e-05
"[6, 1, 2]","[1, 4, 2]",4.363059997558594e-05
"[100, 1]",[1],3.361701965332031e-05
"[1, 4608]",[],9.202957153320312e-05
"[4, 216901]",[],0.0010859966278076172
"[8726, 4]",[],0.00011777877807617188
"[31, 242991]",[1],0.005460023880004883
"[4, 6048]",[],0.00021123886108398438
"[153, 2]",[],5.435943603515625e-05
"[4, 2000]",[1],9.393692016601562e-05
"[11, 1, 2]","[1, 8732, 2]",0.00027632713317871094
"[5, 1, 2]","[1, 8732, 2]",0.0002243518829345703
"[2, 255780]",[],0.0006558895111083984
"[11, 8732]",[],0.00017333030700683594
"[31, 1000]",[1],0.00015616416931152344
"[194, 2]","[194, 2]",4.649162292480469e-05
"[11, 11]",[],0.0001049041748046875
[366],[1],4.57763671875e-05
