item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,time_cost
"[720, 1, 256]","[720, 1, 256]","[720, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008990764617919922
"[525, 1, 256]","[525, 1, 256]","[525, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007796287536621094
"[100, 1, 256]","[720, 1, 256]","[720, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007925033569335938
"[100, 1, 256]","[660, 1, 256]","[660, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007920265197753906
"[1025, 2, 768]","[1025, 2, 768]","[1025, 2, 768]",[768],[12],"[2304, 768]",[2304],[None],[None],[False],[0.0],"[768, 768]",[768],0.023138999938964844
"[624, 1, 256]","[624, 1, 256]","[624, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0010724067687988281
"[506, 1, 256]","[506, 1, 256]","[506, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008673667907714844
"[100, 1, 256]","[624, 1, 256]","[624, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008244514465332031
"[100, 1, 256]","[418, 1, 256]","[418, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007925033569335938
"[100, 1, 256]","[506, 1, 256]","[506, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007884502410888672
"[100, 1, 256]","[100, 1, 256]","[100, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008091926574707031
"[100, 1, 256]","[420, 1, 256]","[420, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008039474487304688
"[420, 1, 256]","[420, 1, 256]","[420, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008053779602050781
"[660, 1, 256]","[660, 1, 256]","[660, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008106231689453125
"[100, 1, 256]","[525, 1, 256]","[525, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008425712585449219
"[270, 1, 256]","[270, 1, 256]","[270, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007793903350830078
"[418, 1, 256]","[418, 1, 256]","[418, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007464885711669922
"[700, 1, 256]","[700, 1, 256]","[700, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008087158203125
"[100, 1, 256]","[700, 1, 256]","[700, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0007920265197753906
"[100, 1, 256]","[270, 1, 256]","[270, 1, 256]",[256],[8],"[768, 256]",[768],[None],[None],[False],[0.1],"[256, 256]",[256],0.0008440017700195312
