item_0,item_1,time_cost
"[20267, 23]",[],0.0006701946258544922
"[346, 2]",[],0.0003044605255126953
"[4, 1, 2]","[1, 2000, 2]",0.0001671314239501953
"[2, 1, 2]","[1, 3, 2]",4.7206878662109375e-05
"[21486, 1, 2]","[1, 13, 2]",0.003014087677001953
"[8, 1, 2]","[1, 504, 2]",0.0001609325408935547
"[18134, 1, 2]","[1, 1, 2]",0.0004074573516845703
"[18134, 9]",[],0.0002465248107910156
"[329, 2]",[],0.0002853870391845703
"[67, 2]","[67, 2]",7.319450378417969e-05
"[468, 2]","[468, 2]",4.4345855712890625e-05
"[226, 2]",[],0.0002224445343017578
"[20805, 2, 4]",[-1.0],0.0006659030914306641
"[12, 1, 2]","[1, 163206, 2]",0.0073697566986083984
"[3, 2]","[3, 2]",0.0001609325408935547
"[2, 1, 2]","[1, 1, 2]",5.364418029785156e-05
"[22400, 8]",[],0.0002579689025878906
"[2, 1, 2]","[1, 217413, 2]",0.0007979869842529297
"[18672, 1]",[],0.00018072128295898438
[169],[],0.0001614093780517578
"[20267, 10, 4]",[-1.0],0.0008957386016845703
"[22400, 3]",[],0.00016832351684570312
"[498, 2]","[498, 2]",9.179115295410156e-05
"[22400, 12, 4]",[-1.0],0.0005803108215332031
[441],[],0.00014019012451171875
"[5, 1, 2]","[1, 8732, 2]",0.0006377696990966797
"[18134, 6, 4]",[-1.0],0.0004413127899169922
"[8, 1, 2]","[1, 2000, 2]",0.00024366378784179688
"[27, 2]",[],0.00010418891906738281
"[20267, 1, 2]","[1, 2, 2]",0.0009567737579345703
"[20267, 23, 4]",[-1.0],0.0007700920104980469
"[153, 2]","[153, 2]",0.00013494491577148438
"[22400, 5, 4]",[-1.0],0.0005512237548828125
"[497, 2]",[],0.00021219253540039062
"[3, 1, 2]","[1, 3, 2]",5.888938903808594e-05
"[13, 1, 2]","[1, 217413, 2]",0.006201744079589844
"[67, 2]",[],0.00017976760864257812
"[45, 4, 2]",[],9.965896606445312e-05
"[194, 2]","[194, 2]",7.772445678710938e-05
"[12, 1, 2]","[1, 500, 2]",0.00012445449829101562
"[1, 1, 2]","[1, 511, 2]",4.363059997558594e-05
"[2, 1, 2]","[1, 5733, 2]",0.00017261505126953125
"[11, 1, 2]","[1, 8732, 2]",0.0002906322479248047
"[14, 1, 2]","[1, 498, 2]",0.0001494884490966797
"[2, 1, 2]","[1, 182403, 2]",0.0009109973907470703
"[31, 1, 2]","[1, 242991, 2]",0.013099908828735352
"[28, 1, 2]","[1, 8732, 2]",0.0007424354553222656
"[18134, 15, 4]",[-1.0],0.0007760524749755859
