item_0,time_cost
"[256, 256, 1, 1]",3.409385681152344e-05
"[128, 128, 3, 3]",8.821487426757812e-06
"[128, 512, 1, 5]",5.245208740234375e-06
"[128, 512, 5, 1]",5.245208740234375e-06
"[128, 384, 5, 1]",5.245208740234375e-06
"[256, 256, 3, 3]",5.0067901611328125e-06
"[128, 128, 1, 1]",4.76837158203125e-06
"[128, 384, 1, 5]",4.5299530029296875e-06
"[256, 128, 1, 1]",4.76837158203125e-06
"[10, 256]",5.4836273193359375e-06
"[3, 256, 3, 3]",5.0067901611328125e-06
"[1, 128]",5.0067901611328125e-06
"[128, 256, 1, 1]",5.245208740234375e-06
"[128, 3, 1, 1]",5.0067901611328125e-06
"[10, 128]",4.5299530029296875e-06
"[16, 128, 1, 1]",4.76837158203125e-06
"[128, 3, 3, 3]",5.0067901611328125e-06
"[32, 256, 1, 1]",4.291534423828125e-06
"[64, 128, 1, 1]",4.76837158203125e-06
"[4096, 128]",5.0067901611328125e-06
"[128, 64, 1, 1]",5.0067901611328125e-06
