item_0,item_1,item_2,item_3,item_4,time_cost
"[2, 512, 64]",2,1,1e-12,,0.040183305740356445
"[9, 1600, 2304]",2,2,1e-12,,0.0027437210083007812
"[9, 2304, 1600]",2,1,1e-12,,0.0023250579833984375
"[32, 128]",2,1,1e-12,,0.0012984275817871094
"[148, 52]",2,1,1e-12,,0.0019812583923339844
"[2, 8192, 64]",1,1,1e-12,,0.0018260478973388672
"[2, 9409, 64]",1,1,1e-12,,0.0016145706176757812
"[1, 512, 64]",2,1,1e-12,,0.0007112026214599609
"[256, 256]",2,1,1e-12,,0.00064849853515625
"[128, 256]",2,1,1e-12,,0.0006995201110839844
