item_0,item_1,item_2,item_3,item_4,time_cost
"[32, 512]",2,1,,,0.00193023681640625
"[164, 256]",2,1,,,0.0004947185516357422
"[57, 256]",2,1,,,0.0004913806915283203
"[80, 1600]",,,,,0.001268148422241211
"[32, 128]",,,,,0.0007412433624267578
"[115, 52]",,,,,0.0006413459777832031
"[80, 256]",2,1,,,0.0006344318389892578
"[32, 32, 512]",2,2,,,0.0006313323974609375
"[100, 1600]",,,,,0.0006289482116699219
"[32, 128, 49]",,1,,,0.001184701919555664
"[148, 52]",,,,,0.0006518363952636719
"[32, 2048]",,1,,,0.0006356239318847656
"[96, 256]",2,1,,,0.0006363391876220703
"[128, 256]",,1,,,0.0006439685821533203
"[115, 36]",,,,,0.0007455348968505859
"[48, 256]",2,1,,,0.001119375228881836
"[25, 1600]",,,,,0.0009860992431640625
"[1, 150, 192]",2,2,,,0.0007748603820800781
"[256, 256]",,1,,,0.0010499954223632812
"[2, 9409, 64]",1,1,,,0.0023365020751953125
"[79, 256]",2,1,,,0.0006692409515380859
"[43, 256]",2,1,,,0.0006468296051025391
"[128, 65536]",,0,,,0.0006606578826904297
"[9, 1600, 2304]",,2,,,0.0012309551239013672
"[9448, 256]",,,,,0.0006844997406005859
"[64, 1600]",,,,,0.0008494853973388672
"[68, 256]",2,1,,,0.0008790493011474609
"[1, 150, 1024]",2,2,,,0.0006299018859863281
"[192, 36]",,,,,0.0006275177001953125
"[10, 1600]",,,,,0.0006289482116699219
"[3409, 256]",,,,,0.0006287097930908203
"[3000, 128]",2,1,,,0.0006289482116699219
"[160, 256]",2,1,,,0.0006277561187744141
"[109, 52]",,,,,0.0006241798400878906
"[148, 36]",,,,,0.0006396770477294922
"[38, 256]",2,1,,,0.0006287097930908203
"[2, 512, 64]",2,1,,,0.0006291866302490234
"[6042, 256]",,,,,0.0006277561187744141
"[9, 2304, 1600]",,1,,,0.0018665790557861328
"[23, 256]",2,1,,,0.0011892318725585938
"[1, 1600, 1024]",2,2,,,0.0010614395141601562
"[29, 256]",2,1,,,0.0007615089416503906
"[32, 2048, 49]",,1,,,0.0011305809020996094
"[1, 1024, 192]",2,2,,,0.0007143020629882812
"[2, 8192, 64]",1,1,,,0.0019807815551757812
"[86, 256]",2,1,,,0.0006577968597412109
"[3397, 256]",,,,,0.0006816387176513672
"[50, 1600]",,,,,0.0006430149078369141
"[5782, 256]",,,,,0.0006532669067382812
"[32, 512]",2,-1,,,0.0006940364837646484
"[192, 256]",2,1,,,0.0009737014770507812
"[256, 256]",2,1,,,0.0006449222564697266
"[109, 36]",,,,,0.0006275177001953125
"[176, 256]",2,1,,,0.0006277561187744141
"[1281167, 128]",,,,,0.0016510486602783203
"[256, 128]",2,1,,,0.0006356239318847656
"[32, 128]",,1,,,0.0006287097930908203
"[192, 52]",,,,,0.0006277561187744141
"[236, 256]",2,1,,,0.0006303787231445312
"[244, 256]",2,1,,,0.0006282329559326172
"[1, 512, 64]",2,1,,,0.0006320476531982422
