item_0,time_cost
"[3, 17, 17]",1.7881393432617188e-05
608,2.0742416381835938e-05
992,1.33514404296875e-05
320,4.00543212890625e-05
512,1.4543533325195312e-05
832,1.239776611328125e-05
928,1.239776611328125e-05
160,1.2159347534179688e-05
64,1.1682510375976562e-05
232,1.3113021850585938e-05
16,1.2874603271484375e-05
416,1.2874603271484375e-05
576,1.3589859008789062e-05
256,1.4066696166992188e-05
224,1.2159347534179688e-05
40,1.2159347534179688e-05
448,1.1920928955078125e-05
24,1.33514404296875e-05
80,1.239776611328125e-05
1152,1.2159347534179688e-05
192,1.2636184692382812e-05
288,1.2159347534179688e-05
864,1.2159347534179688e-05
240,1.2159347534179688e-05
1280,1.1920928955078125e-05
480,1.2159347534179688e-05
128,1.239776611328125e-05
32,1.1920928955078125e-05
96,1.2159347534179688e-05
672,1.1682510375976562e-05
352,1.239776611328125e-05
30,1.2159347534179688e-05
544,1.2159347534179688e-05
48,1.239776611328125e-05
112,1.2159347534179688e-05
51,1.1920928955078125e-05
8,1.1920928955078125e-05
704,1.1682510375976562e-05
384,1.1920928955078125e-05
736,1.2159347534179688e-05
800,1.2159347534179688e-05
560,1.2159347534179688e-05
116,1.1920928955078125e-05
896,1.2159347534179688e-05
1024,1.1920928955078125e-05
768,1.2159347534179688e-05
2048,1.1920928955078125e-05
144,1.1920928955078125e-05
81,1.1920928955078125e-05
640,2.1219253540039062e-05
960,1.3589859008789062e-05
58,1.1920928955078125e-05
