item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[2, 128, 16, 16]",[4],[4],[0],[True],[True],[None],2.5033950805664062e-05
"[2, 128, 16, 12]",[4],[4],[0],[True],[True],[None],2.4318695068359375e-05
"[2, 32, 64, 64]",[4],[4],[0],[True],[True],[None],3.7670135498046875e-05
"[2, 64, 32, 32]",[4],[4],[0],[True],[True],[None],2.4080276489257812e-05
"[2, 256, 64, 48]",[2],[2],[0],[True],[True],[None],2.5510787963867188e-05
"[2, 512, 32, 24]",[2],[2],[0],[True],[True],[None],2.5272369384765625e-05
"[2, 1024, 16, 12]",[2],[2],[0],[True],[True],[None],2.7179718017578125e-05
"[2, 256, 8, 8]",[4],[4],[0],[True],[True],[None],2.288818359375e-05
"[2, 256, 96, 72]",[2],[2],[0],[True],[True],[None],3.8623809814453125e-05
"[2, 512, 48, 36]",[2],[2],[0],[True],[True],[None],3.170967102050781e-05
