item_0,item_1,time_cost
"[16, 14, 14]","[16, 14, 128]",3.0279159545898438e-05
"[16, 256, 64]","[16, 64, 600]",3.790855407714844e-05
"[8, 100, 713]","[8, 713, 32]",3.62396240234375e-05
"[22, 12, 12]","[22, 12, 576]",4.458427429199219e-05
"[16, 14, 14]","[16, 14, 512]",3.266334533691406e-05
"[29, 14, 14]","[29, 14, 128]",3.0994415283203125e-05
"[4, 196, 256]","[4, 256, 64]",3.528594970703125e-05
"[16, 850, 850]","[16, 850, 64]",9.274482727050781e-05
"[10, 3800, 64]","[10, 64, 950]",4.6253204345703125e-05
"[16, 850, 64]","[16, 64, 850]",4.100799560546875e-05
"[8, 713, 713]","[8, 713, 32]",6.532669067382812e-05
"[2, 512, 512]","[2, 512, 8192]",8.988380432128906e-05
"[64, 128, 64]","[64, 64, 256]",3.910064697265625e-05
"[16, 1601, 64]","[16, 64, 1601]",4.7206878662109375e-05
"[1, 128, 4096]","[1, 4096, 128]",0.00013375282287597656
"[10, 4100, 1025]","[10, 1025, 64]",0.00010943412780761719
"[4, 15200, 950]","[4, 950, 64]",9.512901306152344e-05
"[20, 16, 16]","[20, 16, 128]",4.649162292480469e-05
"[16, 300, 300]","[16, 300, 32]",3.695487976074219e-05
"[16, 1000, 1000]","[16, 1000, 64]",9.012222290039062e-05
"[2, 64000, 64]","[2, 64, 1000]",9.965896606445312e-05
"[4, 16400, 64]","[4, 64, 1025]",7.390975952148438e-05
"[22, 12, 12]","[22, 12, 256]",4.6253204345703125e-05
"[2, 256, 1536]","[2, 1536, 713]",4.887580871582031e-05
"[4, 16384, 64]","[4, 64, 256]",6.818771362304688e-05
"[32, 256, 256]","[32, 256, 64]",4.863739013671875e-05
"[16, 100, 805]","[16, 805, 32]",3.814697265625e-05
"[8, 30, 240]","[8, 240, 64]",3.457069396972656e-05
"[16, 600, 600]","[16, 600, 32]",0.00010228157043457031
"[42, 196, 64]","[42, 64, 256]",3.9577484130859375e-05
"[8, 100, 460]","[8, 460, 32]",3.647804260253906e-05
"[600, 49, 256]","[600, 256, 64]",9.417533874511719e-05
"[3, 1174, 1174]","[3, 1174, 64]",9.512901306152344e-05
"[2, 512, 2048]","[2, 2048, 2048]",8.916854858398438e-05
"[2, 256, 1536]","[2, 1536, 1976]",9.489059448242188e-05
"[3, 1174, 64]","[3, 64, 1174]",3.719329833984375e-05
"[16, 840, 840]","[16, 840, 32]",9.322166442871094e-05
"[20, 1024, 64]","[20, 64, 256]",3.62396240234375e-05
"[29, 14, 14]","[29, 14, 256]",3.7670135498046875e-05
"[8, 256, 64]","[8, 64, 256]",3.600120544433594e-05
"[8, 26, 64]","[8, 64, 26]",3.337860107421875e-05
"[8, 100, 330]","[8, 330, 32]",3.528594970703125e-05
"[128, 1, 528]","[128, 528, 32]",4.696846008300781e-05
"[16, 391, 391]","[16, 391, 32]",3.910064697265625e-05
"[18, 17, 17]","[18, 17, 576]",3.504753112792969e-05
"[6272, 16, 6]","[6272, 6, 16]",4.100799560546875e-05
"[48, 197, 197]","[48, 197, 64]",4.0531158447265625e-05
"[2, 54400, 64]","[2, 64, 850]",0.00010228157043457031
"[20, 16, 16]","[20, 16, 576]",3.9577484130859375e-05
"[4, 16384, 256]","[4, 256, 64]",9.441375732421875e-05
"[8, 26, 26]","[8, 26, 64]",3.62396240234375e-05
"[1, 26, 512]","[1, 512, 256]",0.00013446807861328125
"[64, 256, 32]","[64, 32, 64]",3.62396240234375e-05
"[2, 512, 512]","[2, 512, 9409]",9.226799011230469e-05
"[1, 256, 1024]","[1, 1024, 256]",6.4849853515625e-05
"[32, 256, 64]","[32, 64, 256]",3.790855407714844e-05
"[64, 256, 16]","[64, 16, 64]",3.552436828613281e-05
"[2, 60800, 950]","[2, 950, 64]",0.0001418590545654297
"[2, 256, 1536]","[2, 1536, 154]",4.076957702636719e-05
"[4, 768, 48]","[4, 48, 64]",3.552436828613281e-05
"[22, 12, 12]","[22, 12, 128]",3.719329833984375e-05
