item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[2, 256, 64, 64]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002912282943725586
"[48, 256, 14, 14]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004530906677246094
"[48, 1024, 14, 14]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0024955272674560547
"[48, 256, 14, 14]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0023956298828125
"[32, 512, 6, 40]","[512, 512, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.01635265350341797
"[32, 256, 12, 40]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004626035690307617
"[32, 512, 6, 40]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.01637864112854004
"[32, 32, 64, 48]","[32, 32, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0006268024444580078
"[32, 128, 16, 12]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0015664100646972656
"[32, 64, 32, 24]","[64, 64, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0006160736083984375
