item_0,item_1,item_2,time_cost
b c h w/ c -> b c h w,"[1, 2, 24, 28]",[2],5.626678466796875e-05
bnd/df->bnf,"[16, 14, 256]","[256, 64]",0.00010514259338378906
b h x y d/ x u v d -> b h x y u v,"[2, 1, 46, 62, 128]","[46, 46, 1, 128]",0.0001227855682373047
bnhw/bchw->bnc,"[2, 150, 64, 64]","[2, 512, 64, 64]",0.00018668174743652344
nc/mc->nm,"[100, 12544]","[5, 12544]",0.0001125335693359375
nc/mc->nm,"[100, 29120]","[5, 29120]",0.00015473365783691406
nc/mc->nm,"[100, 12544]","[3, 12544]",9.250640869140625e-05
bnd/df->bnf,"[20, 16, 512]","[512, 128]",9.298324584960938e-05
bcn/bck->bnk,"[2, 512, 8192]","[2, 512, 64]",0.00017952919006347656
bts/bcs->bct,"[64, 16, 16]","[64, 64, 16]",8.702278137207031e-05
b h x y d/ y u v d -> b h x y u v,"[2, 1, 46, 62, 128]","[62, 1, 62, 128]",0.00010967254638671875
m/d->md,[196],[128],6.437301635742188e-05
b c h w/ c -> b c h w,"[1, 2, 192, 224]",[2],5.1021575927734375e-05
nkctv/kvw->nctw,"[32, 3, 256, 150, 17]","[3, 17, 17]",0.0002758502960205078
bciw/bhwi->bchw,"[2, 512, 64, 128]","[2, 64, 128, 64]",0.00022339820861816406
ijkl/ ikl->ijkl,"[1, 128, 12, 14]","[1, 12, 14]",6.580352783203125e-05
b c h w/ c -> b c h w,"[1, 2, 96, 112]",[2],6.628036499023438e-05
bchw/bciw->bwhi,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.0001163482666015625
nkctv/kvw->nctw,"[32, 3, 64, 300, 17]","[3, 17, 17]",0.00025582313537597656
bnd/df->bnf,"[18, 17, 512]","[512, 128]",0.00010251998901367188
bnd/df->bnf,"[20, 16, 1152]","[1152, 512]",0.00011181831359863281
nc/mc->nm,"[100, 12544]","[18, 12544]",0.00010085105895996094
nkctv/kvw->nctw,"[32, 3, 128, 150, 17]","[3, 17, 17]",0.000240325927734375
nc/mc->nm,"[100, 49152]","[4, 49152]",0.0001919269561767578
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 182, 160]",0.00020384788513183594
bnd/df->bnf,"[22, 12, 512]","[512, 128]",0.00011014938354492188
bcn/bnk->bck,"[2, 512, 8192]","[2, 8192, 64]",0.00018930435180664062
bchw/bchj->bhwj,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.000141143798828125
bnd/df->bnf,"[16, 14, 512]","[512, 128]",0.00012135505676269531
ijkl/ ikl->ijkl,"[1, 96, 24, 28]","[1, 24, 28]",6.031990051269531e-05
bnd/df->bnf,"[29, 14, 1152]","[1152, 512]",9.775161743164062e-05
bnd/df->bnf,"[18, 17, 1024]","[1024, 256]",0.00010442733764648438
ak/ kn-> an,"[15000, 11]","[11, 50]",7.772445678710938e-05
bnd/df->bnf,"[29, 14, 1024]","[1024, 256]",0.000102996826171875
nc/mc->nm,"[100, 21000]","[19, 21000]",0.0001163482666015625
nc/mc->nm,"[100, 25080]","[21, 25080]",0.00012254714965820312
nkctv/kvw->nctw,"[32, 3, 256, 75, 17]","[3, 17, 17]",0.00025582313537597656
bchj/bhwj->bchw,"[4, 512, 64, 64]","[4, 64, 64, 64]",0.0002224445343017578
bciw/bhwi->bchw,"[2, 512, 97, 97]","[2, 97, 97, 97]",0.00022912025451660156
bnd/df->bnf,"[18, 17, 256]","[256, 64]",0.00012922286987304688
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 192, 256]",0.0002040863037109375
b c h w/ c -> b c h w,"[1, 2, 48, 96]",[2],6.794929504394531e-05
bct/bcs->bts,"[64, 64, 16]","[64, 64, 16]",9.083747863769531e-05
ijkl/ ikl->ijkl,"[1, 64, 48, 56]","[1, 48, 56]",6.103515625e-05
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 184, 244]",0.00019621849060058594
m/d->md,[196],[192],6.389617919921875e-05
bqc/bchw->bqhw,"[2, 100, 256]","[2, 256, 256, 256]",0.00019621849060058594
bciw/bhwi->bchw,"[4, 512, 64, 64]","[4, 64, 64, 64]",0.00023698806762695312
bct/bcs->bts,"[64, 64, 256]","[64, 64, 256]",8.273124694824219e-05
bck/bnk->bcn,"[2, 512, 64]","[2, 9409, 64]",8.320808410644531e-05
bnd/df->bnf,"[22, 12, 1024]","[1024, 256]",0.00011110305786132812
nc/nc->n,"[32, 128]","[32, 128]",8.630752563476562e-05
b c h w/ c -> b c h w,"[1, 2, 12, 14]",[2],6.008148193359375e-05
bnd/df->bnf,"[29, 14, 512]","[512, 128]",0.00010275840759277344
nc/mc->nm,"[100, 12544]","[6, 12544]",9.179115295410156e-05
bnd/df->bnf,"[22, 12, 256]","[256, 64]",8.654594421386719e-05
b c h w/ c -> b c h w,"[1, 2, 192, 384]",[2],5.340576171875e-05
bnd/df->bnf,"[22, 12, 1152]","[1152, 512]",0.00010418891906738281
bnd/df->bnf,"[20, 16, 1024]","[1024, 256]",9.012222290039062e-05
bchw/bchj->bhwj,"[2, 64, 64, 128]","[2, 64, 64, 128]",0.00011038780212402344
bnd/df->bnf,"[20, 16, 256]","[256, 64]",8.678436279296875e-05
b c h w/ c -> b c h w,"[1, 2, 384, 448]",[2],5.316734313964844e-05
bchw/bchj->bhwj,"[2, 64, 97, 97]","[2, 64, 97, 97]",0.00018167495727539062
nc/ck->nk,"[1568, 128]","[128, 65536]",0.00020432472229003906
bts/bcs->bct,"[64, 64, 64]","[64, 64, 64]",8.749961853027344e-05
bct/bcs->bts,"[64, 64, 64]","[64, 64, 64]",8.368492126464844e-05
bnd/df->bnf,"[16, 14, 1152]","[1152, 512]",0.00010538101196289062
ijkl/ ikl->ijkl,"[1, 32, 96, 112]","[1, 96, 112]",8.153915405273438e-05
bnd/df->bnf,"[18, 17, 1152]","[1152, 512]",9.34600830078125e-05
b c h w/ c -> b c h w,"[1, 2, 6, 7]",[2],5.173683166503906e-05
bcn/bck->bnk,"[2, 512, 9409]","[2, 512, 64]",0.00017905235290527344
nc/ck->nk,"[32, 128]","[128, 65536]",0.0001933574676513672
bcn/bnk->bck,"[2, 512, 9409]","[2, 9409, 64]",0.00017380714416503906
b c h w/ c -> b c h w,"[1, 2, 12, 24]",[2],6.747245788574219e-05
bchw/bciw->bwhi,"[2, 64, 64, 128]","[2, 64, 64, 128]",0.00012087821960449219
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 152, 165]",0.00019407272338867188
bnhw/bchw->bnc,"[2, 150, 128, 128]","[2, 512, 128, 128]",0.0001914501190185547
bchj/bhwj->bchw,"[2, 512, 64, 128]","[2, 64, 128, 128]",0.0002124309539794922
nkctv/kvw->nctw,"[32, 3, 128, 300, 17]","[3, 17, 17]",0.00026297569274902344
bck/bnk->bcn,"[2, 512, 64]","[2, 8192, 64]",8.440017700195312e-05
b c h w/ c -> b c h w,"[1, 2, 48, 56]",[2],6.103515625e-05
b c h w/ c -> b c h w,"[1, 2, 24, 48]",[2],4.935264587402344e-05
bnd/df->bnf,"[29, 14, 256]","[256, 64]",0.00010538101196289062
bchj/bhwj->bchw,"[2, 512, 97, 97]","[2, 97, 97, 97]",0.0002200603485107422
ak/ kn-> an,"[60000, 11]","[11, 50]",8.797645568847656e-05
nc/mc->nm,"[100, 44896]","[20, 44896]",0.0002014636993408203
nc/mc->nm,"[100, 12544]","[2, 12544]",8.96453857421875e-05
b c h w/ c -> b c h w,"[1, 2, 384, 768]",[2],7.295608520507812e-05
bchw/bciw->bwhi,"[2, 64, 97, 97]","[2, 64, 97, 97]",0.00012803077697753906
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 120, 175]",0.0002033710479736328
bnd/df->bnf,"[16, 14, 1024]","[1024, 256]",9.226799011230469e-05
nc/mc->nm,"[128, 256]","[128, 256]",9.083747863769531e-05
m/d->md,[196],[96],7.796287536621094e-05
b c h w/ c -> b c h w,"[1, 2, 96, 192]",[2],5.173683166503906e-05
bts/bcs->bct,"[64, 256, 256]","[64, 64, 256]",0.00018095970153808594
