item_0,item_1,item_2,item_3,item_4,time_cost
"[2, 256, 50, 76]",32,[256],[256],1e-05,5.078315734863281e-05
"[2, 256, 25, 38]",32,[256],[256],1e-05,4.57763671875e-05
"[2, 256, 7, 10]",32,[256],[256],1e-05,4.4345855712890625e-05
"[2, 256, 100, 152]",32,[256],[256],1e-05,8.988380432128906e-05
"[2, 256, 7, 9]",32,[256],[256],1e-05,4.7206878662109375e-05
"[2, 256, 13, 19]",32,[256],[256],1e-05,4.553794860839844e-05
"[2, 256, 50, 84]",32,[256],[256],1e-05,5.030632019042969e-05
"[16, 256, 4, 4]",32,[256],[256],1e-05,4.673004150390625e-05
"[8, 320, 14, 14]",1,[320],[320],1e-05,4.410743713378906e-05
"[1024, 256, 7, 7]",32,[256],[256],1e-05,9.870529174804688e-05
