item_0,item_1,item_2,item_3,time_cost
"[1, 512, 1024]",19,0,18,5.8650970458984375e-05
"[1, 512, 512]",21,0,20,5.841255187988281e-05
"[1, 512, 512]",150,0,149,6.890296936035156e-05
"[1, 512, 512]",150,0,149,6.985664367675781e-05
"[1, 512, 512]",21,0,20,5.793571472167969e-05
"[1, 512, 512]",150,0,149,6.818771362304688e-05
"[1, 512, 512]",150,0,149,6.723403930664062e-05
"[1, 512, 512]",150,0,149,6.818771362304688e-05
"[1, 512, 1024]",19,0,18,0.0001304149627685547
"[1, 512, 1024]",19,0,18,5.936622619628906e-05
"[1, 512, 512]",21,0,20,5.888938903808594e-05
"[1, 512, 512]",21,0,20,7.534027099609375e-05
"[1, 769, 769]",19,0,18,5.936622619628906e-05
"[1, 512, 512]",150,0,149,7.009506225585938e-05
"[1, 769, 769]",19,0,18,5.91278076171875e-05
"[1, 769, 769]",19,0,18,5.888938903808594e-05
"[1, 512, 1024]",19,0,18,5.984306335449219e-05
"[1, 769, 769]",19,0,18,5.888938903808594e-05
"[1, 512, 512]",150,0,149,6.890296936035156e-05
"[1, 512, 1024]",19,0,18,5.841255187988281e-05
"[1, 512, 1024]",19,0,18,5.8650970458984375e-05
