item_0,item_1,item_2,time_cost
"[1, 3072, 256]","[1024, 256]",[1024],8.392333984375e-05
"[2, 240, 216, 96]","[384, 96]",[384],0.00017833709716796875
"[2, 48, 4096]","[1024, 4096]",[1024],0.0001952648162841797
"[2, 60, 54, 1536]","[384, 1536]",[384],0.00017523765563964844
"[2, 16384, 768]","[192, 768]",[192],0.0001704692840576172
"[4, 1024]","[1000, 1024]",[1000],9.655952453613281e-05
"[2, 2048]","[16, 2048]",[16],5.650520324707031e-05
"[256, 1024]","[1024, 1024]",[1024],9.465217590332031e-05
"[1, 26, 38]","[512, 38]",[False],6.246566772460938e-05
"[1, 30, 2048]","[512, 2048]",[512],9.918212890625e-05
"[64, 76, 768]","[768, 768]",[768],0.0001785755157470703
"[999, 1024]","[49, 1024]",[49],0.00010275840759277344
"[1700, 512]","[512, 512]",[512],8.893013000488281e-05
"[4, 65536]","[1, 65536]",[1],7.557868957519531e-05
"[8, 3136, 512]","[64, 512]",[64],0.0001437664031982422
"[16400, 2, 128]","[128, 128]",[128],0.00015878677368164062
"[1024, 1024]","[1024, 1024]",[1024],0.00013494491577148438
"[36864, 580]","[256, 580]",[256],0.00015044212341308594
"[64, 75, 768]","[8192, 768]",[8192],0.0001723766326904297
"[21504, 2, 1024]","[256, 1024]",[256],0.0001628398895263672
"[256, 8192]","[8192, 8192]",[False],0.00014257431030273438
"[109, 16]","[1024, 16]",[1024],6.842613220214844e-05
"[3397, 5]","[256, 5]",[256],5.650520324707031e-05
"[2, 36, 48, 384]","[1536, 384]",[1536],0.00011277198791503906
"[1, 48, 512]","[2048, 512]",[2048],0.00010251998901367188
"[4, 512]","[19, 512]",[19],5.602836608886719e-05
"[412, 12544]","[1024, 12544]",[1024],0.00015997886657714844
"[24, 144, 256]","[256, 256]",[256],9.131431579589844e-05
"[2, 40, 512]","[38, 512]",[38],7.677078247070312e-05
"[8, 196, 320]","[320, 320]",[320],9.5367431640625e-05
"[1174, 1, 192]","[192, 192]",[192],8.440017700195312e-05
"[3, 4608]","[81, 4608]",[81],6.127357482910156e-05
"[1, 48, 3072]","[1536, 3072]",[False],0.00015974044799804688
"[2, 132, 88, 768]","[192, 768]",[192],0.0001838207244873047
"[109, 256]","[1024, 256]",[1024],0.0001068115234375
"[2, 54400, 96]","[384, 96]",[384],0.00017023086547851562
"[18, 49, 1536]","[1536, 1536]",[1536],0.00016617774963378906
"[128, 1024]","[1024, 1024]",[1024],0.00010728836059570312
"[2, 512]","[1, 512]",[False],6.365776062011719e-05
"[722, 49, 192]","[576, 192]",[576],0.0001628398895263672
"[2, 18, 24, 3072]","[768, 3072]",[768],0.00019311904907226562
"[4, 49, 768]","[768, 768]",[768],0.00011658668518066406
"[1, 2048]","[64, 2048]",[64],6.580352783203125e-05
"[5782, 5]","[256, 5]",[256],5.650520324707031e-05
"[5, 1024]","[49, 1024]",[49],5.841255187988281e-05
"[2, 132, 88, 192]","[768, 192]",[768],0.00016880035400390625
"[10, 1024]","[80, 1024]",[80],7.05718994140625e-05
"[12540, 2, 1024]","[256, 1024]",[256],0.0001728534698486328
"[128, 2048]","[4, 2048]",[4],7.486343383789062e-05
"[128, 256]","[4096, 256]",[False],7.295608520507812e-05
"[66, 1024]","[256, 1024]",[256],8.726119995117188e-05
"[832, 512]","[256, 512]",[256],9.179115295410156e-05
"[1, 1024, 192]","[192, 192]",[192],8.296966552734375e-05
"[64, 640]","[100, 640]",[False],6.628036499023438e-05
"[16, 64]","[2, 64]",[2],5.650520324707031e-05
"[3409, 256]","[2, 256]",[2],5.269050598144531e-05
"[8, 768]","[1000, 768]",[1000],9.059906005859375e-05
"[2, 144, 192, 384]","[96, 384]",[96],0.0001766681671142578
"[8, 3136, 147]","[192, 147]",[False],0.00014328956604003906
"[32, 64]","[2, 64]",[2],7.2479248046875e-05
"[1, 64]","[64, 64]",[False],5.555152893066406e-05
"[2, 300, 256]","[80, 256]",[80],8.249282836914062e-05
"[2, 768, 256]","[1024, 256]",[1024],8.487701416015625e-05
"[4, 3136, 384]","[96, 384]",[96],0.00015687942504882812
"[2, 176, 208, 384]","[96, 384]",[96],0.0001766681671142578
"[391, 2, 256]","[2048, 256]",[2048],0.00010085105895996094
"[2, 264, 176, 96]","[384, 96]",[384],0.00017905235290527344
"[1004, 12544]","[1024, 12544]",[1024],0.0001609325408935547
