item_0,item_1,item_2,time_cost
"[1, 1, 30, 30]","[1, 1, 30, 30]",-1000000000.0,1.7404556274414062e-05
"[1, 1, 30, 30]","[1, 1, 30, 30]",0,1.9311904907226562e-05
"[16, 100, 1024]","[16, 100, 1024]",-inf,2.1219253540039062e-05
"[16, 100, 4096]","[16, 100, 4096]",-inf,9.965896606445312e-05
"[16, 100, 16384]","[16, 100, 16384]",-inf,5.435943603515625e-05
"[8, 1, 713]","[8, 1, 713]",-inf,2.0742416381835938e-05
"[8, 1, 399]","[8, 1, 399]",-inf,1.9550323486328125e-05
"[8, 1, 460]","[8, 1, 460]",-inf,1.9311904907226562e-05
"[8, 1, 768]","[8, 1, 768]",-inf,1.9311904907226562e-05
"[8, 1, 330]","[8, 1, 330]",-inf,1.9311904907226562e-05
"[16, 1, 391]","[16, 1, 391]",-inf,1.8835067749023438e-05
"[16, 1, 840]","[16, 1, 840]",-inf,1.9073486328125e-05
"[16, 1, 600]","[16, 1, 600]",-inf,1.8835067749023438e-05
"[16, 1, 805]","[16, 1, 805]",-inf,1.9073486328125e-05
