item_0,item_1,item_2,time_cost
"[64, 36, 36]","[64, 36, 36]",-100.0,3.933906555175781e-05
"[64, 36, 36]","[64, 36, 36]",0.0,3.719329833984375e-05
"[16, 36, 36]","[16, 36, 36]",-100.0,3.4809112548828125e-05
"[16, 36, 36]","[16, 36, 36]",0.0,3.409385681152344e-05
"[4, 36, 36]","[4, 36, 36]",-100.0,3.457069396972656e-05
"[4, 36, 36]","[4, 36, 36]",0.0,3.3855438232421875e-05
"[361, 49, 49]","[361, 49, 49]",-100.0,3.814697265625e-05
"[361, 49, 49]","[361, 49, 49]",0.0,3.7670135498046875e-05
"[100, 49, 49]","[100, 49, 49]",-100.0,3.790855407714844e-05
"[100, 49, 49]","[100, 49, 49]",0.0,3.719329833984375e-05
"[25, 49, 49]","[25, 49, 49]",-100.0,3.457069396972656e-05
"[25, 49, 49]","[25, 49, 49]",0.0,3.4332275390625e-05
"[9, 49, 49]","[9, 49, 49]",-100.0,3.409385681152344e-05
"[9, 49, 49]","[9, 49, 49]",0.0,3.4809112548828125e-05
"[48, 144, 144]","[48, 144, 144]",-100.0,3.6716461181640625e-05
"[48, 144, 144]","[48, 144, 144]",0.0,3.552436828613281e-05
"[12, 144, 144]","[12, 144, 144]",-100.0,3.528594970703125e-05
"[12, 144, 144]","[12, 144, 144]",0.0,6.699562072753906e-05
"[4, 144, 144]","[4, 144, 144]",-100.0,3.600120544433594e-05
"[4, 144, 144]","[4, 144, 144]",0.0,5.7220458984375e-05
"[1, 144, 144]","[1, 144, 144]",-100.0,3.719329833984375e-05
"[1, 144, 144]","[1, 144, 144]",0.0,3.409385681152344e-05
"[70, 49, 49]","[70, 49, 49]",-100.0,3.981590270996094e-05
"[70, 49, 49]","[70, 49, 49]",0.0,3.7670135498046875e-05
"[20, 49, 49]","[20, 49, 49]",-100.0,3.5762786865234375e-05
"[20, 49, 49]","[20, 49, 49]",0.0,3.5762786865234375e-05
"[6, 49, 49]","[6, 49, 49]",-100.0,3.647804260253906e-05
"[6, 49, 49]","[6, 49, 49]",0.0,3.4332275390625e-05
"[2, 49, 49]","[2, 49, 49]",-100.0,3.361701965332031e-05
"[2, 49, 49]","[2, 49, 49]",0.0,3.528594970703125e-05
