item_0,item_1,item_2,time_cost
"[2, 4096]","[2, 4096]",mean,5.14984130859375e-05
"[2, 3072]","[2, 3072]",mean,5.1021575927734375e-05
"[1, 3072]","[1, 3072]",mean,5.0067901611328125e-05
"[1, 6912]","[1, 6912]",mean,5.793571472167969e-05
"[2, 6912]","[2, 6912]",mean,5.078315734863281e-05
"[1, 4096]","[1, 4096]",mean,5.054473876953125e-05
"[2, 2116]","[2, 2116]",mean,5.0067901611328125e-05
"[2, 1600]","[2, 1600]",mean,5.030632019042969e-05
"[1, 2116]","[1, 2116]",mean,5.0067901611328125e-05
"[2, 1728]","[2, 1728]",mean,5.054473876953125e-05
