item_0,item_1,time_cost
"[32, 576]",[576],2.86102294921875e-05
"[512, 8192]",[8192],8.225440979003906e-05
"[27, 256]",[256],3.0994415283203125e-05
"[1152, 128]",[128],2.9087066650390625e-05
"[256, 4096]",[4096],3.075599670410156e-05
"[27, 128]",[128],2.8133392333984375e-05
"[3, 256]",[256],2.6464462280273438e-05
"[32, 144]",[144],2.8133392333984375e-05
"[256, 1152]",[1152],2.9325485229492188e-05
"[512, 4096]",[4096],3.4332275390625e-05
"[576, 64]",[64],2.9087066650390625e-05
"[2304, 128]",[128],2.9802322387695312e-05
"[256, 3]",[3],2.765655517578125e-05
"[1600, 128]",[128],2.7894973754882812e-05
"[32, 288]",[288],2.6941299438476562e-05
"[256, 2304]",[2304],3.0517578125e-05
"[512, 4608]",[4608],3.409385681152344e-05
"[3200, 256]",[256],3.170967102050781e-05
"[4096, 256]",[256],2.8848648071289062e-05
"[256, 2048]",[2048],2.86102294921875e-05
"[256, 10]",[10],2.765655517578125e-05
"[16, 128]",[128],2.6464462280273438e-05
"[128, 27]",[27],2.6702880859375e-05
"[128, 128]",[128],2.7179718017578125e-05
"[128, 1600]",[1600],2.7894973754882812e-05
"[2304, 3]",[3],2.765655517578125e-05
"[1, 128]",[128],2.5987625122070312e-05
"[256, 128]",[128],2.6702880859375e-05
"[288, 128]",[128],2.6941299438476562e-05
"[256, 256]",[256],2.765655517578125e-05
"[64, 1024]",[1024],2.765655517578125e-05
"[512, 2304]",[2304],2.956390380859375e-05
"[256, 27]",[27],3.314018249511719e-05
"[2048, 256]",[256],2.956390380859375e-05
"[128, 2048]",[2048],2.8848648071289062e-05
"[288, 32]",[32],2.6464462280273438e-05
"[1, 256]",[256],5.221366882324219e-05
"[576, 128]",[128],2.8133392333984375e-05
"[144, 32]",[32],3.361701965332031e-05
"[54, 32]",[32],2.6226043701171875e-05
"[3, 128]",[128],2.6464462280273438e-05
"[16, 27]",[27],2.6226043701171875e-05
"[512, 32]",[32],2.5987625122070312e-05
"[64, 1152]",[1152],2.8133392333984375e-05
"[27, 16]",[16],2.7179718017578125e-05
"[512, 256]",[256],2.86102294921875e-05
"[128, 1]",[1],3.0994415283203125e-05
"[10, 128]",[128],2.6702880859375e-05
"[128, 1024]",[1024],2.765655517578125e-05
"[288, 64]",[64],2.7179718017578125e-05
"[64, 128]",[128],2.6226043701171875e-05
"[4096, 512]",[512],3.314018249511719e-05
"[256, 32]",[32],2.6941299438476562e-05
"[128, 256]",[256],2.8371810913085938e-05
"[32, 64]",[64],2.6941299438476562e-05
"[1152, 64]",[64],2.7894973754882812e-05
"[32, 512]",[512],2.7418136596679688e-05
"[256, 1]",[1],2.8371810913085938e-05
"[4608, 256]",[256],2.956390380859375e-05
"[128, 10]",[10],2.7418136596679688e-05
"[128, 576]",[576],2.7418136596679688e-05
"[576, 32]",[32],2.6941299438476562e-05
"[4608, 512]",[512],5.054473876953125e-05
"[128, 2304]",[2304],3.1948089599609375e-05
"[3, 2304]",[2304],4.506111145019531e-05
"[64, 100]",[100],2.8371810913085938e-05
"[128, 4096]",[4096],2.956390380859375e-05
"[1024, 64]",[64],2.9325485229492188e-05
"[64, 576]",[576],3.24249267578125e-05
"[6400, 256]",[256],2.9802322387695312e-05
"[128, 64]",[64],2.8371810913085938e-05
"[64, 288]",[288],2.765655517578125e-05
"[128, 3]",[3],2.7179718017578125e-05
"[32, 256]",[256],2.765655517578125e-05
"[32, 54]",[54],2.6702880859375e-05
"[10, 256]",[256],2.6464462280273438e-05
"[8192, 512]",[512],7.557868957519531e-05
"[100, 64]",[64],2.9325485229492188e-05
"[4096, 128]",[128],2.9802322387695312e-05
"[1152, 256]",[256],3.147125244140625e-05
"[256, 3200]",[3200],3.0279159545898438e-05
"[2304, 512]",[512],3.0040740966796875e-05
"[256, 6400]",[6400],3.123283386230469e-05
"[2048, 128]",[128],2.9087066650390625e-05
"[256, 512]",[512],2.8848648071289062e-05
"[128, 288]",[288],2.8133392333984375e-05
"[128, 1152]",[1152],2.86102294921875e-05
"[128, 16]",[16],2.765655517578125e-05
"[256, 4608]",[4608],2.956390380859375e-05
"[1024, 128]",[128],2.9802322387695312e-05
"[64, 32]",[32],2.7418136596679688e-05
"[2304, 256]",[256],3.0517578125e-05
