item_0,time_cost
[15213],6.604194641113281e-05
[8349],5.984306335449219e-05
[22816],5.888938903808594e-05
[5704],4.506111145019531e-05
[1426],4.5299530029296875e-05
[384],4.553794860839844e-05
[96],4.5299530029296875e-05
[10539],5.817413330078125e-05
[16368],5.817413330078125e-05
[24576],5.841255187988281e-05
[6144],5.364418029785156e-05
[1536],4.553794860839844e-05
[9980],5.7220458984375e-05
[10140],5.7697296142578125e-05
[15808],5.841255187988281e-05
[3952],4.5299530029296875e-05
[988],4.506111145019531e-05
[260],4.506111145019531e-05
[70],4.38690185546875e-05
[15345],5.8650970458984375e-05
[11085],5.793571472167969e-05
[23040],5.793571472167969e-05
[5760],4.482269287109375e-05
[1440],4.482269287109375e-05
[360],4.4345855712890625e-05
[90],4.458427429199219e-05
[10311],5.7220458984375e-05
[12544],5.841255187988281e-05
[18816],5.8650970458984375e-05
[4704],4.482269287109375e-05
[1176],4.506111145019531e-05
[308],4.458427429199219e-05
[84],4.4345855712890625e-05
[24480],5.8650970458984375e-05
[48960],5.91278076171875e-05
[12000],5.650520324707031e-05
[2000],4.5299530029296875e-05
[2003],4.458427429199219e-05
[256],4.482269287109375e-05
[16380],5.793571472167969e-05
[32760],5.745887756347656e-05
[11997],6.270408630371094e-05
[2001],4.506111145019531e-05
[18900],5.841255187988281e-05
[37800],5.793571472167969e-05
[2002],5.125999450683594e-05
[26550],5.841255187988281e-05
[53100],5.841255187988281e-05
[11998],5.7697296142578125e-05
[15750],5.8650970458984375e-05
[31500],5.7697296142578125e-05
[19248],5.793571472167969e-05
[217413],5.91278076171875e-05
[326400],6.198883056640625e-05
[81600],5.984306335449219e-05
[20400],5.91278076171875e-05
[5100],4.553794860839844e-05
[1326],4.458427429199219e-05
[1000],4.4345855712890625e-05
[1015],4.482269287109375e-05
[1001],4.363059997558594e-05
[1024],4.363059997558594e-05
[1007],4.4345855712890625e-05
[1006],4.887580871582031e-05
[242991],6.079673767089844e-05
[204624],5.507469177246094e-05
[364800],6.175041198730469e-05
[91200],6.103515625e-05
[22800],5.984306335449219e-05
[5700],4.649162292480469e-05
[1482],4.57763671875e-05
[1017],4.458427429199219e-05
[1003],4.363059997558594e-05
[1013],4.458427429199219e-05
[1002],4.4345855712890625e-05
[217413],5.9604644775390625e-05
[236616],6.198883056640625e-05
[355200],6.198883056640625e-05
[88800],6.103515625e-05
[22200],5.91278076171875e-05
[5550],4.649162292480469e-05
[1482],4.458427429199219e-05
[1000],4.482269287109375e-05
[1004],4.410743713378906e-05
[1018],4.363059997558594e-05
[242991],6.0558319091796875e-05
[364800],6.103515625e-05
[91200],5.269050598144531e-05
[22800],6.008148193359375e-05
[5700],4.57763671875e-05
[1008],4.458427429199219e-05
[1007],4.482269287109375e-05
[255780],6.127357482910156e-05
[384000],6.198883056640625e-05
[96000],6.0558319091796875e-05
[24000],6.508827209472656e-05
[6000],4.6253204345703125e-05
[1560],4.458427429199219e-05
[1002],4.410743713378906e-05
[1001],4.5299530029296875e-05
[1003],4.38690185546875e-05
[1016],4.38690185546875e-05
[18134],5.650520324707031e-05
"[2, 13600]",6.413459777832031e-05
"[2, 3400]",4.935264587402344e-05
"[2, 850]",4.792213439941406e-05
"[2, 221]",4.76837158203125e-05
"[2, 63]",4.696846008300781e-05
[27200],5.888938903808594e-05
[6800],4.649162292480469e-05
[1700],4.482269287109375e-05
[442],4.482269287109375e-05
[126],4.458427429199219e-05
[19742],5.8650970458984375e-05
"[2, 14800]",6.103515625e-05
"[2, 3700]",5.745887756347656e-05
"[2, 925]",4.792213439941406e-05
"[2, 247]",4.696846008300781e-05
"[2, 70]",4.76837158203125e-05
[29600],5.888938903808594e-05
[7400],5.412101745605469e-05
[1850],4.482269287109375e-05
[494],4.410743713378906e-05
[140],4.410743713378906e-05
[20267],5.793571472167969e-05
"[2, 15200]",6.127357482910156e-05
"[2, 3800]",5.5789947509765625e-05
"[2, 950]",5.3882598876953125e-05
[30400],7.343292236328125e-05
[7600],5.435943603515625e-05
[1900],4.506111145019531e-05
[21875],5.8650970458984375e-05
"[2, 16400]",6.127357482910156e-05
"[2, 4100]",6.031990051269531e-05
"[2, 1025]",4.76837158203125e-05
"[2, 273]",4.7206878662109375e-05
"[2, 77]",4.7206878662109375e-05
[32800],5.793571472167969e-05
