item_0,item_1,time_cost
"[256, 1024, 3, 3]",2,5.7697296142578125e-05
"[512, 256, 1, 1]",2,4.863739013671875e-05
"[4, 78]",2,3.8623809814453125e-05
"[319, 128]",2,3.8623809814453125e-05
"[64, 128, 3, 1, 1]",2,4.029273986816406e-05
"[32, 2048]",2,3.886222839355469e-05
"[128, 64, 5, 5]",2,4.649162292480469e-05
[222],2,3.8623809814453125e-05
"[256, 12544]",2,8.821487426757812e-05
"[109, 52]",2,3.981590270996094e-05
"[57, 256]",2,3.8623809814453125e-05
"[6272, 49, 1, 1]",2,4.649162292480469e-05
"[128, 96, 3, 3]",2,3.9577484130859375e-05
[307],2,3.790855407714844e-05
"[72, 1, 5, 5]",2,3.838539123535156e-05
"[176, 256]",2,3.838539123535156e-05
[90],2,5.245208740234375e-05
[170],2,3.910064697265625e-05
[256],2,3.695487976074219e-05
[1536],2,3.5762786865234375e-05
"[1, 2, 6, 7]",2,3.7670135498046875e-05
[128],2,3.528594970703125e-05
[334],2,3.719329833984375e-05
"[32, 2048]",2,3.7670135498046875e-05
[312],2,3.981590270996094e-05
"[4, 70]",2,4.482269287109375e-05
"[1, 2, 24, 28]",2,3.910064697265625e-05
"[4, 34]",2,3.814697265625e-05
"[10, 768]",2,3.647804260253906e-05
[172],2,3.62396240234375e-05
[128],2,3.600120544433594e-05
"[164, 256]",2,3.790855407714844e-05
[1],2,3.647804260253906e-05
"[384, 192, 2, 2]",2,4.6253204345703125e-05
"[128, 512, 1, 5]",2,6.437301635742188e-05
"[120, 1024]",2,3.9577484130859375e-05
"[32, 1, 1, 1]",2,3.886222839355469e-05
"[4, 230]",2,3.719329833984375e-05
"[640, 1, 3, 3]",2,3.6716461181640625e-05
"[256, 80, 1, 1, 1]",2,3.838539123535156e-05
[430],2,3.600120544433594e-05
[161],2,3.695487976074219e-05
"[512, 256, 3, 3]",2,4.553794860839844e-05
"[32, 8, 1, 1, 1]",2,3.910064697265625e-05
"[32, 32, 512]",2,4.5299530029296875e-05
[134],2,3.6716461181640625e-05
"[5782, 256]",2,4.482269287109375e-05
"[148, 52]",2,3.7670135498046875e-05
"[12, 256, 1, 1]",2,3.910064697265625e-05
[345],2,3.838539123535156e-05
"[1000, 256]",2,4.363059997558594e-05
"[1024, 256, 1, 1]",2,4.4345855712890625e-05
[64],2,3.600120544433594e-05
"[2, 1024, 3, 3]",2,3.981590270996094e-05
"[128, 576, 1, 1]",2,3.7670135498046875e-05
"[32, 256, 1, 1]",2,3.8623809814453125e-05
"[256, 1024]",2,4.4345855712890625e-05
"[1024, 256, 1, 1, 1]",2,4.553794860839844e-05
"[256, 4096]",2,4.506111145019531e-05
"[96, 64, 3, 3]",2,3.886222839355469e-05
"[1280, 320]",2,4.38690185546875e-05
[177],2,3.647804260253906e-05
[258],2,3.5762786865234375e-05
"[192, 48, 3, 3]",2,6.985664367675781e-05
"[1000, 768]",2,5.030632019042969e-05
"[1, 3, 102, 102]",2,3.886222839355469e-05
[6400],2,3.6716461181640625e-05
"[64, 3, 7, 7]",2,3.695487976074219e-05
[330],2,3.528594970703125e-05
"[1024, 32, 3, 3]",2,4.458427429199219e-05
"[64, 48]",2,3.719329833984375e-05
"[64, 640]",2,3.6716461181640625e-05
"[4, 122]",2,3.647804260253906e-05
[170],2,3.4809112548828125e-05
"[64, 3, 4, 4]",2,3.647804260253906e-05
"[4, 174]",2,3.4809112548828125e-05
"[512, 512]",2,4.363059997558594e-05
"[160, 640, 1, 1]",2,3.910064697265625e-05
"[4, 190]",2,3.6716461181640625e-05
"[192, 256]",2,3.695487976074219e-05
[67],2,3.600120544433594e-05
"[1008, 48, 3, 3]",2,6.0558319091796875e-05
"[81, 1024]",2,3.814697265625e-05
"[256, 512]",2,4.220008850097656e-05
"[96, 128, 1, 1]",2,3.743171691894531e-05
"[79, 256]",2,3.647804260253906e-05
"[128, 64]",2,3.62396240234375e-05
"[486, 1024, 3, 3]",2,0.00010848045349121094
"[1, 512, 38, 57]",2,4.57763671875e-05
[32768],2,3.790855407714844e-05
[93],2,3.5762786865234375e-05
"[121, 32]",2,3.5762786865234375e-05
[640],2,3.647804260253906e-05
"[64, 512, 1, 1]",2,3.814697265625e-05
"[4, 57]",2,3.647804260253906e-05
[2304],2,3.5762786865234375e-05
"[4, 12]",2,3.504753112792969e-05
[2304],2,3.552436828613281e-05
"[256, 256]",2,3.719329833984375e-05
"[100, 4]",2,3.62396240234375e-05
"[64, 16, 1, 1, 1]",2,3.814697265625e-05
"[128, 65536]",2,0.00010824203491210938
[3200],2,3.814697265625e-05
