item_0,item_1,time_cost
[25],[0],3.1948089599609375e-05
[80],[0],7.128715515136719e-05
[180],[0],0.00015664100646972656
[50],[0],5.125999450683594e-05
[1],[0],1.239776611328125e-05
[16],[0],2.5033950805664062e-05
"[1, 16]",[0],1.2636184692382812e-05
"[1, 2048, 64, 64]",[0],4.458427429199219e-05
[74],[0],8.726119995117188e-05
"[1, 1, 1]",[0],1.3113021850585938e-05
"[1, 1]",[0],1.2159347534179688e-05
[6],[0],1.71661376953125e-05
"[1, 2048, 66, 66]",[0],4.5299530029296875e-05
[48],[0],6.508827209472656e-05
"[1, 3, 3]",[0],1.2636184692382812e-05
"[3, 3]",[0],1.4781951904296875e-05
[54],[0],5.435943603515625e-05
"[1, 2048, 68, 68]",[0],4.5299530029296875e-05
[16],[0],3.3855438232421875e-05
"[1, 5, 5]",[0],1.3828277587890625e-05
"[5, 5]",[0],1.7642974853515625e-05
[150],[0],0.00014853477478027344
"[1, 2048, 70, 70]",[0],4.458427429199219e-05
"[1, 7, 7]",[0],1.4066696166992188e-05
[216],[0],0.00020051002502441406
[81],[0],7.319450378417969e-05
[43],[0],4.3392181396484375e-05
[10],[0],2.002716064453125e-05
[78],[0],6.914138793945312e-05
[30],[0],3.457069396972656e-05
[86],[0],7.390975952148438e-05
[35],[0],3.814697265625e-05
[17],[0],2.5987625122070312e-05
[92],[0],7.677078247070312e-05
[42],[0],4.267692565917969e-05
[19],[0],2.6464462280273438e-05
[112],[0],9.870529174804688e-05
[137],[0],0.00011467933654785156
[127],[0],0.00010609626770019531
[96],[0],8.249282836914062e-05
[91],[0],7.653236389160156e-05
[135],[0],0.00011229515075683594
[125],[0],0.00010633468627929688
[93],[0],8.034706115722656e-05
[132],[0],0.00010895729064941406
[116],[0],9.655952453613281e-05
[105],[0],8.606910705566406e-05
[131],[0],0.00011038780212402344
[99],[0],8.487701416015625e-05
[16],[0],2.4080276489257812e-05
"[8, 19248, 81]",[0],5.7697296142578125e-05
"[8, 19248, 4]",[0],3.147125244140625e-05
"[8, 19248]",[0],3.24249267578125e-05
"[1, 800, 1088]",[0],2.002716064453125e-05
[1],[0],1.6450881958007812e-05
"[2, 800, 1088]",[0],2.193450927734375e-05
