item_0,item_1,time_cost
"[100, 12544]","[100, 12544]",0.0001251697540283203
"[1482, 1]","[1482, 1]",0.00010657310485839844
"[22800, 1]","[22800, 1]",9.369850158691406e-05
"[91200, 1]","[91200, 1]",0.00010132789611816406
"[364800, 1]","[364800, 1]",0.00010752677917480469
"[5700, 1]","[5700, 1]",8.821487426757812e-05
"[2, 19]","[2, 19]",8.559226989746094e-05
"[80, 69, 69]","[80, 69, 69]",0.00010657310485839844
"[4, 150]","[4, 150]",9.465217590332031e-05
"[1326, 1]","[1326, 1]",8.416175842285156e-05
