item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,time_cost
"[2, 19, 512, 1024]","[2, 512, 1024]",,,255,,none,,8.58306884765625e-05
"[4, 150, 512, 512]","[4, 512, 512]",,,255,,none,,0.00019359588623046875
"[2, 19, 769, 769]","[2, 769, 769]",,,255,,none,,8.368492126464844e-05
"[4, 21, 512, 512]","[4, 512, 512]",,,255,,none,,7.796287536621094e-05
"[1024, 81]",[1024],,,-100,,none,,0.00011992454528808594
"[4, 171, 512, 512]","[4, 512, 512]",,,255,,none,,7.891654968261719e-05
"[4, 59, 480, 480]","[4, 480, 480]",,,255,,none,,8.678436279296875e-05
"[4, 60, 480, 480]","[4, 480, 480]",,,255,,none,,1.1319761276245117
"[2, 19, 832, 832]","[2, 832, 832]",,,255,,none,,8.273124694824219e-05
"[2, 150, 512, 512]","[2, 512, 512]",,,255,,none,,7.82012939453125e-05
