item_0,item_1,item_2,time_cost
b c h w/ c -> b c h w,"[1, 2, 24, 28]",[2],3.743171691894531e-05
bnd/df->bnf,"[16, 14, 256]","[256, 64]",8.58306884765625e-05
b h x y d/ x u v d -> b h x y u v,"[2, 1, 46, 62, 128]","[46, 46, 1, 128]",9.942054748535156e-05
bnhw/bchw->bnc,"[2, 150, 64, 64]","[2, 512, 64, 64]",0.00011134147644042969
nc/mc->nm,"[100, 12544]","[5, 12544]",0.00010967254638671875
nc/mc->nm,"[100, 29120]","[5, 29120]",0.00010967254638671875
nc/mc->nm,"[100, 12544]","[3, 12544]",8.58306884765625e-05
bnd/df->bnf,"[20, 16, 512]","[512, 128]",7.343292236328125e-05
bcn/bck->bnk,"[2, 512, 8192]","[2, 512, 64]",0.00013709068298339844
bts/bcs->bct,"[64, 16, 16]","[64, 64, 16]",8.535385131835938e-05
b h x y d/ y u v d -> b h x y u v,"[2, 1, 46, 62, 128]","[62, 1, 62, 128]",7.724761962890625e-05
m/d->md,[196],[128],4.029273986816406e-05
b c h w/ c -> b c h w,"[1, 2, 192, 224]",[2],4.0531158447265625e-05
nkctv/kvw->nctw,"[32, 3, 256, 150, 17]","[3, 17, 17]",0.00017905235290527344
bciw/bhwi->bchw,"[2, 512, 64, 128]","[2, 64, 128, 64]",0.00015616416931152344
ijkl/ ikl->ijkl,"[1, 128, 12, 14]","[1, 12, 14]",4.8160552978515625e-05
b c h w/ c -> b c h w,"[1, 2, 96, 112]",[2],3.170967102050781e-05
bchw/bciw->bwhi,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.00010251998901367188
nkctv/kvw->nctw,"[32, 3, 64, 300, 17]","[3, 17, 17]",0.00016570091247558594
bnd/df->bnf,"[18, 17, 512]","[512, 128]",0.00010466575622558594
bnd/df->bnf,"[20, 16, 1152]","[1152, 512]",7.271766662597656e-05
nc/mc->nm,"[100, 12544]","[18, 12544]",7.43865966796875e-05
nkctv/kvw->nctw,"[32, 3, 128, 150, 17]","[3, 17, 17]",0.0001659393310546875
nc/mc->nm,"[100, 49152]","[4, 49152]",0.00023937225341796875
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 182, 160]",0.00014519691467285156
bnd/df->bnf,"[22, 12, 512]","[512, 128]",0.00010466575622558594
bcn/bnk->bck,"[2, 512, 8192]","[2, 8192, 64]",0.00012373924255371094
bchw/bchj->bhwj,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.00011348724365234375
bnd/df->bnf,"[16, 14, 512]","[512, 128]",8.559226989746094e-05
ijkl/ ikl->ijkl,"[1, 96, 24, 28]","[1, 24, 28]",4.744529724121094e-05
bnd/df->bnf,"[29, 14, 1152]","[1152, 512]",6.890296936035156e-05
bnd/df->bnf,"[18, 17, 1024]","[1024, 256]",7.128715515136719e-05
ak/ kn-> an,"[15000, 11]","[11, 50]",6.151199340820312e-05
bnd/df->bnf,"[29, 14, 1024]","[1024, 256]",7.104873657226562e-05
nc/mc->nm,"[100, 21000]","[19, 21000]",7.128715515136719e-05
nc/mc->nm,"[100, 25080]","[21, 25080]",7.2479248046875e-05
nkctv/kvw->nctw,"[32, 3, 256, 75, 17]","[3, 17, 17]",0.00016736984252929688
bchj/bhwj->bchw,"[4, 512, 64, 64]","[4, 64, 64, 64]",0.00014519691467285156
bciw/bhwi->bchw,"[2, 512, 97, 97]","[2, 97, 97, 97]",0.00015401840209960938
bnd/df->bnf,"[18, 17, 256]","[256, 64]",0.00010156631469726562
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 192, 256]",0.0001461505889892578
b c h w/ c -> b c h w,"[1, 2, 48, 96]",[2],5.316734313964844e-05
bct/bcs->bts,"[64, 64, 16]","[64, 64, 16]",8.249282836914062e-05
ijkl/ ikl->ijkl,"[1, 64, 48, 56]","[1, 48, 56]",4.601478576660156e-05
lbqc/bchw->lbqhw,"[6, 1, 100, 256]","[1, 256, 184, 244]",0.0001423358917236328
m/d->md,[196],[192],4.3392181396484375e-05
bqc/bchw->bqhw,"[2, 100, 256]","[2, 256, 256, 256]",0.00014138221740722656
bciw/bhwi->bchw,"[4, 512, 64, 64]","[4, 64, 64, 64]",0.0001583099365234375
bct/bcs->bts,"[64, 64, 256]","[64, 64, 256]",9.107589721679688e-05
bck/bnk->bcn,"[2, 512, 64]","[2, 9409, 64]",6.532669067382812e-05
bnd/df->bnf,"[22, 12, 1024]","[1024, 256]",8.416175842285156e-05
nc/nc->n,"[32, 128]","[32, 128]",4.601478576660156e-05
b c h w/ c -> b c h w,"[1, 2, 12, 14]",[2],4.00543212890625e-05
bnd/df->bnf,"[29, 14, 512]","[512, 128]",7.843971252441406e-05
nc/mc->nm,"[100, 12544]","[6, 12544]",7.367134094238281e-05
bnd/df->bnf,"[22, 12, 256]","[256, 64]",6.961822509765625e-05
b c h w/ c -> b c h w,"[1, 2, 192, 384]",[2],4.291534423828125e-05
bnd/df->bnf,"[22, 12, 1152]","[1152, 512]",7.271766662597656e-05
bnd/df->bnf,"[20, 16, 1024]","[1024, 256]",7.843971252441406e-05
bchw/bchj->bhwj,"[2, 64, 64, 128]","[2, 64, 64, 128]",8.630752563476562e-05
bnd/df->bnf,"[20, 16, 256]","[256, 64]",7.033348083496094e-05
b c h w/ c -> b c h w,"[1, 2, 384, 448]",[2],4.291534423828125e-05
bchw/bchj->bhwj,"[2, 64, 97, 97]","[2, 64, 97, 97]",8.153915405273438e-05
nc/ck->nk,"[1568, 128]","[128, 65536]",0.0001285076141357422
bts/bcs->bct,"[64, 64, 64]","[64, 64, 64]",8.606910705566406e-05
bct/bcs->bts,"[64, 64, 64]","[64, 64, 64]",7.2479248046875e-05
bnd/df->bnf,"[16, 14, 1152]","[1152, 512]",8.368492126464844e-05
ijkl/ ikl->ijkl,"[1, 32, 96, 112]","[1, 96, 112]",4.863739013671875e-05
bnd/df->bnf,"[18, 17, 1152]","[1152, 512]",6.866455078125e-05
