item_0,item_1,item_2,item_3,item_4,time_cost
"[2, 256, 50, 76]",32,[256],[256],1e-05,6.437301635742188e-05
"[2, 256, 25, 38]",32,[256],[256],1e-05,4.315376281738281e-05
"[2, 256, 7, 10]",32,[256],[256],1e-05,3.075599670410156e-05
"[2, 256, 100, 152]",32,[256],[256],1e-05,5.2928924560546875e-05
"[2, 256, 7, 9]",32,[256],[256],1e-05,3.147125244140625e-05
"[2, 256, 13, 19]",32,[256],[256],1e-05,3.457069396972656e-05
"[2, 256, 50, 84]",32,[256],[256],1e-05,3.5762786865234375e-05
"[16, 256, 4, 4]",32,[256],[256],1e-05,3.24249267578125e-05
"[8, 320, 14, 14]",1,[320],[320],1e-05,3.337860107421875e-05
"[1024, 256, 7, 7]",32,[256],[256],1e-05,7.2479248046875e-05
