item_0,item_1,item_2,time_cost
"[1, 800, 1152]", 0,[2],0.043969154357910156
"[10, 640, 864]", 0,[10],2.9802322387695312e-05
"[2, 704, 704]", 0,[2],2.3365020751953125e-05
"[5, 896, 704]", 0,[5],2.2649765014648438e-05
"[1, 768, 1120]", 0,[4],2.193450927734375e-05
"[2, 736, 992]", 0,[2],2.002716064453125e-05
"[2, 800, 1088]", 0,[2],2.4318695068359375e-05
"[2, 672, 1344]", 0,[3],2.002716064453125e-05
"[3, 672, 896]", 0,[3],2.002716064453125e-05
"[1, 768, 1152]", 0,[1],1.9788742065429688e-05
"[13, 800, 1088]", 0,[30],3.838539123535156e-05
"[11, 800, 1088]", 0,[20],3.5762786865234375e-05
"[13, 800, 1088]", 0,[15],3.814697265625e-05
"[11, 800, 1088]", 0,[13],3.6716461181640625e-05
"[13, 800, 1088]", 0,[14],3.910064697265625e-05
"[11, 800, 1088]", 0,[11],4.9591064453125e-05
"[16, 800, 1344]", 0,[17],4.291534423828125e-05
"[3, 800, 1088]", 0,[9],3.24249267578125e-05
"[3, 800, 1088]", 0,[6],2.193450927734375e-05
"[16, 800, 1344]", 0,[16],6.29425048828125e-05
"[3, 800, 1088]", 0,[3],2.574920654296875e-05
"[2, 800, 1088]", 0,[5],2.2172927856445312e-05
"[1, 800, 1216]", 0,[1],2.1219253540039062e-05
"[2, 800, 1088]", 0,[3],2.0265579223632812e-05
"[2, 800, 1088]", 0,[2],1.8835067749023438e-05
"[3, 800, 1248]", 0,[3],1.9311904907226562e-05
"[9, 800, 1216]", 0,[11],3.2901763916015625e-05
"[9, 800, 1216]", 0,[10],3.218650817871094e-05
"[30, 800, 1216]", 0,[37],4.57763671875e-05
"[14, 800, 1088]", 0,[19],4.100799560546875e-05
"[30, 800, 1216]", 0,[30],5.626678466796875e-05
"[14, 800, 1088]", 0,[15],4.291534423828125e-05
"[14, 800, 1088]", 0,[14],4.1484832763671875e-05
"[1, 640, 864]", 0,[1],2.9802322387695312e-05
