item_0,item_1,item_2,item_3,item_4,time_cost
"[4, 784, 192]",[192],[192],[192],1e-05,2.5510787963867188e-05
"[420, 1, 256]",[256],[256],[256],1e-05,2.6941299438476562e-05
"[1, 13600, 192]",[192],[192],[192],1e-05,2.6226043701171875e-05
"[525, 1, 256]",[256],[256],[256],1e-05,2.4557113647460938e-05
"[4, 197, 768]",[768],[768],[768],1e-06,2.5987625122070312e-05
"[1, 54400, 96]",[96],[96],[96],1e-05,5.173683166503906e-05
"[1, 850, 1536]",[1536],[1536],[1536],1e-05,2.9802322387695312e-05
"[4, 784, 384]",[384],[384],[384],1e-05,2.5272369384765625e-05
"[4, 49, 1536]",[1536],[1536],[1536],1e-05,2.8848648071289062e-05
"[418, 1, 256]",[256],[256],[256],1e-05,2.5033950805664062e-05
"[1, 3800, 768]",[768],[768],[768],1e-05,2.765655517578125e-05
"[1, 13600, 384]",[384],[384],[384],1e-05,4.673004150390625e-05
"[1, 15200, 384]",[384],[384],[384],1e-05,5.1975250244140625e-05
"[1, 3400, 768]",[768],[768],[768],1e-05,4.172325134277344e-05
"[1, 60800, 96]",[96],[96],[96],1e-05,5.1975250244140625e-05
"[506, 1, 256]",[256],[256],[256],1e-05,3.409385681152344e-05
"[660, 1, 256]",[256],[256],[256],1e-05,2.6464462280273438e-05
"[100, 1, 256]",[256],[256],[256],1e-05,2.1696090698242188e-05
"[1, 3400, 384]",[384],[384],[384],1e-05,2.6464462280273438e-05
"[2, 1025, 768]",[768],[768],[768],1e-06,2.5510787963867188e-05
"[270, 1, 256]",[256],[256],[256],1e-05,2.384185791015625e-05
"[4, 49, 768]",[768],[768],[768],1e-05,2.47955322265625e-05
"[1, 950, 1536]",[1536],[1536],[1536],1e-05,2.4080276489257812e-05
"[1, 950, 768]",[768],[768],[768],1e-05,2.574920654296875e-05
"[4, 196, 768]",[768],[768],[768],1e-05,2.5033950805664062e-05
"[624, 1, 256]",[256],[256],[256],1e-05,2.5272369384765625e-05
"[700, 1, 256]",[256],[256],[256],1e-05,2.5272369384765625e-05
"[1, 15200, 192]",[192],[192],[192],1e-05,2.6702880859375e-05
"[4, 196, 384]",[384],[384],[384],1e-05,2.5272369384765625e-05
"[720, 1, 256]",[256],[256],[256],1e-05,2.5510787963867188e-05
"[4, 3136, 96]",[96],[96],[96],1e-05,2.6464462280273438e-05
"[1, 850, 768]",[768],[768],[768],1e-05,2.5272369384765625e-05
"[1, 3800, 384]",[384],[384],[384],1e-05,2.47955322265625e-05
