item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[4, 64, 256, 256]",[3],[2],[1],[1],[True],[False],5.936622619628906e-05
"[2, 64, 256, 512]",[3],[2],[1],[1],[True],[False],5.53131103515625e-05
"[2, 64, 385, 385]",[3],[2],[1],[1],[True],[False],5.14984130859375e-05
"[2, 64, 128, 96]",[3],[2],[1],[1],[True],[False],3.314018249511719e-05
"[2, 64, 128, 128]",[3],[2],[1],[1],[True],[False],2.9087066650390625e-05
"[4, 64, 240, 240]",[3],[2],[1],[1],[True],[False],4.9114227294921875e-05
"[2, 64, 192, 144]",[3],[2],[1],[1],[True],[False],4.00543212890625e-05
"[2, 64, 400, 608]",[3],[2],[1],[1],[False],[False],5.221366882324219e-05
"[1, 64, 128, 128]",[3],[2],[1],[1],[True],[False],3.552436828613281e-05
"[2, 256, 25, 38]",[1],[2],[0],[1],[False],[False],2.193450927734375e-05
