item_0,item_1,item_2,time_cost
"[2, 4096]","[2, 4096]",mean,3.2901763916015625e-05
"[2, 3072]","[2, 3072]",mean,4.839897155761719e-05
"[1, 3072]","[1, 3072]",mean,3.1948089599609375e-05
"[1, 6912]","[1, 6912]",mean,3.170967102050781e-05
"[2, 6912]","[2, 6912]",mean,3.4332275390625e-05
"[1, 4096]","[1, 4096]",mean,3.170967102050781e-05
"[2, 2116]","[2, 2116]",mean,3.0517578125e-05
"[2, 1600]","[2, 1600]",mean,3.0279159545898438e-05
"[1, 2116]","[1, 2116]",mean,2.9087066650390625e-05
"[2, 1728]","[2, 1728]",mean,3.0517578125e-05
