item_0,time_cost
[15213],4.57763671875e-05
[8349],5.173683166503906e-05
[22816],4.553794860839844e-05
[5704],4.124641418457031e-05
[1426],4.100799560546875e-05
[384],4.029273986816406e-05
[96],3.266334533691406e-05
[10539],4.38690185546875e-05
[16368],4.458427429199219e-05
[24576],4.3392181396484375e-05
[6144],4.100799560546875e-05
[1536],4.076957702636719e-05
[9980],4.410743713378906e-05
[10140],4.363059997558594e-05
[15808],4.482269287109375e-05
[3952],4.124641418457031e-05
[988],4.029273986816406e-05
[260],4.00543212890625e-05
[70],3.266334533691406e-05
[15345],4.363059997558594e-05
[11085],4.315376281738281e-05
[23040],4.410743713378906e-05
[5760],4.100799560546875e-05
[1440],4.00543212890625e-05
[360],4.029273986816406e-05
[90],3.170967102050781e-05
[10311],4.38690185546875e-05
[12544],4.38690185546875e-05
[18816],4.363059997558594e-05
[4704],3.981590270996094e-05
[1176],4.076957702636719e-05
[308],3.933906555175781e-05
[84],3.218650817871094e-05
[24480],4.410743713378906e-05
[48960],4.673004150390625e-05
[12000],4.4345855712890625e-05
[2000],4.0531158447265625e-05
[2003],3.9577484130859375e-05
[256],4.00543212890625e-05
[16380],4.410743713378906e-05
[32760],4.482269287109375e-05
[11997],4.458427429199219e-05
[2001],4.029273986816406e-05
[18900],4.410743713378906e-05
[37800],4.696846008300781e-05
[2002],4.029273986816406e-05
[26550],4.4345855712890625e-05
[53100],4.6253204345703125e-05
[11998],4.458427429199219e-05
[15750],4.4345855712890625e-05
[31500],4.38690185546875e-05
[19248],4.410743713378906e-05
[217413],5.245208740234375e-05
[326400],5.269050598144531e-05
[81600],4.887580871582031e-05
[20400],4.506111145019531e-05
[5100],4.0531158447265625e-05
[1326],3.9577484130859375e-05
[1000],4.0531158447265625e-05
[1015],3.933906555175781e-05
[1001],3.9577484130859375e-05
[1024],4.00543212890625e-05
[1007],4.0531158447265625e-05
[1006],4.00543212890625e-05
[242991],5.1021575927734375e-05
[204624],5.054473876953125e-05
[364800],5.245208740234375e-05
[91200],4.9114227294921875e-05
[22800],4.57763671875e-05
[5700],4.0531158447265625e-05
[1482],3.981590270996094e-05
[1017],4.076957702636719e-05
[1003],4.0531158447265625e-05
[1013],4.029273986816406e-05
[1002],4.00543212890625e-05
[217413],5.14984130859375e-05
[236616],5.1975250244140625e-05
[355200],5.817413330078125e-05
[88800],4.9114227294921875e-05
[22200],4.506111145019531e-05
[5550],4.220008850097656e-05
[1482],4.076957702636719e-05
[1000],4.00543212890625e-05
[1004],3.933906555175781e-05
[1018],4.00543212890625e-05
[242991],5.698204040527344e-05
[364800],5.1021575927734375e-05
[91200],5.316734313964844e-05
[22800],4.506111145019531e-05
[5700],4.076957702636719e-05
[1008],3.981590270996094e-05
[1007],3.981590270996094e-05
[255780],5.1975250244140625e-05
[384000],5.2928924560546875e-05
[96000],5.054473876953125e-05
[24000],4.601478576660156e-05
[6000],4.029273986816406e-05
[1560],4.00543212890625e-05
[1002],4.124641418457031e-05
[1001],3.981590270996094e-05
[1003],3.981590270996094e-05
[1016],4.029273986816406e-05
[18134],4.458427429199219e-05
"[2, 13600]",4.76837158203125e-05
"[2, 3400]",4.2438507080078125e-05
"[2, 850]",4.172325134277344e-05
"[2, 221]",4.57763671875e-05
"[2, 63]",4.267692565917969e-05
[27200],4.38690185546875e-05
[6800],4.00543212890625e-05
[1700],4.0531158447265625e-05
[442],3.9577484130859375e-05
[126],4.0531158447265625e-05
[19742],4.315376281738281e-05
"[2, 14800]",4.673004150390625e-05
"[2, 3700]",4.267692565917969e-05
"[2, 925]",4.267692565917969e-05
"[2, 247]",4.1484832763671875e-05
"[2, 70]",4.1961669921875e-05
[29600],4.3392181396484375e-05
[7400],4.0531158447265625e-05
[1850],4.00543212890625e-05
[494],4.100799560546875e-05
[140],4.029273986816406e-05
[20267],4.38690185546875e-05
"[2, 15200]",4.57763671875e-05
"[2, 3800]",4.220008850097656e-05
"[2, 950]",4.2438507080078125e-05
[30400],4.506111145019531e-05
[7600],4.00543212890625e-05
[1900],4.029273986816406e-05
[21875],4.410743713378906e-05
"[2, 16400]",5.054473876953125e-05
"[2, 4100]",4.649162292480469e-05
"[2, 1025]",4.1961669921875e-05
"[2, 273]",4.267692565917969e-05
"[2, 77]",4.172325134277344e-05
[32800],4.482269287109375e-05
[8200],4.38690185546875e-05
[2050],4.00543212890625e-05
[546],4.100799560546875e-05
[154],4.0531158447265625e-05
[21486],4.410743713378906e-05
"[2, 16800]",4.6253204345703125e-05
"[2, 4200]",4.553794860839844e-05
"[2, 1050]",4.220008850097656e-05
[33600],4.5299530029296875e-05
[8400],4.315376281738281e-05
[2100],4.029273986816406e-05
[4],3.266334533691406e-05
"[40, 40]",4.38690185546875e-05
"[36, 36]",4.2438507080078125e-05
"[24, 24]",4.315376281738281e-05
"[16, 16]",4.291534423828125e-05
"[12, 12]",3.457069396972656e-05
[1],3.170967102050781e-05
[10],3.695487976074219e-05
[2],4.00543212890625e-05
[5],3.1948089599609375e-05
[18],3.170967102050781e-05
[7],3.147125244140625e-05
[5733],4.029273986816406e-05
[8190],4.076957702636719e-05
[9828],4.220008850097656e-05
[6048],3.9577484130859375e-05
[20267],4.458427429199219e-05
[18672],4.4345855712890625e-05
[18134],4.363059997558594e-05
[13343],4.291534423828125e-05
[22400],4.315376281738281e-05
[242991],5.221366882324219e-05
[217413],5.1975250244140625e-05
[364800],5.269050598144531e-05
[91200],4.9114227294921875e-05
[22800],4.9114227294921875e-05
[5700],4.076957702636719e-05
[1482],4.029273986816406e-05
[1000],4.0531158447265625e-05
[1004],4.0531158447265625e-05
[1024],3.9577484130859375e-05
[211038],5.14984130859375e-05
[326400],5.173683166503906e-05
[81600],4.887580871582031e-05
[20400],4.601478576660156e-05
[5100],4.100799560546875e-05
[1326],4.00543212890625e-05
[1002],3.981590270996094e-05
[1012],3.981590270996094e-05
[1005],3.910064697265625e-05
[1001],4.00543212890625e-05
[1009],3.9577484130859375e-05
[1019],3.933906555175781e-05
[23625],4.458427429199219e-05
[219592],5.125999450683594e-05
[224826],5.626678466796875e-05
[403200],5.1975250244140625e-05
[100800],5.078315734863281e-05
[25200],4.482269287109375e-05
[6300],4.124641418457031e-05
[1638],4.0531158447265625e-05
[217185],5.269050598144531e-05
[218276],5.1975250244140625e-05
[364800],5.245208740234375e-05
[91200],4.935264587402344e-05
[22800],4.9114227294921875e-05
[5700],4.0531158447265625e-05
[1482],4.124641418457031e-05
[192300],5.173683166503906e-05
[176125],5.1021575927734375e-05
[217700],5.1975250244140625e-05
"[61, 163206]",0.00020623207092285156
"[66, 163206]",0.0002167224884033203
"[30, 182403]",0.0001366138458251953
"[23, 182403]",0.0001087188720703125
"[68, 163206]",0.00022745132446289062
"[9, 163206]",7.295608520507812e-05
"[1, 182403]",6.0558319091796875e-05
"[9, 182403]",7.081031799316406e-05
"[18, 182403]",9.036064147949219e-05
[230202],5.3882598876953125e-05
[138120],5.173683166503906e-05
[345600],5.698204040527344e-05
[86400],5.078315734863281e-05
[21600],4.649162292480469e-05
[5400],4.172325134277344e-05
[1404],4.00543212890625e-05
[1000],4.100799560546875e-05
[1001],3.981590270996094e-05
[1010],4.00543212890625e-05
[1024],4.0531158447265625e-05
[123783],5.125999450683594e-05
[157542],5.269050598144531e-05
[236544],5.316734313964844e-05
[59136],4.649162292480469e-05
[14784],4.506111145019531e-05
[3696],4.0531158447265625e-05
[924],4.0531158447265625e-05
[1002],3.3855438232421875e-05
[1005],3.981590270996094e-05
[214848],5.221366882324219e-05
[182391],5.14984130859375e-05
[322560],5.2928924560546875e-05
[80640],4.9114227294921875e-05
[20160],4.5299530029296875e-05
[5040],4.076957702636719e-05
[1296],4.00543212890625e-05
[217413],5.125999450683594e-05
[225603],5.221366882324219e-05
[403200],5.1975250244140625e-05
[100800],4.982948303222656e-05
[25200],4.5299530029296875e-05
[6300],4.0531158447265625e-05
[1638],4.124641418457031e-05
[150402],5.269050598144531e-05
[220968],5.1975250244140625e-05
[331776],5.14984130859375e-05
[82944],4.9114227294921875e-05
[20736],4.458427429199219e-05
[5184],4.124641418457031e-05
[1003],4.029273986816406e-05
[191769],5.173683166503906e-05
[326400],5.555152893066406e-05
[81600],4.982948303222656e-05
[20400],4.482269287109375e-05
[5100],4.458427429199219e-05
[1326],4.029273986816406e-05
[2000],3.933906555175781e-05
[2013],3.981590270996094e-05
[2011],4.00543212890625e-05
[1024],4.076957702636719e-05
[499],4.0531158447265625e-05
[512],3.981590270996094e-05
[501],3.981590270996094e-05
[50],3.24249267578125e-05
[28],3.1948089599609375e-05
[25],3.170967102050781e-05
[241557],5.125999450683594e-05
[192300],5.173683166503906e-05
[403200],5.316734313964844e-05
[100800],5.054473876953125e-05
[25200],4.482269287109375e-05
[6300],4.076957702636719e-05
[1638],4.100799560546875e-05
[2016],3.981590270996094e-05
[2003],4.0531158447265625e-05
[496],4.0531158447265625e-05
[509],4.0531158447265625e-05
[26],4.029273986816406e-05
[23],4.00543212890625e-05
[19],3.9577484130859375e-05
[217374],5.14984130859375e-05
[364800],5.1975250244140625e-05
[91200],4.887580871582031e-05
[22800],4.5299530029296875e-05
[5700],4.1484832763671875e-05
[1482],4.029273986816406e-05
[2002],4.00543212890625e-05
[2001],4.0531158447265625e-05
[510],3.981590270996094e-05
[511],4.0531158447265625e-05
[6],3.933906555175781e-05
[4],3.1948089599609375e-05
[3],3.147125244140625e-05
[222167],5.173683166503906e-05
[217185],5.14984130859375e-05
[374400],5.2928924560546875e-05
[93600],5.0067901611328125e-05
[23400],4.57763671875e-05
[5850],3.981590270996094e-05
[1560],3.981590270996094e-05
[2009],3.981590270996094e-05
[503],3.981590270996094e-05
[14],3.933906555175781e-05
[13],3.9577484130859375e-05
[2030],3.981590270996094e-05
[2014],3.933906555175781e-05
[482],3.981590270996094e-05
[498],4.029273986816406e-05
[56],3.1948089599609375e-05
[45],3.170967102050781e-05
[44],3.123283386230469e-05
[5],4.029273986816406e-05
[9],3.147125244140625e-05
[2],3.933906555175781e-05
[18],3.9577484130859375e-05
[89600],5.0067901611328125e-05
[4],3.337860107421875e-05
[16],3.170967102050781e-05
[74688],4.696846008300781e-05
[7],4.029273986816406e-05
[20],3.600120544433594e-05
[85320],4.76837158203125e-05
[11],3.337860107421875e-05
[1],3.218650817871094e-05
[81068],5.030632019042969e-05
[18134],4.5299530029296875e-05
[20805],4.3392181396484375e-05
[31200],4.458427429199219e-05
[7800],4.100799560546875e-05
[1950],3.981590270996094e-05
[520],4.00543212890625e-05
[140],3.981590270996094e-05
[138120],5.245208740234375e-05
[168795],5.173683166503906e-05
[311040],5.173683166503906e-05
[77760],4.863739013671875e-05
[19440],4.506111145019531e-05
[4860],4.0531158447265625e-05
[1260],3.981590270996094e-05
[622],3.981590270996094e-05
[623],4.00543212890625e-05
[598],3.981590270996094e-05
[605],3.981590270996094e-05
