item_0,time_cost
191941,8.249282836914062e-05
242624,8.630752563476562e-05
3003,6.461143493652344e-05
241802,6.771087646484375e-05
217789,7.224082946777344e-05
185056,6.747245788574219e-05
12227,6.127357482910156e-05
216918,6.604194641113281e-05
811,3.504753112792969e-05
150270,6.628036499023438e-05
216452,6.580352783203125e-05
100981,6.67572021484375e-05
64804,6.67572021484375e-05
184,3.528594970703125e-05
216307,6.556510925292969e-05
242505,6.651878356933594e-05
101293,6.508827209472656e-05
219259,6.461143493652344e-05
217419,6.4849853515625e-05
2961,6.437301635742188e-05
216978,6.604194641113281e-05
192180,6.604194641113281e-05
12126,6.103515625e-05
241562,6.699562072753906e-05
217068,6.508827209472656e-05
46,3.457069396972656e-05
22649,6.246566772460938e-05
2946,5.9604644775390625e-05
990,3.457069396972656e-05
72470,6.4849853515625e-05
78871,6.556510925292969e-05
3005,6.031990051269531e-05
2903,5.9604644775390625e-05
664,3.457069396972656e-05
888287,7.319450378417969e-05
240962,6.723403930664062e-05
165883,6.67572021484375e-05
159493,6.699562072753906e-05
225170,6.628036499023438e-05
101687,6.461143493652344e-05
242665,6.556510925292969e-05
216926,6.604194641113281e-05
2985,6.079673767089844e-05
958,3.457069396972656e-05
89823,6.532669067382812e-05
216146,6.604194641113281e-05
239983,6.508827209472656e-05
191903,6.580352783203125e-05
124830,6.508827209472656e-05
217070,6.937980651855469e-05
80995,6.628036499023438e-05
217317,6.556510925292969e-05
101292,6.508827209472656e-05
257556,6.580352783203125e-05
760,3.552436828613281e-05
190681,6.532669067382812e-05
3069,5.936622619628906e-05
235636,6.508827209472656e-05
217019,6.628036499023438e-05
7992,5.984306335449219e-05
245,3.457069396972656e-05
216822,6.508827209472656e-05
33978,6.508827209472656e-05
168716,6.508827209472656e-05
70938,6.914138793945312e-05
6874,6.031990051269531e-05
991,3.504753112792969e-05
217216,6.532669067382812e-05
842,3.457069396972656e-05
1957,3.361701965332031e-05
499,3.719329833984375e-05
413,3.504753112792969e-05
171871,6.67572021484375e-05
993,3.457069396972656e-05
37,3.3855438232421875e-05
236445,6.580352783203125e-05
846,3.409385681152344e-05
14554,6.0558319091796875e-05
215940,6.580352783203125e-05
628,3.4332275390625e-05
190488,6.4849853515625e-05
19,3.4809112548828125e-05
30088,6.866455078125e-05
2948,5.9604644775390625e-05
10582,5.984306335449219e-05
101339,6.580352783203125e-05
102052,6.580352783203125e-05
137968,6.532669067382812e-05
97920,6.628036499023438e-05
242893,6.556510925292969e-05
216650,6.508827209472656e-05
216779,6.437301635742188e-05
47901,6.508827209472656e-05
825,3.552436828613281e-05
222659,6.580352783203125e-05
925,3.4809112548828125e-05
996,3.3855438232421875e-05
225636,6.651878356933594e-05
3007,6.222724914550781e-05
79915,6.67572021484375e-05
12741,6.031990051269531e-05
215271,6.580352783203125e-05
12228,6.008148193359375e-05
909,3.3855438232421875e-05
191781,6.532669067382812e-05
190298,6.699562072753906e-05
217036,6.508827209472656e-05
155693,6.580352783203125e-05
165691,6.556510925292969e-05
216916,6.532669067382812e-05
15793,6.079673767089844e-05
472,3.409385681152344e-05
2938,5.888938903808594e-05
100000,6.818771362304688e-05
227,3.528594970703125e-05
393,3.337860107421875e-05
1981,3.457069396972656e-05
2921,5.9604644775390625e-05
216253,6.580352783203125e-05
191227,6.67572021484375e-05
588,3.3855438232421875e-05
215473,6.651878356933594e-05
217094,6.699562072753906e-05
96443,6.532669067382812e-05
160987,6.508827209472656e-05
52324,6.556510925292969e-05
217053,6.4849853515625e-05
71337,6.4849853515625e-05
191500,6.604194641113281e-05
40090,6.818771362304688e-05
172603,6.651878356933594e-05
888,3.4332275390625e-05
242859,6.580352783203125e-05
1946,3.457069396972656e-05
216963,6.508827209472656e-05
2962,5.936622619628906e-05
80760,6.556510925292969e-05
71871,6.604194641113281e-05
2975,6.008148193359375e-05
24936,5.9604644775390625e-05
2904,6.031990051269531e-05
242851,6.532669067382812e-05
2937,5.8650970458984375e-05
196093,6.508827209472656e-05
175930,6.818771362304688e-05
43100,6.580352783203125e-05
236231,6.461143493652344e-05
231,3.409385681152344e-05
400000,6.556510925292969e-05
2942,5.9604644775390625e-05
223241,6.508827209472656e-05
2906,6.0558319091796875e-05
192074,6.508827209472656e-05
241116,9.512901306152344e-05
261970,0.00013589859008789062
190929,0.00013446807861328125
192164,0.00015306472778320312
43205,0.00014853477478027344
202256,0.0001456737518310547
2925,0.00011706352233886719
1996,3.457069396972656e-05
2915,0.00011229515075683594
11283,9.5367431640625e-05
216676,0.00014066696166992188
12212,8.082389831542969e-05
617292,0.0001323223114013672
31225,0.00010633468627929688
239952,0.00014162063598632812
560,4.124641418457031e-05
217218,9.989738464355469e-05
978,5.9604644775390625e-05
217509,0.00014472007751464844
1995,3.409385681152344e-05
233451,0.00014925003051757812
27362,0.000125885009765625
2955,0.00012040138244628906
198765,0.00014853477478027344
1991,3.504753112792969e-05
1976,3.504753112792969e-05
598,3.409385681152344e-05
215925,6.580352783203125e-05
11665,8.440017700195312e-05
221817,0.00012922286987304688
800000,0.00010347366333007812
260215,0.0001494884490966797
191882,0.00014519691467285156
202599,0.00010895729064941406
2930,0.0001285076141357422
182286,0.00014138221740722656
157272,0.0001347064971923828
71360,0.00013566017150878906
1000000,0.00015854835510253906
961,5.936622619628906e-05
242431,0.00012874603271484375
2951,0.00012183189392089844
216363,0.00012445449829101562
163039,0.00013875961303710938
844,3.4809112548828125e-05
9,3.361701965332031e-05
185352,0.00013375282287597656
495,3.552436828613281e-05
80939,0.00013875961303710938
12649,7.915496826171875e-05
225774,0.00012922286987304688
50000,0.00012922286987304688
1,3.457069396972656e-05
15049,6.008148193359375e-05
14895,9.131431579589844e-05
109814,0.00011038780212402344
2954,0.00011849403381347656
101404,0.00010943412780761719
745,4.506111145019531e-05
215435,0.0001442432403564453
232,4.4345855712890625e-05
216607,0.00011968612670898438
217265,0.00015115737915039062
241882,0.00014019012451171875
912,5.14984130859375e-05
146087,9.322166442871094e-05
216814,0.00014019012451171875
2,3.719329833984375e-05
144,3.4332275390625e-05
204177,0.00010967254638671875
400,3.647804260253906e-05
101410,0.00014591217041015625
988,3.457069396972656e-05
180,3.3855438232421875e-05
210,6.031990051269531e-05
13736,0.00012159347534179688
242122,0.00014495849609375
828,3.528594970703125e-05
102081,0.00011706352233886719
2919,0.00013899803161621094
101150,8.249282836914062e-05
240721,9.655952453613281e-05
242533,9.608268737792969e-05
2927,0.0001392364501953125
217468,9.679794311523438e-05
809,4.00543212890625e-05
963,7.62939453125e-05
2983,0.00017833709716796875
242636,0.00012636184692382812
217148,0.00015091896057128906
2972,0.00013637542724609375
2900,0.0001010894775390625
242124,0.00012993812561035156
175,4.5299530029296875e-05
47838,0.00012755393981933594
217103,0.0001010894775390625
215577,0.0001366138458251953
61191,0.00010704994201660156
215151,0.00014829635620117188
136,3.457069396972656e-05
983,3.361701965332031e-05
932,3.3855438232421875e-05
242120,0.00012421607971191406
136823,0.00027441978454589844
192080,0.00017213821411132812
494,3.457069396972656e-05
80762,0.0001404285430908203
212167,0.00014495849609375
217343,9.560585021972656e-05
215421,0.00014162063598632812
185080,0.0001392364501953125
2933,0.00012993812561035156
217101,0.00037670135498046875
985,3.504753112792969e-05
344,3.409385681152344e-05
216776,0.00011610984802246094
160094,9.703636169433594e-05
241459,0.0001461505889892578
229992,0.00014209747314453125
3067,0.00011181831359863281
101060,9.799003601074219e-05
1339332,0.0001475811004638672
190650,0.0001266002655029297
2993,0.00011563301086425781
242675,0.00010943412780761719
191907,0.00010180473327636719
217187,0.00011491775512695312
5885,0.00010967254638671875
25000000,0.00014829635620117188
4,3.886222839355469e-05
3001,0.00010275840759277344
189985,0.00012159347534179688
158755,0.00014925003051757812
217126,0.00015115737915039062
10356,0.00014662742614746094
12676,0.00011801719665527344
896,3.7670135498046875e-05
241603,0.00013828277587890625
798,3.4332275390625e-05
171968,0.00011587142944335938
2922,8.0108642578125e-05
170,5.459785461425781e-05
26600000,0.00011897087097167969
796,3.4809112548828125e-05
216383,0.00010466575622558594
178884,0.00013756752014160156
1983,3.4332275390625e-05
938,3.314018249511719e-05
214658,0.00010704994201660156
78204,0.00012373924255371094
242253,0.00014901161193847656
236271,0.00015211105346679688
217227,0.00010251998901367188
185211,0.000148773193359375
874,3.457069396972656e-05
577,3.4332275390625e-05
136975,6.628036499023438e-05
101785,0.00014781951904296875
32592,0.00014638900756835938
997,3.504753112792969e-05
994,3.409385681152344e-05
71569,6.532669067382812e-05
185285,0.0001404285430908203
168247,0.00010704994201660156
622,3.695487976074219e-05
514,3.457069396972656e-05
34918,0.00014972686767578125
