item_0,item_1,time_cost
[25],[0],2.3603439331054688e-05
[80],[0],6.532669067382812e-05
[180],[0],0.00012040138244628906
[50],[0],3.838539123535156e-05
[1],[0],6.67572021484375e-06
[16],[0],1.6689300537109375e-05
"[1, 16]",[0],6.9141387939453125e-06
"[1, 2048, 64, 64]",[0],2.6226043701171875e-05
[74],[0],5.91278076171875e-05
"[1, 1, 1]",[0],6.9141387939453125e-06
"[1, 1]",[0],6.67572021484375e-06
[6],[0],1.049041748046875e-05
"[1, 2048, 66, 66]",[0],2.09808349609375e-05
[48],[0],4.220008850097656e-05
"[1, 3, 3]",[0],6.9141387939453125e-06
"[3, 3]",[0],8.344650268554688e-06
[54],[0],3.9577484130859375e-05
"[1, 2048, 68, 68]",[0],2.1219253540039062e-05
[16],[0],1.9788742065429688e-05
"[1, 5, 5]",[0],6.67572021484375e-06
"[5, 5]",[0],1.049041748046875e-05
[150],[0],0.00010466575622558594
"[1, 2048, 70, 70]",[0],2.574920654296875e-05
"[1, 7, 7]",[0],7.62939453125e-06
[216],[0],0.00014710426330566406
[81],[0],6.246566772460938e-05
[43],[0],3.1948089599609375e-05
[10],[0],1.3113021850585938e-05
[78],[0],5.2928924560546875e-05
[30],[0],2.4318695068359375e-05
[86],[0],5.7697296142578125e-05
[35],[0],2.6941299438476562e-05
[17],[0],1.6689300537109375e-05
[92],[0],6.008148193359375e-05
[42],[0],3.0994415283203125e-05
[19],[0],1.7404556274414062e-05
[112],[0],7.2479248046875e-05
[137],[0],9.489059448242188e-05
[127],[0],8.416175842285156e-05
[96],[0],6.461143493652344e-05
[91],[0],5.888938903808594e-05
[135],[0],8.797645568847656e-05
[125],[0],8.344650268554688e-05
[93],[0],6.151199340820312e-05
[132],[0],8.58306884765625e-05
[116],[0],7.772445678710938e-05
[105],[0],6.699562072753906e-05
[131],[0],8.726119995117188e-05
[99],[0],6.437301635742188e-05
[16],[0],2.2172927856445312e-05
"[8, 19248, 81]",[0],3.886222839355469e-05
"[8, 19248, 4]",[0],2.4318695068359375e-05
"[8, 19248]",[0],1.9788742065429688e-05
"[1, 800, 1088]",[0],1.4066696166992188e-05
[1],[0],7.152557373046875e-06
"[2, 800, 1088]",[0],1.3828277587890625e-05
[2],[0],8.106231689453125e-06
"[3, 800, 1088]",[0],1.430511474609375e-05
[3],[0],8.58306884765625e-06
"[1, 800, 1120]",[0],1.2159347534179688e-05
"[2, 800, 1216]",[0],1.2874603271484375e-05
